"Table 1-12:  U.S. Sales or Deliveries of New Aircraft, Vehicles, Vessels, and Other Conveyances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light rail,0,0,0,0,32,63,55,17,35,54,72,38,39,76,80,123,136,111,107,169,127,129,102,91,53,87,49,140,0,U
Heavy rail,416,580,308,127,130,441,10,6,163,260,55,72,10,34,120,122,204,751,828,470,76,50,462,394,555,69,404,0,25,U
Trolley bus,0,0,0,1,98,0,118,149,0,24,36,3,3,0,54,0,0,149,88,103,31,23,6,2,36,0,7,0,0,U
Commuter rail,214,666,302,"2,165",152,179,83,187,110,8,47,38,111,198,122,132,116,54,166,338,571,476,137,118,218,150,7,116,170,U
Class I rail (deliveries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freight carg,"57,047","77,822","66,185","72,392","85,920","12,080","32,063","24,678","25,761","35,239","48,819","60,853","57,877","50,396","75,685","74,223","55,791","34,260","17,714","32,184","46,871","68,612","74,729","63,156","59,954","21,682","16,552","41,814","(R) 53,632","49,954"
Locomotive,389,"1,387","1,029",772,"1,480",522,530,472,321,504,821,928,761,743,889,709,640,710,745,587,"1,121",827,922,902,819,460,259,473,658,665
Amtrak (deliveries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger train carh,N,N,N,109,109,0,58,0,0,0,64,76,92,10,0,157,65,7,0,0,0,0,0,0,0,0,0,0,0,0
Locomotiveh,N,N,N,30,17,10,0,0,20,26,18,10,0,111,35,1,32,44,0,0,0,0,0,0,0,0,0,0,0,0
Water transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merchant vesseli,20,13,13,15,23,14,0,0,3,0,1,1,0,1,4,2,0,2,2,6,5,7,U,U,U,U,U,U,U,U
Recreational boatj,N,N,N,N,"569,700","636,800","494,700","448,000","466,750","498,775","576,200","663,760","634,750","610,100","571,400","582,500","576,800","880,300","844,100","837,900","870,100","864,450","912,130","841,820","704,820","572,520","517,745","527,005","(R) 546,395","532,170"
KEY:  N = data do not exist; R = revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a U.S.-manufactured fixed-wing aircraft over 33,000 pounds empty weight, including all jet transports plus the 4-engine turboprop-powered Lockheed L-100.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Includes domestic and imported vehicles. Prior to 1985, all terrain vehicles (ATVs) were included in the motorcycle total. In 1995, the Motorcycle Industry Council revised its data for the years 1985 to present to exclude ATVs from its totals. 2008 and 2009 data are real counts based on reporting manufacturers. Previous years' data are estimates by the Motorcycle Industry Council that include nonreporting manufacturers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Includes large passenger or utility vehicles that may be considered cars in other tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Truck sales for 1960 and for 1999 and later include Buses.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e Includes domestic and imported vehicles, wheel sizes 20 inches and over. Data from 1997 onwards are projections.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f Buses or bus-type vehicles only. Includes demand response beginning from 1985. Excludes vanpool vans and most rural and smaller systems prior to 1984. Motor bus numbers in this table are not comparable to the numbers reported in earlier editions due to changes in the methodology by the American Public Transit Association. Transit motor bus figure is also included as part of the bus total in the highway category. Data for Bus and Paratransit are not continuous from 2006 to 2007, please see Methodology, Page iv in 2009 Public Transportation Fact Book Appendix A: Historical Tables  for details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g Includes all railroads and private car owners.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h Data from 1985 to 1998 are actual deliveries. Data from 1999-2009 are estimates of deliveries given by active equipment by date of manufacture, a close proxy. Data from 1999-2009 exclude non-passenger cars such as auto carriers and switch engines are excluded under locomotives.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"i Self-propelled, 1,000 or more gross tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"j Retail unit estimates. Includes outboard, inboard, and sterndrive boats, jet boats (since 1995), personal watercraft (since 1991), sailboats, canoes, and kayaks (since 2001). Also includes inflatable boats (except 1992 to 2002) and sailboards (until 1990).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civilian aircraft:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-94: Aerospace Industries Association, Aerospace Facts and Figures (Washington, DC: Annual Issues), Civil Aircraft Shipments.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2012: Aerospace Industries Association, Aerospace Statistics, Group 1: General Statistics, Series 02 Year-End Review and Forecast, Year-End Data Table, table 5, available at http://www.aia-aerospace.org/economics/year_end_review_and_forecast/ as of Dec. 2, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013: Aerospace Industries Association, 2014 YEAR-END REVIEW AND FORECAST, table 5, available at http://www.aia-aerospace.org/assets/2014_AIA_Annual_report_web.pdf as of Dec. 31, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger cars and trucks:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-80: American Automobile Manufacturers Association, Motor Vehicle Facts & Figures, 1998 (Southfield, MI: 1999), p. 21 (passenger car) and p. 6 (truck).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2013: Ward's Communications, Motor Vehicle Facts & Figures (Southfield, MI:  Annual Issues), p. 17 (passenger car) and p. 8 (truck).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycles:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-2000: Motorcycle Industry Council, Inc., Motorcycle Statistical Annual, 2001 (Irvine, CA:  2002), p. 8 and similar tables in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2001-02: Motorcycle Industry Council, Inc., Motorcycle Sales Rev Up for 11th Straight Year, media release, Feb. 13, 2004, available at http://www.mic.org as of June 24, 2004.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003-05: Motorcycle Industry Council, Inc., Motorcycle and Scooter Sales Climb for 14th Consecutive Year, media release, Feb. 16, 2007, available at http://www.motorcycles.org as of Apr. 23, 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2006-07: Motorcycle Industry Council, Inc., Motorcycle and Scooter Sales Top One Million for Record Sixth Consecutive Year, media release, Feb. 13, 2009, available at http://www.mic.org/newsrelease.cfm as of Dec. 22, 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2008: Bart Madson, Motorcycle Sales Down 40.8% Says MIC, Motorcycle USA, Jan. 21, 2010, available at http://www.motorcycle-usa.com/2/5588/Motorcycle-Article/Motorcycle-Sales-Down-40-8--Says-MIC.aspx as of Feb. 24, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2009: Ibid., Motorcycle Sales Down 15.8% in 2010, Motorcycle USA, Jan. 20, 2011, available at http://www.motorcycle-usa.com/2/8987/Motorcycle-Article/Motorcycle-Sales-Down-15-8--in-2010.aspx as of Feb. 27, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010: Ibid., Motorcycle Sales Hold Steady for 2011, Motorcycle USA, Jan. 20, 2012, available at http://www.motorcycle-usa.com/2/12055/Motorcycle-Article/Motorcycle-Sales-Hold-Steady-for-2011.aspx as of Mar. 21, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2011: Ibid., 2012 US Motorcycle Sales Tally 452,386, Motorcycle USA, Feb. 04, 2013, available athttp://www.motorcycle-usa.com/2/15436/Motorcycle-Article/2012-US-Motorcycle-Sales-Tally-452-386.aspx as of Nov. 5, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012: Ibid., US Motorcycles Sales Up 3% in 2013, available at: http://www.asphaltandrubber.com/popular/united-states-motorcycle-sales-2013/ as of Sept. 16, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013: Ibid., US Motorcycle Industry Up 3.8% in 2014, available at http://www.asphaltandrubber.com/news/usa-motorcycles-sales-2014/ as of Dec. 31, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buses:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965-97: American Automobile Manufacturers Association, Motor Vehicle Facts & Figures, 1998 (Detroit, MI: 1998), p. 6 and similar tables in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1998: Ward's Communications, Motor Vehicle Facts & Figures, 1999 (Detroit, MI:  1999), p. 6 and similar tables in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recreational vehicles:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965-75: Ibid., Motor Vehicle Facts & Figures, 1998 (Detroit, MI: 1998), p. 12 and similar tables in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-2013: Ward's Communications, Motor Vehicle Facts & Figures (Southfield, MI: Annual Issues), p. 13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bicycles:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-2005: National Bicycle Dealers Association, Industry Overview, available at http://www.nbda.com as of Apr. 23, 2007, and personal communication, Sept. 24, 1996.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2006-13: National Bicycle Dealers Association, A Look at the Bicycle Industry's Vital Statistics, available at http://www.nbda.com as of Dec. 31, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Public Transit Association, Public Transportation Fact Book, Appendix A: Historical Tables (Washington, DC: Annual Issues), table 25: New Revenue Vehicles Delivered by Mode, available at http://www.apta.com as of Jan. 05, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class I rail:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Association of American Railroads, Railroad Facts (Washington, DC: annual issues), p. 57 and similar pages in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amtrak:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: Ibid., Railroad Facts 1997 (Washington, DC: 1997), p. 17 and similar pages in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-98: National Passenger Railroad Corporation (Amtrak), Amtrak Annual Report, Statistical Appendix (Washington, DC: Annual Issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1999-2012: National Passenger Railroad Corporation (Amtrak), personal communications, Mar. 24, 2011, Feb. 27, 2012, and Nov. 20, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merchant vessel:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-2002: U.S. Department of Transportation, Maritime Administration, Merchant Fleets of the World (Washington, DC: Annual issues) and personal communication, Sept. 2, 2003, Mar. 1, 2005, and Jan. 9, 2006.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003-05: U.S. Department of Transportation, Maritime Administration, personal communication, June 21, 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recreational boat:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-97: National Marine Manufacturers Association, Boating 2004 (Chicago, IL: 2005), annual retail unit estimates, available at http://www.nmma.org as of Feb. 7, 2006.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1998-2013: National Marine Manufacturers Association, Recreational Boating Statistical Abstract (Chicago, IL: 2010), table 3.1, available at www.nmma.org/facts as of Jan. 05, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
