Table 4-19:  U.S. Government Energy Consumption by Agency and Source (Trillion Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petroleum,,,,,Electricity,Natural gas,Coal and otherd,Total,,,,,,,,,,,,,,,,,,,,,,,,
Othera,4.1,10.7,5.2,0.3,20.3,10.5,4.2,1.2,36.2,,,,,,,,,,,,,,,,,,,,,,,,
"FY 2010, total",(R) 51.3,(R) 158.4,536.2,(R) 4.8,(R) 750.7,(R) 195.1,(R) 129.3,(R) 36.9,"(R) 1,112.0",,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2.2,0.6,(R) 0.0,0.4,3.2,1.9,1.4,0.3,6.8,,,,,,,,,,,,,,,,,,,,,,,,
Defense,18.6,138.2,529.2,2.7,688.8,(R) 103.2,72.9,(R) 24.3,(R) 889.3,,,,,,,,,,,,,,,,,,,,,,,,
Energy,0.6,1.6,0.2 ,0.4,2.8,(R) 17.1,7.1,(R) 4.7,(R) 31.7,,,,,,,,,,,,,,,,,,,,,,,,
GSA,0.1,0.1,0.0,Z,0.2,9.9,7.0,1.8,18.8,,,,,,,,,,,,,,,,,,,,,,,,
Health and Human Services,0.2,0.6,0.0,0.1,0.8,3.4,5.9,0.1,10.3,,,,,,,,,,,,,,,,,,,,,,,,
Interior,2.1,1.3,Z,0.4,3.8,(R) 2.7,1.1,0.8,8.3,,,,,,,,,,,,,,,,,,,,,,,,
Justice,2.8,0.3,0.3,0.1,3.4,5.4,6.8,0.1,(R) 15.7,,,,,,,,,,,,,,,,,,,,,,,,
NASA,0.1,0.3,0.8,0.1,1.2,(R) 5.4,2.6,(R) 0.8,10.1,,,,,,,,,,,,,,,,,,,,,,,,
Postal Service,14.5,4.6,0.0,0.3,19.4,17.8,4.5,0.5,(R) 42.3,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,0.6,0.2,0.5,Z,1.5,(R) 4.0,0.3,(R) 0.0,5.7,,,,,,,,,,,,,,,,,,,,,,,,
Veterans Affairs,0.9,1.1,0.0,0.1,2.1,(R) 11.1,14.9,2.1,30.2,,,,,,,,,,,,,,,,,,,,,,,,
Otherb,(R) 8.5,(R) 9.5,5.1,0.3,(R) 23.4,(R) 13.3,(R) 4.7,(R) 1.4,(R) 42.8,,,,,,,,,,,,,,,,,,,,,,,,
"FY 2011P, total",52.5,167.3,534.5,4.7,759.0,195.9,125.7,36.0,"1,116.6",,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2.6,0.6,1.0,0.4,4.6,1.8,1.7,0.2,8.3,,,,,,,,,,,,,,,,,,,,,,,,
Defense,19.7,146.1,526.9,2.6,695.3,104.1,68.6,22.3,890.3,,,,,,,,,,,,,,,,,,,,,,,,
Energy,0.7,2.4,0.2,0.4,3.6,17.9,7.4,4.6,33.4,,,,,,,,,,,,,,,,,,,,,,,,
GSA,0.1,0.1,0.0,Z,0.2,9.5,7.1,1.8,18.5,,,,,,,,,,,,,,,,,,,,,,,,
Health and Human Services,0.2,0.6,0.0,0.1,0.9,3.5,5.9,0.2,10.5,,,,,,,,,,,,,,,,,,,,,,,,
Interior,2,1.4,Z,0.2,3.7,2.7,1.2,0.7,8.3,,,,,,,,,,,,,,,,,,,,,,,,
Justice,3,0.3,0.7,0.2,4.1,5.3,4.2,0.4,13.9,,,,,,,,,,,,,,,,,,,,,,,,
NASA,0.1,0.2,0.7,0.1,1.1,5.4,2.5,1.1,10.1,,,,,,,,,,,,,,,,,,,,,,,,
Postal Service,15.4,4.9,0.0,0.3,20.5,16.9,6.3,0.7,44.4,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,0.4,0.1,0.5,Z,1.1,4.1,0.8,0.7,6.7,,,,,,,,,,,,,,,,,,,,,,,,
Veterans Affairs,1.1,1.1,0.0,0.1,2.3,11.4,15.1,1.8,30.6,,,,,,,,,,,,,,,,,,,,,,,,
Otherb,7.3,9.5,4.5,0.3,21.6,13.4,5.0,1.5,41.5,,,,,,,,,,,,,,,,,,,,,,,,
KEY: Btu = British thermal unit; FY = fiscal year; GSA = General Services Administration; NASA = National Aeronautics and Space Administration; P = preliminary; R= revised; Z = value too small to report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Includes National Archives and Records Administration, U.S. Department of Commerce, U.S. Department of Labor, U.S. Department of State, Environmental Protection Agency, Federal Communications Commission, Federal Trade Commission, Panama Canal Commission, Equal Employment Opportunity Commission, Nuclear Regulatory Commission, Office of Personnel Management, U.S. Department of Housing and Urban Development,  U.S. Department of the Treasury, Railroad Retirement Board, Tennessee Valley Authority, Federal Emergency Management Agency, and U.S. Information Agency.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Includes National Archives and Records Administration, U.S. Department of Commerce, Tennessee Valley Authority, U.S. Department of Labor, National Science Foundation, Federal Trade Commission, Federal Communications Commission, Environmental Protection Agency, U.S. Department of Homeland Security, U.S. Department of Housing and Urban Development, Railroad Retirement Board, Equal Employment Opportunity Commission, Nuclear Regulatory Commission, U.S. Department of State, U.S. Department of the Treasury, Office of Personnel Management, Consumer Product Safety Commission, Central Intelligence Agency, Social Security Administration,  and U.S. information Agency (International Broadcasting Bureau). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Includes liquefied petroleum gases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d Includes purchased steam, chilled water from district heating and cooling systems, and any other energy type, such as renewable energy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals may not equal sum of components due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These data include energy consumed at foreign installations and in foreign operations, including aviation and ocean bunkering, primarily by the U.S. Department of Defense. U.S. government energy use for electricity generation and uranium enrichment is excluded. Other energy used by U.S. agencies that produce electricity or enriched uranium is included. The U.S. government's fiscal year runs from October 1 through September 30. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data in this table are prepared using the following conversion factors:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electricity = 3,412 Btu/kilowatt-hour.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purchased steam = 1,000 Btu/pound.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal = 24.580 million Btu/short ton.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas = 1,031 Btu/cubic foot.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation gasoline: 5.250 million Btu/barrel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel oil = 5.8254 million Btu/barrel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jet fuel = 5.460 million Btu/barrel. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied petroleum gas = 4.011 million Btu/barrel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor gasoline = 5.250 million Btu/barrel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Energy, Energy Information Administration, Annual Energy Review, table 1.13, available at http://www.eia.doe.gov/emeu/aer/ as of Feb. 14, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
