Table 2-39:  Railroad and Grade-Crossing Fatalities by Victim Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Railroad only and grade crossing, total","1,417","1,036","1,297","1,194","1,170","1,279","1,226","1,146","1,039","1,063","1,008",932,937,971,951,868,895,884,903,851,803,696,734,690,674,700,767,768
Railroad only,584,454,599,586,591,653,611,567,551,602,577,530,512,550,594,534,523,525,534,512,513,447,473,440,(R) 443,(R) 468,503,531
Grade crossingb,833,582,698,608,579,626,615,579,488,461,431,402,425,421,357,334,372,359,369,339,290,249,261,250,(R) 232,(R) 231,265,236
Motor vehiclesb,748,521,614,535,506,554,542,508,415,419,369,345,361,345,310,281,290,284,305,265,221,182,168,169,(R) 163,160,167,152
Nonmotor vehiclesb,85,61,84,73,73,72,72,72,72,42,62,57,64,76,47,53,82,75,64,74,69,66,93,81,67,71,97,85
KEY:  N = data do not exist;  P = preliminary; R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Beginning in 1997, Nontrespassers off railroad property are also included.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
b The components of Grade crossing data were revised at a different point in time from the total Grade crossing data and may not sum to the total of Grade crossing data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Railroad only includes fatalities from train accidents, train incidents, and nontrain incidents (excludes highway-rail grade crossings). This table includes information for both freight and passenger railroad operations. Details may not add to totals due to different data sources are used.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All, except grade crossing total, motor vehicles, nonmotor vehicles:",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-94: U.S. Department of Transportation, Federal Railroad Administration, Highway-Rail Crossing Accident/Incident and Inventory Bulletin (Washington, DC: Annual Issues), and the Accident/Incident Bulletin (Washington DC: Annual Issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2004: Ibid., personal communication, May 14, 2008, and table 4.08, available at http://safetydata.fra.dot.gov/OfficeofSafety as of Sept. 16, 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2005: Ibid., Railroad Safety Statistics Preliminary Annual Report (Washington, DC: March 2011 Issue), table 1-3, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Prelim.aspx as of Dec. 22, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2006: Ibid., Railroad Safety Statistics Preliminary Annual Report (Washington, DC: March 2012 Issue), table 1-3, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Prelim.aspx as of Dec. 22, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007: Ibid., Railroad Safety Statistics Preliminary Annual Report (Washington, DC: March 2013 Issue), table 1-3, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Prelim.aspx as of Aug. 1, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2008-09: Ibid., Railroad Safety Statistics Preliminary Annual Report (Washington, DC: July 2013 Issue), table 1-3, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Prelim.aspx as of Aug. 1, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010-15: Ibid., Railroad Safety Statistics Preliminary Annual Report, table 3.01, available at http://safetydata.fra.dot.gov/OfficeofSafety/default.aspx as of Jul 30, 2016.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grade crossing total, motor vehicles, nonmotor vehicles:",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-94: U.S. Department of Transportation, Federal Railroad Administration, Highway-Rail Crossing Accident/Incident and Inventory Bulletin (Washington, DC: Annual Issues), and the Accident/Incident Bulletin (Washington DC: Annual Issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2004: Ibid., personal communication, May 14, 2008, and table 4.08, available at http://safetydata.fra.dot.gov/OfficeofSafety as of Sept. 16, 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2005-09: Ibid., Highway-Rail Incidents by Type Major User from Form FRA F 6180.57, table 5.11, Hwy/Rail Incidents Summary Tables, available at http://safetydata.fra.dot.gov/OfficeofSafety/Default.aspx as of Aug. 1, 2013. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010-15: Ibid., Highway-Rail Incidents by Type Major User from Form FRA F 6180.57, table 5.14, Hwy/Rail Incidents Summary Tables, available at http://safetydata.fra.dot.gov/OfficeofSafety/Default.aspx as of August 12, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
