Oil Pipeline Profile,,,,,,,,,,,,,,,,,,,,
FINANCIAL,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"d The reporting criteria changed in 2002 adding small spills down to 5 gallons. The change was instituted on Feb. 7, 2002. For continuity with past trending, the data from post-2/7/2002 accidents used in the statistical summary includes only accidents meeting the reporting criteria: Accidents with gross loss greater than or equal to 50 barrels; those involving any fatality or injury; fire/explosion not intentionally set; Highly Volatile Liquid releases with gross loss of 5 or more barrels; or those involving total costs greater than or equal to $50,000.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
The Interstate Commerce Committee regulated oil pipelines in the 1960s and 1970s.,,,,,,,,,,,,,,,,,,,,
Data for Operating revenue are only for FERC-regulated oil pipeline.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,
Financial:,,,,,,,,,,,,,,,,,,,,
"Operating revenues, total:",,,,,,,,,,,,,,,,,,,,
"PennWell Corporation, Oil and Gas Journal: Transportation Special Report (Houston, TX: September 2000 and November 2010 Issues), pp. 74 and 106. ",,,,,,,,,,,,,,,,,,,,
Inventory:,,,,,,,,,,,,,,,,,,,,
Number of FERC-regulated companies:,,,,,,,,,,,,,,,,,,,,
"1960-96: Federal Energy Regulatory Commission, personal communication.  ",,,,,,,,,,,,,,,,,,,,
"1999: Ibid., available at www.ferc.fed.us/oil/oil_list.htm as of June 21, 2001.",,,,,,,,,,,,,,,,,,,,
"2003: Ibid., available at www.ferc.gov/industries/oil/gen-info/reg-central.asp as of  Aug. 26, 2004. ",,,,,,,,,,,,,,,,,,,,
"2004: Ibid., available at www.ferc.gov/industries/oil/gen-info/reg-central.asp as of  Mar. 16, 2005.",,,,,,,,,,,,,,,,,,,,
"2005: Ibid., available at www.ferc.gov/industries/oil/gen-info/reg-central.asp as of  Oct. 27, 2006.",,,,,,,,,,,,,,,,,,,,
"2008: Ibid., available at www.ferc.gov/industries/oil/gen-info/reg-central.asp as of  Mar. 09, 2010.",,,,,,,,,,,,,,,,,,,,
"Number of employees, pipeline companies:",,,,,,,,,,,,,,,,,,,,
"1960-80: U.S. Department of Labor, Bureau of Labor Statistics, Employment, Hours and Earnings, United States, 1909-94 (Washington, DC:  September 1994), SIC 46.    ",,,,,,,,,,,,,,,,,,,,
"1990-94: Ibid., Hours and Earnings, United States, 1988-1996 (Washington, DC: July 1996), SIC 46.",,,,,,,,,,,,,,,,,,,,
"1995-98: Ibid., SIC 46, available at www.bls.gov as of Apr. 19, 1999.",,,,,,,,,,,,,,,,,,,,
"1999-2001: Ibid., SIC 46, available at http://www.bls.gov/oes/oes_doc.htm, as of Feb. 22, 2010.",,,,,,,,,,,,,,,,,,,,
"2002-09: Ibid, Occupational Employment Statistics, NAICS 486100 and 486900, available at http://www.bls.gov/oes/oes_doc.htm, as of Aug. 11, 2011.",,,,,,,,,,,,,,,,,,,,
"Miles of pipeline (statute miles), all lines:",,,,,,,,,,,,,,,,,,,,
"1990-2004: Eno Transportation Foundation, Inc., Transportation In America 2007 (Washington, DC: 2007), p. 42.",,,,,,,,,,,,,,,,,,,,
"2005-09: PennWell Corporation, Oil and Gas Journal: Transportation Special Report (Houston, TX), p. 76 and similar table in earlier editions. ",,,,,,,,,,,,,,,,,,,,
Performance:,,,,,,,,,,,,,,,,,,,,
Intercity ton-miles: ,,,,,,,,,,,,,,,,,,,,
"Association of Oil Pipe Lines, Shifts in Petroleum Transportation (Washington, DC: January 2011), tables 1, 2 and 3, available at http://www.aopl.org/publications/ as of Aug. 12, 2011.",,,,,,,,,,,,,,,,,,,,
Tons transported:,,,,,,,,,,,,,,,,,,,,
"1990-2004: Eno Transportation Foundation, Inc., Transportation In America 2007 (Washington, DC: 2007), p. 60.",,,,,,,,,,,,,,,,,,,,
Safety:,,,,,,,,,,,,,,,,,,,,
"1970 and 1980: U.S. Department of Transportation, Research and Special Programs Administration, Office of Pipeline Safety, personal communication.",,,,,,,,,,,,,,,,,,,,
"1990-2009: U.S. Department of Transportation, Pipeline and Hazardous Materials Safety Administration, Office of Pipeline Safety, Hazardous Liquid Pipeline Operators Accident Summary Statistics (Annual Issues), available at http://ops.dot.gov/stats/lq_sum.htm as of Aug. 12, 2011.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
