"Table 3-32:  Transportation Revenues by Mode and Level of Government, Fiscal Year (Current $ millions)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,,,,,,,,
"General support, total",7 ,9 ,9 ,9 ,9 ,26 ,21 ,26 ,10 ,8 ,8 ,21 ,16 ,14 ,20 ,29 ,25 ,31 ,,,,,,,,,
Federal,7 ,9 ,9 ,9 ,9 ,26 ,21 ,26 ,10 ,8 ,8 ,21 ,16 ,14 ,20 ,29 ,25 ,31 ,,,,,,,,,
NOTES ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to total due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local government receipts from highway are not included in 2009.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Government transportation revenues consist of money collected by governments from transportation user charges and taxes to finance transportation programs. The following types of receipts are excluded: 1) revenues collected from users of the transportation system that are directed to the general fund and used for non-transportation purposes, 2) non-transportation general fund revenues that are used to finance transportation programs and 3) proceeds from borrowing.",,,,,,,,,,,,,,,,,,,,,,,,,,,
This edition is not comparable to the previous' edition.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics, Government Transportation Financial Statistics 2014 available at http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/government_transportation_financial_statistics/2014/index.html as of August 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
