Table 2-4:  Distribution of Transportation Fatalities by Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,(R) 2014,,(P) 2015,
"Water, industrial/other h",N,N/A,N,N/A,N,N/A,44,0.1,50,0.1,47,0.1,47,0.1,45,0.1,36,0.1,46,0.1,37,0.1,40,0.1,32,0.1,16,0.0,45,0.1,32,0.1,12,0.0
Gas pipeline,18,0.0,37,0.1,7,0.0,11,0.0,12,0.0,18,0.0,(R) 14,0.0,(R) 19,0.0,(R) 12,0.0,6,0.0,9,0.0,(R) 18,0.1,(R) 11,0.0,(R) 7,0.0,(R) 7,0.0,19,0.1,9,0.0
"Train, employee/worker",N,N/A,N,N/A,N,N/A,5,0.0,8,0.0,8,0.0,7,0.0,9,0.0,9,0.0,8,0.0,11,0.0,6,0.0,3,0.0,5,0.0,10,0.0,4,0.0,4,0.0
Commuter carrier k,12,0.0,5,0.0,13,0.0,0,0.0,2,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.0,0,0.0,1,0.0
Hazardous liquid pipeline,4,0.0,1,0.0,0.0,0.0,1,0.0,0,0.0,5,0.0,2,0.0,0,0.0,4,0.0,2,0.0,4,0.0,1,0.0,1,0.0,3,0.0,1,0.0,0,0.0,1,0.0
U.S. air carrier i,12,0.0,92,0.2,531,1.2,0,0.0,22,0.0,14,0.0,22,0.0,50,0.1,1,0.0,3,0.0,52,0.1,2,0.0,0,0.0,0,0.0,9,0.0,0,0.0,0,0.0
"Other counts, redundant with above",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rail, freight",745 ,1.7,717,1.6,729,1.6,725,1.6,683,1.5,690,1.5,682,1.5,723,1.6,635,1.5,575,1.5,481,1.3,520,1.5,493,1.4,476,1.3,505,1.5,553,1.6,503,1.4
"Rail, passenger",188,0.4,220,0.5,242,0.5,226,0.5,182,0.4,201,0.4,202,0.4,180,0.4,216,0.5,229,0.6,214,0.6,215,0.6,189,0.5,199,0.6,195,0.6,216,0.6,250,0.7
"Transit, rail",196,0.4,197,0.4,167,0.4,89,0.2,66,0.1,(R) 81,0.2,(R) 54,0.1,41,0.1,(R) 65,0.1,(R) 84,0.2,(R) 134,0.4,(R) 120,0.3,(R) 132,0.4,150,0.4,(R) 144,0.4,135,0.4,151,0.4
"Railroad, killed at public crossing with motor vehicle",309,0.7,306,0.7,315,0.7,271,0.6,249,0.6,256,0.6,258,0.6,267,0.6,227,0.5,199,0.5,161,0.4,136,0.4,138,0.4,135,0.4,141,0.4,143,0.4,126,0.3
"Transit, non-rail",103,0.2,98,0.2,100,0.2,93,0.2,136,0.3,95,0.2,92,0.2,121,0.3,122,0.3,88,0.2,91,0.3,100,0.3,96,0.3,(R) 114,0.3,(R) 122,0.4,101,0.3,103,0.3
"Water, Vessel-related",58,0.1,53,0.1,53,0.1,29,0.1,44,0.1,65,0.1,46,0.1,45,0.1,31,0.1,31,0.1,34,0.1,37,0.1,27,0.1,25,0.1,16,0.0,14,0.0,40,0.1
"Water, Not related to vessel casualties",136,0.3,134,0.3,94,0.2,64,0.1,76,0.2,69,0.2,67,0.1,70,0.2,65,0.1,82,0.2,72,0.2,58,0.2,43,0.1,60,0.2,74,0.2,50,0.1,26,0.1
KEY:  N = data do not exist; N/A = not applicable; P = preliminary; R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Light trucks are defined as trucks of 10,000 pounds gross vehicle weight rating or less, including pickups, vans, truck-based station wagons, and utility vehicles. Large trucks are defined as trucks over 10,000 pounds gross vehicle weight rating, including single-unit trucks and truck tractors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Includes occupants of other vehicle types, other nonmotorists, and unknown. For 1960-70, the U.S. Department of Transportation, National Highway Traffic Safety Administration did not break out fatality data to the same level of detail as in later years, so fatalities for those years also include occupants of passenger cars, trucks, and buses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c Recreational includes airboats, canoes, kayaks, motorboats, pontoon, rowboats, and sailboats. Data are based on information provided by the States, the District of Columbia and the five U.S. Territories to the Coast Guard Boating Accident Report Database (BARD) system, which is subject to some under- or delayed reporting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d All operations other than those operating under 14 CFR 121 and 14 CFR 135.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e Passenger includes passenger ships, research ships, and schools ships and include only closed cases where vessels were involved in a marine casualty as of April 6, 2015. Open cases by fiscal year not included above: CY 2002 = 0, CY 2003 = 5, CY 2004 = 5, CY 2005 = 8, CY 2006 = 4, CY 2007 = 7, CY 2008 = 19, CY 2009 = 38, CY 2010 = 36, CY 2011 = 120, CY 2012 = 644, CY 2013 = 727, and CY 2014 = 742. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f Other incidents are events other than Train Accidents or Crossing Incidents that cause physical harm to persons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g Nonscheduled service operating under 14 CFR 135 (On-demand air taxis).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h Industrial/other includes fishing vessels, miscellaneous vessels, and offshore include only closed cases where vessels were involved in a marine casualty as of April 6, 2015. Open cases by fiscal year not included above: CY 2002 = 0, CY 2003 = 5, CY 2004 = 5, CY 2005 = 8, CY 2006 = 4, CY 2007 = 7, CY 2008 = 19, CY 2009 = 38, CY 2010 = 36, CY 2011 = 120, CY 2012 = 644, CY 2013 = 727, and CY 2014 = 742. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"i All service operating under 14 CFR 121 (Scheduled air carriers). Since Mar. 20, 1997, 14 CFR 121 includes only aircraft with 10 or more seats formerly operated under 14 CFR 135. This change makes it difficult to compare pre-1997 data for 14 CFR 121 and 14 CFR 135  with more recent years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"j Freight includes barges, bulk carriers, general dry cargo ships, refrigerated cargo ships, roll-on/roll-off ships, tank ships, and towing ships and include only closed cases where vessels were involved in a marine casualty as of April 6, 2015. Open cases by fiscal year not included above: CY 2002 = 0, CY 2003 = 5, CY 2004 = 5, CY 2005 = 8, CY 2006 = 4, CY 2007 = 7, CY 2008 = 19, CY 2009 = 38, CY 2010 = 36, CY 2011 = 120, CY 2012 = 644, CY 2013 = 727, and CY 2014 = 742. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"k All scheduled service operating under 14 CFR 135 (Commuter air carriers). Before Mar. 20, 1997, 14 CFR 135 applied to aircraft with 30 or fewer seats. Since March 20, 1997, 14 CFR 135 includes only aircraft with fewer than 10 seats. This change makes it difficult to compare pre-1997 data for 14 CFR 121 and 14 CFR 135  with more recent years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To reduce double counting, the following adjustments are made to Total Fatalities: For Railroad, fatalities involving motor vehicles at public highway-rail grade crossings are excluded because such fatalities are assumed to be included in Highway fatalities. For Transit, non-rail modes, including aerial tramway, motor bus, bus rapid transit, commuter bus, demand response, demand taxi, ferryboat, jitney, publico, trolleybus, and vanpool fatalities are excluded because they are counted as Water and Highway fatalities. Other counts, redundant with above help eliminate double counting in the Total Fatalities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway fatalities data prior to 1975 have been adjusted to reflect the Fatality Analysis Reporting System's definition of a fatal crash as one that involves a motor vehicle on a traffic way that results in the death of a vehicle occupant or a nonmotorist within 30 days of the crash.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water injury data for 2001 and before is not comparable with later year due to a change in the reporting system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current version of this table is not comparable with the versions before 2014 because of the categories changing for some modes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Air Carrier:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960: National Transportation Safety Board, Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1967 (Washington, DC: December 1968).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965-70: Ibid., Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1975, NTSB/ARC-77/1 (Washington, DC: January 1977).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975: Ibid., Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1983, NTSB/ARC-87/01 (Washington, DC: February 1987), table 18.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980: Ibid., Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1981, NTSB/ARC-85/01 (Washington, DC: February 1985), tables 2 and 16.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2015: Ibid., Aviation Accident Statistics (Washington, DC: Annual Issues), table 5, available at http://www.ntsb.gov/investigations/data/pages/aviation_stats.aspx as of October 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commuter:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: National Transportation Safety Board, Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1980, NTSB/ARC-83/01 (Washington, DC: January 1983), tables 26 and 40.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2015: Ibid., Aviation Accident Statistics (Washington, DC: Annual Issues), table 8, available at http://www.ntsb.gov/investigations/data/pages/aviation_stats.aspx as of October 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On-demand air taxi:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: National Transportation Safety Board, Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1981, NTSB/ARC-85/01 (Washington, DC: February 1985), table 61.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2015: Ibid., Aviation Accident Statistics (Washington, DC: Annual Issues), table 9, available at http://www.ntsb.gov/investigations/data/pages/aviation_stats.aspx as of October 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General aviation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70: National Transportation Safety Board, Annual Review of Aircraft Accident Data: U.S. General Aviation, Calendar Year 1970, NTSB/ARG-74/1 (Washington, DC: April 1974), table 117.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: Ibid., Annual Review of Aircraft Accident Data: General Aviation, Calendar Year 1985, NTSB/ARG-87/03 (Washington, DC: October 1987), table 21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2015: Ibid., Aviation Accident Statistics (Washington, DC: Annual Issues),  table 10, available at http://www.ntsb.gov/investigations/data/pages/aviation_stats.aspx as of October 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-65:  U.S. Department of Transportation, National Highway Traffic Safety Administration from data supplied by U.S. Department of Health and Human Services, National Center for Health Statistics, and individual state accident reports (adjusted to 30-day deaths).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-2014: U.S. Department of Transportation, National Highway Traffic Safety Administration, Traffic Safety Facts (Annual Editions), Table 4, available at http://www-nrd.nhtsa.dot.gov/cats/index.aspx as of May 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2015: U.S. Department of Transportation, National Highway Traffic Safety Administration, 2015 Motor Vehicle Crashes: Overview, Table 3 as of August 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway-rail grade crossing:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-13: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety Analysis, table 5.11, Hwy/Rail Incidents Summary Tables, available at http://safetydata.fra.dot.gov/OfficeofSafety/ as of July 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2014-2015: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety Analysis, table 5.14, Hwy Rail Accident Incident Summary By Railroad, available at http://safetydata.fra.dot.gov/OfficeofSafety/ as of October 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Railroad:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-65: National Safety Council, Accident Facts, 1974 (Washington, DC: 1974).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970: U.S. Department of Transportation, Federal Railroad Administration, Highway-Rail Crossing Accident/Incident and Inventory Bulletin (Washington, DC: Annual Issues), table 7.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-2015: Ibid., U.S. Department of Transportation, Federal Railroad Administration, Office of Safety Analysis, table 1.12, 1.13, 2.07, and 5.14 , available at http://safetydata.fra.dot.gov/OfficeofSafety/ as of October 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-01:  U.S. Department of Transportation, Volpe Center, Transit Safety and Security Statistics, available at http://transit-safety.volpe.dot.gov/data/samis.aspx as of March 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-2015:  U.S. Department of Transportation, Federal Transit Administration, personal communication, Jun. 20, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Passenger, Freight, Industrial/Other:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-2015: U.S Department of Homeland Security, U.S. Coast Guard, Office of Investigations and Analysis, Compliance Analysis Division, personal communication, Nov. 20, 2012 and Nov. 12, 2013, Aug. 31, 2015 and May 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recreational:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-02: U.S. Department of Homeland Security, U.S. Coast Guard, Office of Boating Safety, Boating Statistics (Washington, DC: Annual Issues), table 31, available at http://www.uscgboating.org as of June 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003-2015: U.S. Department of Homeland Security, U.S. Coast Guard, Recreational Boating Statistics (annual issues), available at www.uscgboating.org as of May 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazardous liquid and gas pipeline:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-85: U.S. Department of Transportation, Research and Special Programs Administration, Office of Pipeline Safety, Accident and Incident Summary Statistics by Year, available at http://ops.dot.gov as of Nov. 18, 2003.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2015: U.S. Department of Transportation, Pipeline and Hazardous Materials Safety Administration, Office of Pipeline Safety, Accident and Incident Summary Statistics by Year, available at http://phmsa.dot.gov/pipeline as of October 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
