Table 1-24:  Number and Size of the U.S. Flag Merchant Fleet and Its Share of the World Fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Oceangoing Self-Propelled, Cargo-Carrying Vessels of 1,000 Gross Tons and Above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Excludes ships operating exclusively on the Great Lakes and inland waterways and special types such as: channel ships, icebreakers, cable ships, and merchant ships owned by military forces.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All yearly counts are from January of that year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MARAD has recently reverted back to regarding the merchant fleet as vessels of 1,000 gross tons and greater. They will no longer publish the fleet using “10,000 DWT and greater” as a criterion. Therefore, this report is not comparable with the previous' issues.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The vessel categories used for this report include the following types:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   Tankers:  Petroleum Tankers, Chemical Carriers, LNG Carriers, LNG/LPG Carriers, LPG Carriers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Container:  Fully Cellular Containerships.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   Dry Bulk:  Bulk Vessels, Bulk Containerships, Cement Carriers, Wood Chip Carriers, Ore/Bulk/Oil Carriers, Bulk/Oil Carriers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   Ro-Ro:  Ro-Ro Vessels, Ro-Ro/Containerships, Vehicle Carriers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   General Cargo:  General Cargo Carriers, Partial Containerships, Refrigerated Ships.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ITB: Integrated Tug/Barge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World fleet:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1994: U.S. Department of Transportation, Maritime Administration, Merchant Fleets of the World (Washington, DC: Annual issues), and unpublished revisions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2009: U.S. Department of Transportation, Maritime Administration, personal communication as of June 2010 and September 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010-13: U.S. Department of Transportation, Maritime Administration, Maritime Statistics, Top 25 Flag of Registry, available at: http://www.marad.dot.gov/library_landing_page/data_and_statistics/Data_and_Statistics.htm#Cruise%20Statistics as of Feb. 24, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2014: U.S. Department of Transportation, Maritime Administration, personal communication, August 16, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2015-16: U.S. Department of Transportation, Maritime Administration, Fleet Statistics, available at: https://www.marad.dot.gov/resources/data-statistics/ as of Aug. 15, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All other categories:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-99: U.S. Department of Transportation, Maritime Administration, Merchant Fleets of the World (Washington, DC: Annual issues), and unpublished revisions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-16: U.S. Department of Transportation, Maritime Administration, Maritime Statistics, 2000-2016 U.S. -Flag Privately-Owned Fleet Summary, available at: http://www.marad.dot.gov/library_landing_page/data_and_statistics/Data_and_Statistics.htm#Cruise%20Statistics as of May 11, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
