Table 2-17:  Motor Vehicle Safety Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fatalities data prior to 1975 have been adjusted to reflect the Fatality Analysis Reporting System's definition of a fatal crash as one that involves a motor vehicle on a trafficway, which results in the death of a vehicle occupant or a nonmotorist within 30 days of the crash.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crashes are the rounded sum of fatal crashes, an actual count from the Fatality Analysis Reporting System, and injury crashes and property damage only crashes, which are estimates from the National Automotive Sampling System-General Estimates System.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatalities:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70: Estimated by U.S. Department of Transportation, National Highway Traffic Safety Administration from data supplied by U.S. Department of Health and Human Services, National Center for Health Statistics, and individual state accident reports (adjusted to 30-day deaths). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-2015:  U.S. Department of Transportation, National Highway Traffic Safety Administration, National Center for Statistics and Analysis, personal communication,  November 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured persons and crashes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, National Highway Traffic Safety Administration, National Center for Statistics and Analysis, personal communication, November 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle-miles:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-65: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, FHWA-PL-97-009 (Washington, DC: July 1997), table VM-201A, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Apr. 13, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-2014: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, and similar tables in earlier editions, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of March 15, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2015:  U.S. Department of Transportation, National Highway Traffic Safety Administration, National Center for Statistics and Analysis, personal communication,  November 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fatality, injury, and crash rates:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calculated by U.S. Department of Transportation, Bureau of Transportation Statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
