Table 3-24:  Employment in Transportation and Transportation-Related Occupations,,,,,,,,,,,,,,,,,,
SOC code,Occupation,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
49-3051,Motorboat mechanics,"18,450","19,040","18,370","18,550","17,990","17,680","18,190","18,550","19,610","19,640","18,180","16,850","16,770","18,380","19,650","20,210","20,440"
49-3052,Motorcycle mechanics,"11,390","11,720","13,290","13,030","15,000","15,920","16,140","16,700","16,800","16,850","16,070","14,750","15,010","14,950","14,960","15,420","15,850"
49-3091,Bicycle repairers,"8,080","7,940","7,730","7,000","7,560","7,750","7,980","8,350","9,130","9,690","9,290","9,530","9,950","10,490","10,450","10,520","12,560"
49-3092,Recreational vehicle service technicians,"13,100","12,200","11,830","12,490","12,520","12,340","13,540","13,560","14,030","13,400","10,860","9,540","10,110","10,970","11,200","10,990","11,970"
49-3093,Tire repairers and changers,"99,880","88,530","86,200","81,560","85,030","87,110","100,860","103,120","100,510","98,520","92,440","94,120","94,740","96,880","99,370","100,510","107,500"
51-2011,"Aircraft structure, surfaces, rigging, and systems assemblers","18,070","32,680","33,620","25,690","19,830","18,710","22,820","27,680","34,410","43,330","39,870","36,320","36,570","41,180","42,810","40,630","42,810"
51-9122,"Painters, transportation equipment","45,920","43,270","44,090","45,670","47,390","49,810","52,650","52,170","51,260","50,310","46,810","43,300","44,730","46,290","46,770","49,950","51,760"
51-9197,Tire builders,"16,680","15,790","13,410","13,020","16,400","17,960","19,860","23,210","20,530","21,740","17,820","15,020","16,690","17,360","17,570","17,680","17,710"
53-6031,Automotive and Watercraft Service Attendants,"109,050","106,010","107,650","102,550","96,450","90,640","96,340","94,780","93,140","84,480","79,480","86,440","102,090","108,510","112,970","104,750","109,710"
53-7061,Cleaners of vehicles and equipment,"302,380","301,330","304,500","311,070","321,630","330,520","333,350","334,560","336,210","330,850","298,500","288,110","290,780","302,960","311,940","321,740","336,960"
Transportation Infrastructure construction and maintenance occupations,,,,,,,,,,,,,,,,,,
47-2071,"Paving, surfacing, and tamping equipment operators","58,410","56,330","57,880","58,760","60,210","61,860","63,220","63,090","63,850","61,230","54,850","51,830","54,120","54,460","55,720","54,940","53,110"
47-4051,Highway maintenance workers,"139,540","145,790","148,390","146,290","139,810","136,550","140,600","138,670","137,140","136,420","139,490","142,530","143,760","141,180","139,070","140,650","142,300"
47-4061,Rail-track laying and maintenance equipment operators,"8,620","9,940","11,680","10,450","12,120","10,430","13,510","13,680","14,050","15,020","14,880","15,520","15,590","16,870","15,590","14,820","14,470"
49-9097,Signal and track switch repairers,"3,720","5,540","8,550","7,990","7,600","7,780","6,100","5,980","6,090","6,570","6,450","7,400","8,300","8,600","7,960","7,880","8,190"
53-7031,Dredge operators,"1,910","3,100","2,920","2,850","2,190","1,730","1,720","1,780","1,910","1,910","1,990","1,720","1,590","1,740","1,750","1,900","1,850"
Secondary Support Service Occupations,,,,,,,,,,,,,,,,,,
13-1032,"Insurance appraisers, auto damage","19,310","12,320","12,110","13,270","11,260","12,520","12,900","12,630","12,150","11,280","10,960","10,280","10,950","11,770","13,180","13,690","15,270"
33-3041,Parking enforcement workers,"7,660","8,040","9,160","10,180","9,690","9,990","10,140","10,090","9,910","9,530","9,670","9,430","9,310","9,210","8,790","8,680","8,710"
33-3052,Transit and railroad police,"4,590","5,760","6,750","6,010","4,790","4,610","5,090","5,320","5,530","3,830","3,930","3,540","3,890","4,140","4,060","3,380","3,720"
33-9091,Crossing guards,"68,310","72,830","69,990","73,020","68,910","70,180","69,390","67,750","67,570","68,530","68,470","68,740","68,520","70,390","68,050","66,310","68,640"
39-7012,Travel guides,"4,180","5,200","5,480","4,960","5,240","4,140","3,120","3,220","3,520","4,510","4,270","3,620","4,110","4,210","4,250","3,090","2,810"
53-2031,Flight attendants,"123,310","126,380","115,750","104,360","99,910","101,980","99,590","96,760","97,010","99,480","95,810","88,020","87,190","84,960","93,550","98,510","108,510"
53-6061,"Transportation attendants, except flight attendants and baggage porters","22,780","23,550","25,910","26,580","28,440","27,730","24,810","20,790","20,690","21,870","22,450","25,150","27,040","23,790","21,280","16,380","15,680"
41-3041,Travel agents,"111,130","124,030","111,310","104,550","98,410","90,500","88,590","87,600","85,580","86,420","76,990","70,930","67,490","64,680","64,250","64,750","66,560"
43-4181,Reservation and transportation ticket agents and travel clerks,"222,340","199,700","183,280","174,170","156,140","159,910","160,120","157,650","167,390","163,880","142,500","121,250","126,790","135,930","141,900","138,260","138,810"
43-5021,Couriers and messengers,"134,370","130,210","121,670","120,900","117,460","111,700","106,520","105,070","100,820","96,110","93,460","85,620","83,250","76,830","74,060","71,760","73,180"
43-5032,"Dispatchers, except police, fire, and ambulance","171,560","167,180","170,050","168,380","161,570","165,910","172,550","185,410","190,190","193,210","185,100","180,540","182,310","184,890","185,270","190,330","196,940"
43-5052,Postal service mail carriers,"352,550","354,980","355,120","347,420","344,090","344,050","347,180","346,990","348,070","354,570","339,030","324,990","315,330","305,490","307,490","307,490","315,950"
43-5071,"Shipping, receiving, and traffic clerks","886,230","864,530","802,600","792,470","757,750","747,270","759,910","763,350","755,790","760,950","715,130","687,850","687,940","690,780","677,450","661,530","674,820"
53-6021,Parking lot attendants,"109,340","116,930","109,930","108,460","109,890","120,080","124,250","131,870","131,860","136,470","129,990","124,590","126,160","126,520","130,190","136,440","144,150"
53-6041,Traffic technicians,"5,000","4,590","5,090","5,370","5,980","6,240","6,990","6,560","6,550","7,030","6,570","6,730","6,280","6,340","6,220","6,490","6,750"
53-6051,Transportation inspectors,"22,440","26,520","27,670","28,340","23,860","24,140","25,570","23,790","24,130","24,940","24,250","24,280","24,810","24,310","23,970","24,350","25,860"
53-7081,Refuse and recyclable material collectors,"135,320","118,910","125,600","132,290","137,510","139,920","133,930","125,770","126,270","129,080","128,940","126,360","123,160","117,670","116,460","115,170","114,220"
53-7121,"Tank car, truck, and ship loaders","20,830","17,480","19,430","16,960","15,910","16,530","15,950","15,360","14,870","12,330","11,560","10,390","10,960","12,390","12,560","12,490","11,960"
Other,,,,,,,,,,,,,,,,,,
11-3071,"Transportation, storage, and distribution managers","123,450","116,680","108,590","107,400","90,940","88,100","84,870","89,010","92,790","96,300","92,380","90,280","92,150","98,600","102,610","106,000","109,210"
53-1011,Aircraft cargo handling supervisors,"8,090","9,960","9,070","8,920","8,580","7,460","6,210","5,620","4,690","4,950","5,370","6,160","6,710","6,720","6,270","5,750","6,760"
53-1021,"First-line supervisors/managers of helpers, laborers, and material movers, hand","138,210","146,790","147,490","147,180","159,780","169,860","176,030","178,820","184,400","186,230","174,540","166,360","166,560","168,910","167,190","171,720","176,030"
53-1031,First-line supervisors/managers of transportation and material-moving machine and vehicle operators,"175,260","186,710","197,430","207,280","211,960","222,590","221,520","220,570","223,710","218,480","205,780","196,420","198,690","197,300","197,800","197,000","203,550"
KEY: SOC = Standard Occupational Classification; U = data are unavailable.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,
"Occupational Employment Statistics (OES) uses a mail survey to measure employment levels and wage rates for all full- and part-time wage and salary workers in nonfarm establishments. The survey does not include self-employed owners and partners in unincorporated firms, household workers, or unpaid family workers.  In 1999, OES began using the Standard Occupational Classification (SOC) system to organize occupational data.  Consequently, estimates from 1999 and subsequent years are not directly comparable to previous occupational estimates. The SOC is being adopted by all federal agencies and consists of 821 detailed occupations, grouped into 449 board occupations, 96 minor groups, and 23 major groups.  ",,,,,,,,,,,,,,,,,,
"A broad definition of transportation and transportation-related occupations is used in this table based on Sen, B. and M. Rossetti, ""A Complete Count of the U.S. Transportation Workforce,"" Transportation Research Record 1719: 2000, pp 259-266.  Some occupational categories may include workers not engaged in transportation or transportation-related activities.  For example, the category ""first-line supervisors/managers"" (53-1021 and 53-1031) may include workers in material moving occupations along with transportation occupations. Moreover, some workers engaged in transportation and transportation-related activities may be excluded. For example, ""baggage porters and bellhops"" is not included in this table because it is believed that a large share of workers in this category work in hotels or similar establishments. ",,,,,,,,,,,,,,,,,,
"In 2010, the standard occupational classification code for Travel guides, Flight attendants and Transportation attendants, Except flight attendants and baggage are changed to 39-7012, 53-2031 and 53-6061 respectively.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,
"U.S. Department of Labor, Bureau of Labor Statistics, Occupational Employment Statistics, Occupational Employment and Wages (Washington, DC: Annual Issues), available at http://www.bls.gov/oes/current/oes_nat.htm as of Mar. 30, 2016.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
