Table 2-33:  Transit Safety Data by Modea for All Reported Accidentsb,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(P) 2013,(P) 2014
Automated guideway,1,0,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,5,5,5
Rates per 100 million vehicle-milese,,,,,,,,,,,,,,,,,,,,,,,,,
"Fatalities, all modes",8.5,8.7,6.9,7.5,8.7,6.8,5.8,6.8,6.8,6.5,6.1,6.4,3.5,3.9,3.5,3.4,3.9,4.7,4.5,4.7,4.3,3.5,4.2,4.3,4.2
Motor busc,5.5,4.8,5.4,4.7,5.3,4.1,4.9,5.8,5.1,5.0,4.4,4.7,3.3,3.9,3.2,2.6,4.1,4.1,3.3,2.7,3.3,3.9,3.8,4.4,4.0
Light rail,20.8,40.3,21.2,51.1,29.6,29.0,13.3,7.4,32.3,27.1,42.3,28.5,13.3,20.4,22.1,22.3,15.4,22.5,16.7,54.9,34.3,24.4,27.2,18.4,26.5
Heavy rail,9.6,11.3,6.3,7.1,7.9,8.0,5.9,5.0,3.2,3.6,3.2,4.3,4.8,2.7,2.3,1.1,1.8,3.8,4.6,54.6,45.8,3.8,5.7,6.2,5.0
Commuter rail,33.6,33.4,22.9,28.6,39.0,25.8,14.8,24.1,27.6,25.7,22.1,24.9,2.7,6.2,6.5,10.3,5.0,7.6,12.0,6.3,5.1,4.0,6.5,5.6,6.5
Demand responsive,0.0,2.8,0.0,2.6,2.1,0.9,2.8,1.5,1.3,0.6,2.2,1.5,0.0,0.5,0.0,3.6,3.6,4.4,1.6,0.3,0.4,0.1,0.7,1.2,1.1
Van pool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,1.3,0.0,0.0,2.3,0.6,0.0,0.5,0.9,0.0
Automated guideway,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,20.0
"Injured persons, all modesd",804,831,863,871,811,846,881,794,753,742,738,688,252,334,249,262,258,275,204,201,214,194,178,214,222
Motor busc,"1,132","1,145","1,218","1,234","1,155","1,227","1,258","1,172","1,132","1,106","1,088","1,022",376,475,379,388,389,415,304,290,325,358,337,386,395
Light rail,"1,933","1,735","1,654","1,318",968,"1,030","1,815",785,767,889,798,580,293,302,386,398,357,466,320,595,581,383,311,163,223
Heavy rail,56,59,52,71,59,65,79,60,46,50,71,98,14,35,25,13,14,16,9,139,92,13,17,17,16
Commuter rail,45,297,59,102,103,73,105,46,27,22,21,42,20,40,18,97,35,21,65,18,13,18,12,17,21
Demand responsive,386,282,324,292,425,361,349,372,313,379,485,331,117,443,86,143,191,211,125,47,20,25,26,109,123
Van pool,208,430,103,363,132,123,101,158,121,75,94,70,77,33,64,28,61,29,20,29,18,8,8,23,9
Automated guideway,0,0,0,104,85,0,0,70,69,0,0,0,0,0,0,0,389,56,0,0,"1,320",0,20,20,0
"Accidents, all modesd","2,329","1,875","1,450","1,205","1,161",980,966,922,845,796,808,773,453,254,250,263,287,262,107,106,108,98,89,113,120
Motor busc,"3,315","2,678","2,031","1,692","1,631","1,400","1,389","1,338","1,252","1,166","1,184","1,141",668,358,362,377,418,386,153,145,154,169,156,189,198
Light rail,"2,906","2,456","2,121","1,639","1,516",897,910,891,758,624,687,654,925,874,773,928,886,778,225,313,313,234,217,136,193
Heavy rail,27,36,118,128,142,119,64,58,52,69,61,54,29,24,27,18,20,22,11,93,134,17,23,20,16
Commuter rail,93,132,96,101,127,100,99,89,80,86,102,92,35,35,33,25,27,44,37,46,48,41,28,20,27
Demand response,"2,177","1,147",928,682,702,591,714,661,423,516,557,476,165,141,108,127,182,72,83,35,14,17,17,76,83
Van pool,"1,052",944,278,744,198,289,314,485,408,263,301,380,61,16,48,170,42,36,7,10,6,6,5,9,5
Automated guideway,162,204,102,104,85,87,69,209,207,0,62,0,0,0,0,0,111,56,0,71,73,0,20,20,20
KEY: P = preliminary.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"a Accident statistics for cable car, inclined plane, jitney, and ferry boat are not available.  The number of incidents, Fatalities, and Injuries for these modes appear in the footnotes for table 2-34.",,,,,,,,,,,,,,,,,,,,,,,,,
"b Accidents includes collisions with vehicles, objects,  people (except suicides), and derailments/vehicles going off road.",,,,,,,,,,,,,,,,,,,,,,,,,
c Motor bus also includes trolley bus.,,,,,,,,,,,,,,,,,,,,,,,,,
"d In 2002 the drop in the number of Accidents and Injuries is due largely to a change in definitions by the Federal Transit Administration, particularly the definition of Injuries. Only Injuries requiring immediate medical treatment away from the scene now qualify as reportable. Previously, any Injury was reportable.  Commuter rail data are now derived from the Federal Railroad Administration's Rail Accident Incident Reporting System (RAIRS).
",,,,,,,,,,,,,,,,,,,,,,,,,
"e Rates are based on total incidents including Accidents and were calculated by dividing the number of Fatalities, Injuries, and Accidents in this table by the number of Vehicle-miles.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are provided only for transit systems that furnished safety data for inclusion in the U.S. Department of Transportation, Federal Transit Administration Transit Safety and Security Statistics and Analysis annual reports.  Data covers only directly operated urban transit systems. Vehicle-miles for all transit systems including nonurban and purchased can be found in the Vehicle-miles table in chapter 1.",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to the 2000 edition, Transit Safety and Security Statistics and Analysis Report was entitled Safety Management Information Statistics (SAMIS) annual report.",,,,,,,,,,,,,,,,,,,,,,,,,
"Analysts for the FTA believe the change in reporting requirements in 2002 may have resulted in unreliable data in that year, particularly for Injuries and Accidents. The reliability of reporting is believed to be much better in 2003 and is expected to improve in the future.",,,,,,,,,,,,,,,,,,,,,,,,,
Details may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
"There were definition changes made in 2008 to simplify the injury thresholds for filing an incident report.  Previously, the injury threshold for filing an incident report was two or more injuries requiring immediate medical transportation away from the scene, or one or more injuries requiring immediate medical transportation away from the scene in the case of incidents at grade crossings or along rail right-of-ways. FTA simplified this threshold to being simply one or more injuries requiring immediate medical transportation away from the scene.  ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2014: U.S. Department of Transportation, Federal Transit Administration, Transit Safety and Security Statistics, available at http://transit-safety.volpe.dot.gov/Data/Samis.asp as of Sept. 15, 2009, and personal communications, Oct. 8, 2004, Apr. 22, 2005, Apr. 24, 2006,  June 14, 2007, June 18, 2008, Sept. 1, 2010, April 5, 2012, July 8, 2013, Jan. 8, 2015, and June 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
