Table 1-9:  ADA-Accessible Rail Transit Stations by Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of rail transit / agency,Primary city served,Number of stations,,,,,,,,,,,,,,,,,,,Percent of Stations Not ADA-Accessible,,,,,,,,,,,,,,,,,,,,,,,
Staten Island Rapid Transit Operating Authority,"New York, NY",22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,22,22,22,22,90.9,90.9,90.9,90.9,90.9,87.0,82.6,82.6,82.6,78.3,78.3,78.3,78.3,78.3,78.3,81.8,81.8,81.8,81.8,,,,,
The Greater Cleveland Regional Transit Authority,"Cleveland, OH",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,77.8,66.7,66.7,61.1,55.6,55.6,50.0,50.0,44.4,44.4,33.3,27.8,27.8,27.8,27.8,16.7,16.7,16.7,16.7,,,,,
Southeastern Pennsylvania Transportation Authority,"Philadelphia, PA",76,76,76,76,76,76,53,75,75,75,75,75,75,75,75,75,75,75,75,94.7,94.7,94.7,94.7,94.7,94.7,75.5,77.3,76.0,76.0,76.0,68.0,62.7,61.3,60.0,53.3,50.7,49.3,50.7,,,,,
Port Authority Transit Corporation ,"Philadelphia, PA",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,76.9,76.9,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,46.2,46.2,,,,,
Commuter rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altamont Commuter Express,"San Jose, CA",U,U,U,U,U,U,10,10,10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
North San Diego County Transit District,"San Diego, CA",U,U,U,U,U,U,8,8,8,8,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Peninsula Corridor Joint Powers Board ,"San Francisco, CA",U,U,U,U,U,U,34,34,34,33,32,32,32,32,32,32,32,32,32,NA,NA,NA,NA,NA,NA,35.3,29.4,29.4,27.3,28.1,25.0,21.9,18.8,18.8,18.8,18.8,18.8,18.8,,,,,
Southern California Regional Rail Authority,"Los Angeles, CA",U,45,46,46,47,49,51,53,53,54,54,54,55,55,55,55,55,55,55,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Connecticut Department of Transportation ,"New Haven, CT",U,U,U,U,U,U,8,8,8,8,8,8,8,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,11.1,11.1,11.1,11.1,11.1,,,,,
Virginia Railway Express ,"Washington, DC",U,U,U,U,U,U,18,18,18,18,18,18,18,18,18,18,18,18,18,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
South Florida Regional Transportation Authority ,"Miami, FL",U,U,U,U,U,U,18,18,18,18,18,18,18,18,18,18,18,18,18,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Northeast Illinois Regional Commuter Railroad Corporation,"Chicago, IL",226,226,226,227,227,227,227,227,230,231,238,239,239,240,240,241,241,241,241,59.7,54.0,54.0,51.1,49.3,44.9,42.3,41.0,39.6,37.2,33.2,31.8,31.0,30.0,29.6,28.2,29.9,28.2,25.3,,,,,
Northern Indiana Commuter Transportation District,"Chicago, IL",18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,19,61.1,61.1,61.1,61.1,61.1,61.1,45.0,45.0,40.0,40.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,31.6,,,,,
Massachusetts Bay Transportation Authority,"Boston, MA",U,U,117,119,120,121,124,125,126,126,126,126,133,133,133,134,137,137,137,NA,NA,42.7,42.0 ,38.3,38.0,37.1,35.2,34.9,34.9,33.3,30.2,28.6,28.6,27.8,27.6,26.3,27.0,27.0,,,,,
Maryland Transit Administration ,"Baltimore, MD",U,U,U,U,U,U,42,42,42,42,42,42,42,42,42,42,42,42,42,NA,NA,NA,NA,NA,NA,47.6,47.6,47.6,47.6,47.6,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,,,,,
Northern New England Passenger Rail Authority (NNEPRA),"Portland, ME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Metro Transit,"Minneapolis/St. Cloud, MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Rio Metro Regional Transit District,"Albuquerque/Santa Fe, NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,12,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
New Jersey Transit Corporation ,"Newark, NJ",158,158,158,162,162,162,167,168,167,167,162,162,164,164,164,164,164,164,165,86.1,86.1,74.1,71.6,71.6,71.6,69.5,69.0,59.3,59.3,58.6,58.6,57.3,57.3,56.1,56.1,53.0,53.0,52.7,,,,,
Metropolitan Transportation Authority Long Island Rail Road,"New York, NY",134,134,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,88.8,88.8,29.0,21.8,21.8,21.8,20.2,20.2,20.2,20.2,20.2,20.2,19.4,16.1,16.9,16.9,16.9,16.9,16.9,,,,,
Metropolitan Transportation Authority Metro-North Railroad,"New York, NY",106,106,106,106,108,108,109,109,109,109,109,109,109,110,110,111,111,112,112,84.0,82.1,81.1,81.1,81.5,74.1,73.4,70.6,70.6,70.6,65.1,65.1,61.5,60.9,60.9,59.5,58.6,58.9,58.9,,,,,
Tri-County Metropolitan Transportation District of Oregon,"Portland, OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,,,,,
Pennsylvania Department of Transportation,"Pennsylvania, PA",U,U,U,U,U,U,14,12,12,12,12,12,12,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,71.4,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,58.3,58.3,58.3,58.3,,,,,
Southeastern Pennsylvania Transportation Authority ,"Philadelphia, PA",181,177,177,177,177,177,153,156,156,156,156,156,154,154,154,154,154,154,154,86.2,83.1,83.1,83.1,83.1,83.1,68.6,67.3,67.3,65.4,64.7,64.7,64.3,64.3,64.3,61.0,59.7,57.1,55.8,,,,,
Regional Transity Authority (RTA),"Nashville, TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Capital Metropolitan Transportation,"Austin, TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,,,,,
Dallas Area Rapid Transit ,"Dallas, TX",U,U,U,U,U,U,4,4,4,4,4,4,4,5,10,10,10,10,10,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Denton County Transportation Authority (DCTA),"Denton, TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,,,,,
Fort Worth Transportation Authority ,"Fort Worth, TX",U,U,U,U,U,U,5,5,5,5,5,5,5,5,U,U,U,U,U,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,U,U,U,U,,,,,
Utah Transit Authority,"Salt Lake City, UT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Central Puget Sound Regional Transit Authority,"Seattle, WA",U,U,U,U,U,U,7,9,9,9,9,9,10,10,10,10,12,12,18,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Light rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley Metro Rail,"Phoenix, AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33,33,33,33,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Los Angeles County Metropolitan Transportation Authority ,"Los Angeles, CA",36,36,36,36,36,36,36,36,49,49,49,49,49,49,53,53,66,66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
North County Transit District,"San Diego, CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15,NA,NA,NA,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,0.0,0.0,0.0,NA,NA,NA,NA,,,,,
San Francisco Municipal Railway ,"San Francisco, CA",11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Sacramento Regional Transit District,"Sacramento, CA",28,28,28,29,29,29,29,31,41,41,41,48,48,48,48,48,50,38,38,100.0,100.0,100.0,0.0,0.0,0.0,0.0,3.2,2.4,2.4,2.4,2.1,2.1,2.1,2.1,2.1,2.0,0.0,0.0,,,,,
"San Diego Trolley, Inc.","San Diego, CA",38,41,49,49,49,49,49,49,49,49,53,53,53,53,U,53,53,53,53,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,0.0,,,,,
Santa Clara Valley Transportation Authority,"San Jose, CA",33,34,34,34,47,49,44,44,57,57,65,65,65,65,65,65,65,65,65,84.8,85.3,85.3,85.3,55.3,53.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Denver Regional Transportation District,"Denver, CO",15,15,15,15,20,20,20,24,23,23,36,36,36,36,36,36,36,46,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Hillsborough Area Regional Transit Authority,"Tampa-St. Petersburg, FL",NA,NA,NA,NA,NA,NA,NA,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,,,,,
New Orleans Regional Transit Authority,"New Orleans, LA",2,9,9,9,9,9,9,9,9,NA,9,9,9,9,9,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,,,,,
Massachusetts Bay Transportation Authority,"Boston, MA",95,95,95,95,95,78,78,70,70,70,70,74,74,74,74,74,74,74,74,90.5,90.5,90.5,87.4,87.4,79.5,79.5,64.3,64.3,64.3,64.3,62.2,62.2,52.7,51.4,51.4,51.4,51.4,48.6,,,,,
Maryland Transit Administration ,"Baltimore, MD",24,24,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
City of Detroit Department of Transportation ,"Detroit, MI",NA,NA,NA,NA,NA,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.0,100.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Metro Transit,"Minneapolis, MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,19,19,19,19,19,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Bi-State Development Agency,"St. Louis, MO",18,18,18,18,18,26,26,28,28,28,28,37,37,37,37,37,37,37,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Charlotte Area Transit System,"Charlotte, NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,19,19,19,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
New Jersey Transit Corporation ,"Newark, NJ",11,11,11,11,11,11,26,27,49,52,52,60,60,60,60,41,41,41,41,100.0,100.0,100.0,100.0,100.0,100.0,42.3,44.4,14.3,13.5,13.5,10.0,10.0,10.0,10.0,14.6,14.6,14.6,14.6,,,,,
Niagara Frontier Transportation Authority,"Buffalo, NY",14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,14,14,50.0,50.0,50.0,50.0,50.0,50.0,53.3,53.3,53.3,53.3,53.3,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
The Greater Cleveland Regional Transit Authority,"Cleveland, OH",33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,93.9,84.8,84.8,79.4,79.4,76.5,76.5,76.5,76.5,76.5,76.5,73.5,73.5,73.5,73.5,73.5,70.6,70.6,70.6,,,,,
Tri-County Metropolitan Transportation District of Oregon,"Portland, OR",27,27,29,47,47,47,52,52,62,63,63,63,30,30,38,36,36,37,37,3.7,3.7,3.4,2.1,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Port Authority of Allegheny County,"Pittsburgh, PA",13,13,13,13,13,13,14,14,25,25,25,25,27,23,23,23,26,26,26,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Southeastern Pennsylvania Transportation Authority ,"Philadelphia, PA",64,64,64,64,64,64,68,46,46,46,46,45,45,45,45,NA,NA,NA,NA,100.0,100.0,100.0,100.0,100.0,100.0,95.6,100.0,97.8,97.8,97.8,97.8,95.6,95.6,95.6,NA,NA,NA,NA,,,,,
Memphis Area Transit Authority,"Memphis, TN",20,20,27,28,28,28,28,1,7,7,7,7,7,7,7,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,,,,,
Dallas Area Rapid Transit,"Dallas, TX",14,20,20,20,20,22,29,34,34,34,34,34,34,39,39,55,58,61,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Island Transit,"Galveston, TX",3,3,3,U,U,U,3,3,3,3,3,3,U,U,U,U,U,U,U,0.0,0.0,0.0,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,U,U,U,U,U,U,U,,,,,
Metropolitan Transit Authority of Harris County,"Houston, TX",NA,NA,NA,NA,NA,NA,NA,NA,16,16,16,16,16,16,16,16,16,16,24,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Utah Transit Authority,"Salt Lake City, UT",NA,NA,NA,16,16,20,20,23,23,24,25,25,28,28,28,42,50,56,56,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Hampton Roads Transit (HRT),"Hampton, VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,,,,,
Central Puget Sound Regional Transit Authority,"Seattle, WA",NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,19,19,20,13,13,13,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
King County Department of Transportation ,"Seattle, WA",14,14,14,9,9,9,9,9,9,9,9,NA,11,11,11,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,,,,,
Kenosha Transit,"Kenosha, WI",NA,NA,NA,NA,1,1,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,100.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,NA,NA,NA,NA,,,,,
KEY:  ADA = Americans with Disabilities Act of 1992; NA = not applicable; U = data are not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rail transit data for 2002 and beyond include both directly operated and purchased transportation. Prior to 2002, the data include directly operated service only.  Stations for U.S. territories are excluded. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Federal Transit Administration, National Transit Database (Washington, DC: Annual Issues), table 21, available at http://www.ntdprogram.gov as of June 8, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
