Table 4-10:  Estimated Consumption of Alternative and Replacement Fuels for Highway Vehicles (Thousand gasoline-equivalent gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,,,,,,,,,
"b The remaining portion of 85% methanol, 85% ethanol, and 95% ethanol fuels is Gasoline. Consumption data include the Gasoline portion of the fuel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Excludes gasoline-electric hybrids.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d Includes a very small amount of other ethers, primarily tertiary-amyl-methyl-ether and ethyl-tertiary-butyl-ether. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e Gasoline consumption includes Ethanol in gasohol and Methyl-tertiary-butyl-ether.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f Diesel includes Biodiesel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beginning with 2003 data, the methodology used to develop the estimates of alternative fueled vehicles (AFVs) in use and alternate transportation fuel consumption were changed. The data reflect this new methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The traditional fuel consumption data in this table are slightly different from the fuel consumption data in table 4-9 due to different sources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Energy, Energy Information Administration, Alternatives to Traditional Transportation Fuels 2011, table C-1 and similar tables in earlier editions, available at http://www.eia.gov/renewable/afv/index.cfm as of Apr. 17, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
