Table 2-30:  Safety Belt and Motorcycle Helmet Use (percent)a,,,,,,,,,,,,,,,,,,,,,
,1994,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
"2010: Ibid., Seat Belt Use in 2011–Overall Results, Traffic Safety Facts, Research Note DOT HS 811 544 (Washington, DC: 2011), available at http://www-nrd.nhtsa.dot.gov/Pubs/811544.pdf as of December. 2011.DC: 2010.",,,,,,,,,,,,,,,,,,,,,
"2011: Ibid., Seat Belt Use in 2012–Overall Results, Traffic Safety Facts, Research Note DOT HS 811 691(Washington, DC: 2012), available at http://www-nrd.nhtsa.dot.gov/Pubs/811691.pdf as of  April 2013.",,,,,,,,,,,,,,,,,,,,,
"2012: Ibid., Seat Belt Use in 2013–Overall Results, Traffic Safety Facts, Research Note DOT HS 811 875(Washington, DC: 2014), available at http://www-nrd.nhtsa.dot.gov/Pubs/811875.pdf as of  June 2014.",,,,,,,,,,,,,,,,,,,,,
"2013: Ibid., Seat Belt Use in 2014–Overall Results, Traffic Safety Facts, Research Note DOT HS 812 113(Washington, DC: 2015), available at http://www-nrd.nhtsa.dot.gov/Pubs/812113.pdf as of  June 2015.",,,,,,,,,,,,,,,,,,,,,
"2014-15: Ibid., Seat Belt Use in 2015–Overall Results, Traffic Safety Facts, Research Note DOT HS 812 113(Washington, DC: 2016), available at http://www-nrd.nhtsa.dot.gov/Pubs/812113.pdf as of  February 2016.",,,,,,,,,,,,,,,,,,,,,
Motorcycle helmet use:,,,,,,,,,,,,,,,,,,,,,
"1994-98: U.S. Department of Transportation, National Highway Traffic Safety Administration, Research Note, Observed Safety Belt Use in 1998 (Washington, DC: September 1999), table 3, available at http://www-nrd.nhtsa.dot.gov/pdf/nrd-30/NCSA/RNotes/1999/98obbelt.html as of January 2003. ",,,,,,,,,,,,,,,,,,,,,
"2000, 2002: Ibid., Safety Belt and Helmet Use in 2002 -- Overall Results, DOT HS 809 500 (Washington, DC: 2002), table 6, available at http://www-nrd.nhtsa.dot.gov/pdf/nrd-30/NCSA/Rpts/2002/809-500.pdf as of January 2003.",,,,,,,,,,,,,,,,,,,,,
"2004: Ibid., Motorcycle Helmet Use in 2005 -- Overall Results, DOT HS 809 937 (Washington, DC: 2005), available at http://www-nrd.nhtsa.dot.gov/pdf/nrd-30/NCSA/RNotes/2005/809-937/images/809937.pdf as of Oct. 16, 2006. ",,,,,,,,,,,,,,,,,,,,,
"2005-06: Ibid., Motorcycle Helmet Use in 2006 -- Overall Results, DOT HS 810 678 (Washington, DC: 2006), available at http://www-nrd.nhtsa.dot.gov/pdf/nrd-30/NCSA/RNotes/2005/809-937/images/809937.pdf as of June 8, 2007. ",,,,,,,,,,,,,,,,,,,,,
"2007: Ibid., Motorcycle Helmet Use in 2008–Overall Results, DOT HS 811 044 (Washington, DC: 2008), available at http://www-nrd.nhtsa.dot.gov/Pubs/811044.PDF as of June 24, 2009. ",,,,,,,,,,,,,,,,,,,,,
"2008: Ibid., Motorcycle Helmet Use in 2009–Overall Results, DOT HS 811 254 (Washington, DC: 2008), available at www-nrd.nhtsa.dot.gov/Pubs/811254.PDF as of July 6, 2010. ",,,,,,,,,,,,,,,,,,,,,
"2009: Ibid., Motorcycle Helmet Use in 2010–Overall Results, DOT HS 811 419 (Washington, DC: 2010), available at http://www-nrd.nhtsa.dot.gov/Pubs/811419.pdf as of December 2011. ",,,,,,,,,,,,,,,,,,,,,
"2010: Ibid., Motorcycle Helmet Use in 2011–Overall Results, DOT HS 811 610 (Washington, DC: 2012), available at http://www-nrd.nhtsa.dot.gov/Pubs/811610.pdf as of April 2013. ",,,,,,,,,,,,,,,,,,,,,
"2011: Ibid., Motorcycle Helmet Use in 2012–Overall Results, DOT HS 811 759 (Washington, DC: 2013), available at http://www-nrd.nhtsa.dot.gov/Pubs/811759.pdf as of May 2013. ",,,,,,,,,,,,,,,,,,,,,
"2012: Ibid., Motorcycle Helmet Use in 2013–Overall Results, DOT HS 812 010 (Washington, DC: 2014), available at http://www-nrd.nhtsa.dot.gov/Pubs/812010.pdf as of June 2014. ",,,,,,,,,,,,,,,,,,,,,
"2013: Ibid., Motorcycle Helmet Use in 2014–Overall Results, DOT HS 812 110 (Washington, DC: 2015), available at http://www-nrd.nhtsa.dot.gov/Pubs/812110.pdf as of June 2015. ",,,,,,,,,,,,,,,,,,,,,
"2014-15: Ibid., Motorcycle Helmet Use in 2015–Overall Results, DOT HS 812 110 (Washington, DC: 2016), available at http://www-nrd.nhtsa.dot.gov/Pubs/812110.pdf as of February 2016. ",,,,,,,,,,,,,,,,,,,,,
