Table 2-23: Truck Occupant Safety Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light,2.4,2.5,1.7,1.5,1.4,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.0,0.9,0.9,0.7,0.7,0.7,0.7
Large,1.2,1.2,0.8,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.2
Injured persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light,N,N,N,90.9,94.5,84.8,89.0,88.7,96.3,96.7,91.5,88.5,94.0,94.3,88.5,87.0,85.3,82.0,77.0,74.1,74.0,69.4,67.6,64.3,56.8,59.2,58.0,59.5
Large,N,N,N,28.7,18.7,22.2,20.0,17.6,16.8,18.0,16.2,14.8,16.3,15.1,13.9,12.1,12.4,12.2,12.1,10.3,7.6,7.4,5.9,7.0,8.6,9.3,8.7,9.7
Trucks involved in crashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light,N,N,N,432,416,386,406,415,425,427,412,394,408,410,403,395,389,379,367,359,369,358,352,331,283,296,299,318
Large,N,N,N,263,221,245,248,270,212,215,229,210,234,222,205,202,210,188,199,173,136,122,103,96,107,124,124,157
KEY:  N = data do not exist; R = revised. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Large trucks - trucks over 10,000 pounds gross vehicle weight rating, including single-unit trucks and truck tractors. Light trucks - trucks of 10,000 pounds gross vehicle weight rating or less, including pickups, vans, truck-based station wagons, and utility vehicles. The injury and crash data in this table are from the U.S. Department of Transportation (USDOT), National Highway Traffic Safety Administration's (NHTSA) General Estimates System (GES). The data from GES, which began operation in 1988, are obtained from a nationally representative probability sample selected from all police-reported crashes. The GES sample includes only crashes where a police accident report was completed and the crash resulted in property damage, injury, or death.  The resulting figures do not take into account crashes that were not reported to the police or that did not result in property damage. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vehicle-miles in this table and in table 2-19 are taken from NHTSA revised data and are not based exclusively on USDOT, Federal Highway Administration (FHWA) data, as they have been in earlier reports. The change was made to reflect the different vehicle classification schemes used by FHWA and NHTSA. Thus, Vehicle-miles for passenger cars and Light and Large trucks in table 2-19 and this table should not be compared with Vehicle-miles in Chapter 1, which are taken directly from FHWA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rates per 100 million vehicle-miles figures may not match those in the source data due to rounding by the source. The category Trucks involved in crashes, total, is not comparable to the category Crashes, that appeared in this table in 2008 and previous editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, National Highway Traffic Safety Administration, National Center for Statistics and Analysis, Fatality Analysis Reporting System (FARS) Database and General Estimates System (NASS GES) Database, personal communications, May 15, 2012, May 22, 2013, June 20, 2014, March31, 2015 and March 15, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
