Table 1-51:  Top U.S. Foreign Trade Freight Gateways by Value of Shipments (Current $ billions),,,,,,,,,,,,,
Gateway,Type,2015,,,,2014,,,,2013,,,
"Brunswick, GA",Water,38,5.8,14.5,20.3,40,5.5,15.5,21.0,46,5.0,14.2,19.2
"Blaine, WA",Land,39,11.5,8.3,19.7,39,12.8,8.3,21.1,42,13.0,8.0,21.0
"Gramercy, LA",Water,40,14.2,4.5,18.7,34,18.5,6.3,24.8,38,14.5,8.1,22.6
"Philadelphia, PA",Water,41,3.4,15.0,18.4,50,3.1,14.2,17.3,43,2.8,17.0,19.8
"Newark, NJ (Port)",Air,42,4.3,13.6,17.9,45,4.4,14.6,19.0,51,4.1,11.3,15.4
"Corpus Christi, TX",Water,43,10.5,7.1,17.6,33,12.7,12.8,25.5,34,10.9,14.7,25.6
"San Juan International Airport, PR",Air,44,10.6,6.9,17.5,48,10.8,7.4,18.2,52,9.8,5.6,15.3
"Logan Airport, MA",Air,45,6.0,11.1,17.0,63,5.9,6.7,12.6,62,5.3,6.8,12.1
"Seattle-Tacoma International Airport, WA",Air,46,9.0,7.4,16.4,59,7.0,6.7,13.7,63,6.6,5.5,12.0
"Calexico-East, CA",Land,47,6.5,9.7,16.2,57,6.0,8.3,14.3,60,5.6,7.4,13.0
"Portal, ND",Land,48,9.8,6.2,16.0,41,12.7,7.6,20.3,44,12.3,7.1,19.4
"Beaumont, TX",Water,49,6.2,9.2,15.4,31,6.0,21.1,27.1,28,6.6,25.9,32.6
"Washington, DC",Air,50,4.9,10.5,15.4,55,5.1,10.1,15.2,58,4.7,8.8,13.5
Total top 50 gatewaysa,,,"1,165.6","1,798.5","2,964.1",,"1,252.7","1,834.3","3,087.0",,"1,214.6","1,784.0","2,998.6"
aData for 2013 and 2014 are based on the top 50 freight gateways in 2013 and 2014 and are not a summation of the numbers on the table.,,,,,,,,,,,,,
,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,
"All data: Trade levels reflect the mode of transportation as a shipment enters or exits at a border port. Flows through individual ports are based on reported data collected from U.S. trade documents. Trade does not include low-value shipments.  (In general, these are imports valued at less than $1,250 and exports that are valued at less than $2,500).",,,,,,,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Air: Data for all air gateways are reported at the port level and include a low level (generally less than 2%-3% of the total value) of small user-fee airports located in the same region.  Air gateways not identified by airport name (e.g., Chicago, IL and others) include major airport(s) in that geographic area in addition to small regional airports. In addition, due to Bureau of Census confidentiality regulations, data for courier operations are included in the airport totals for JFK International Airport, Chicago, Los Angeles, Miami, New Orleans, Anchorage, and Cleveland. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,
"Air: U.S. Department of Commerce, U.S. Census Bureau, Foreign Trade Division, USA Trade Online, available at https://usatrade.census.gov/, October 2016.",,,,,,,,,,,,,
"Land: U.S. Department of Transportation, Bureau of Transportation Statistics, North American Transborder Freight Data, available at http://www.bts.gov/programs/international/transborder/ as of October 2016.",,,,,,,,,,,,,
"Water: U.S. Army Corps of Engineers, Navigation Data Center, special tabulation, October 2016.",,,,,,,,,,,,,
