Table 1-39:  Worldwide Commercial Space Launches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,TOTAL         1990-2014,,,,
Rockot,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,2,1,0,0,1,0,9,,,,
Shtil,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,
Soyuz,0,0,0,0,0,0,0,0,0,6,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,12,,,,
Soyuz 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,2,0,1,0,8,,,,
Start,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,,,,
Volna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,
Zenit 3SLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,
"Ukraine, total",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,
Zenit 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,
"China, total",1,0,2,0,2,3,2,3,4,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,23,,,,
Long March 2C,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,
Long March 2E,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,
Long March 3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,
Long March 3B,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,7,,,,
Long March 2D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,
"India, total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,,,,
PSLV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,,,,
"Sea Launcha, total",0,0,0,0,0,0,0,0,0,2,3,2,1,3,3,4,5,1,6,4,0,2,3,1,1,41,,,,
Zenit 3SL,0,0,0,0,0,0,0,0,0,2,3,2,1,3,3,4,5,1,6,4,0,2,3,1,1,41,,,,
"a Sea Launch is an international venture involving organizations in four countries and uses its own launch facility outside national borders. Their first commercial launch, in 1999, was licensed by the Federal Aviation Administration. Sea Launch filed for Chapter 11 bankruptcy protection in June 2009 and thus had no launches in the second half of the year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A commercial launch is a launch that is internationally competed (i.e., available in principle to international launch providers) or whose primary payload is commercial in nature. FAA-licensed launches carrying captive government (NASA and DOD) or industry payloads (ORBCOMM, Delta 3 demosat, Zenit 3SL demosat, and others) are counted here. Data are for orbital launches only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990–99: U.S. Department of Transportation, Federal Aviation Administration, Associate Administrator for Commercial Space Transportation, personal communication, June 4, 2002. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-14: U.S. Department of Transportation, Federal Aviation Administration, Commercial Space Transportation: Year in Review (Washington, DC: Annual Issues), table 2, available at http://www.faa.gov/about/office_org/headquarters_offices/ast/ as of May 19, 2015. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
