Table 1-34:  U.S. Flag Vessels by Type and Age (Number of vessels),,,,,,,,,,,,,,,,,,
,Vessel type,,,,,,,,,,Vessel type,,,,,,,
11–15,105,19,196,166,111,"1,113",72,"1,782",,11–15,111,9,330,92,231,"5,587",511,"6,874"
16–20,179,31,"1,198",129,634,"8,591",865,"11,626",,16–20,63,3,145,114,101,"2,764",329,"3,520"
21–25,88,22,979,106,211,"5,909",763,"8,076",,21–25,109,3,147,155,50,"1,214",36,"1,715"
>25,230,48,"2,487",292,195,"4,817","1,499","9,573",,>25,421,38,"3,964",395,949,"8,184","1,969","15,933"
"1999, total",695,142,"5,098",970,"1,470","29,414","3,973","41,766",,"2011, total",851,77,"5,458","1,784","1,772","26,996","4,502","40,521"
<6,60,12,302,144,245,"6,640",565,"7,968",,<6,59,17,632,258,248,"6,213","1,200","8,400"
6–10,49,3,140,146,114,"3,192",298,"3,943",,6–10,106,7,290,194,194,"2,730",628,"4,022"
11–15,97,12,146,183,61,"1,231",39,"1,769",,11–15,101,9,355,239,239,"6,038",496,"7,324"
16–20,146,35,"1,101",120,571,"7,414",742,"10,129",,16–20,66,3,163,100,100,"2,702",373,"3,510"
21–25,99,30,953,95,283,"5,302",760,"7,522",,21–25,111,3,132,51,51,"1,583",77,"2,113"
>25,243,50,"2,447",282,191,"5,491","1,560","10,267",,>25,408,38,"3,881",940,940,"7,460","1,720","14,865"
"2000, total",737,135,"4,995",918,"1,414","29,141","4,011","41,354",,"2012, total",833,66,"5,499",861,"1,668","26,923","4,627","40,530"
<6,66,11,325,134,246,"6,721",582,"8,085",,<6,56,17,649,29,241,"6,213","1,432","8,569"
6–10,50,4,143,118,106,"3,051",329,"3,802",,6–10,92,12,304,47,184,"2,969",655,"4,273"
11–15,113,8,142,178,58,"1,565",48,"2,112",,11–15,100,9,368,77,237,"5,515",480,"6,792"
16–20,136,34,929,124,454,"5,846",602,"8,125",,16–20,82,3,183,108,84,"3,474",412,"4,352"
21–25,105,30,954,90,332,"5,365",712,"7,588",,21–25,90,0,144,157,68,"1,851",155,"2,475"
>25,263,48,"2,497",271,214,"6,461","1,714","11,470",,>25,413,25,"3,850",443,853,"6,792","1,490","13,918"
"2001, total",966,120,"5,150",733,"1,573","28,920","4,122","41,588",,"2013, total",844,65,"5,473",833,"1,645","26,387","4,694","39,999"
<6,114,12,369,84,305,"6,830",623,"8,337",,<6,57,16,617,34,217,"5,334","1,420","7,717"
6–10,76,3,167,81,111,"2,815",388,"3,641",,6–10,89,14,349,49,202,"3,391",737,"4,847"
11–15,132,5,125,138,68,"2,043",85,"2,596",,11–15,105,8,363,65,243,"4,463",487,"5,736"
16–20,139,32,692,110,372,"4,241",329,"5,916",,16–20,85,2,218,94,110,"4,531",387,"5,437"
21–25,154,28,972,77,452,"6,126",805,"8,614",,21–25,74,2,155,143,77,"2,371",246,"3,076"
>25,347,40,"2,818",240,262,"6,712","1,884","12,306",,>25,422,21,"3,767",447,792,"6,106","1,415","13,028"
"2002, total",989,108,"5,180",750,"1,591","28,313","4,068","41,002",,"2014, total",846,61,"5,476",853,"1,692","26,387","4,869","40,082"
<6,113,13,369,70,322,"6,117",595,"7,599",,<6,55,17,566,27,198,"4,749","1,447","7,093"
6–10,86,3,185,92,96,"3,416",419,"4,298",,6–10,74,15,452,51,206,"3,979",883,"5,676"
11–15,130,2,142,136,89,"2,499",172,"3,170",,11–15,107,7,328,65,201,"3,743",510,"4,963"
16–20,114,22,381,117,228,"1,669",134,"2,665",,16–20,94,5,273,99,170,"4,991",429,"6,079"
21–25,175,35,"1,091",75,547,"7,702",843,"10,468",,21–25,438,2,155,143,77,"2,615",286,"3,341"
>25,368,33,"3,004",256,305,"6,731","1,904","12,603",,>25,439,15,"3,696",493,821,"5,927","1,313","12,852"
a Age is based on the year the vessel was built or rebuilt.,,,,,,,,,,,,,,,,,,
"b In 1992, Offshore support boats were designated as crew boats.",,,,,,,,,,,,,,,,,,
"c In 1992, Tank barges were designated as Liquid barges.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,
Figures include vessels available for operation.,,,,,,,,,,,,,,,,,,
Totals may be greater than sum because of unclassified vessels and vessels of unknown age.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SOURCE  ,,,,,,,,,,,,,,,,,,
"U.S. Army Corps of Engineers, Waterborne Transportation Lines of the United States, Volume 1, National Summaries (New Orleans, LA: Annual Issues), table 4, available at http://www.navigationdatacenter.us/veslchar/pdf/ as of June 21, 2016.",,,,,,,,,,,,,,,,,,
