Table 3-19:  Average Passenger Fares (Chained 2009 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960: Civil Aeronautics Board, Handbook of Airline Statistics, 1969 (Washington, DC: February 1970), part III, table 2 (enplanements); part IV, table 2 (passenger revenue).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965-70: Ibid. Handbook of Airline Statistics, 1973 (Washington, DC:  March 1974), part III, table 2 (enplanements); part IV, table 2 (passenger revenue).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: Ibid. Air Carrier Financial Statistics (Washington, DC: Annual December issues), p. 1, line 3; and Air Carrier Traffic Statistics (Washington, DC: Annual December Issues), p. 2, line 16 (passenger revenue / revenue passenger enplanements). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985: U.S. Department of Transportation, Bureau of Transportation Statistics, Office of Airline Information, Air Carrier Financial Statistics (Washington, DC: Annual December Issues); and Air Carrier Traffic Statistics (Washington, DC: Annual December Issues) (passenger revenue / revenue passenger enplanements). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2014: U.S. Department of Transportation, Bureau of Transportation Statistics, Office of Airline Information, TranStats Database, T1: U.S. Air Carrier Traffic and Capacity Summary by Service Class, available at  http://www.transtats.bts.gov/DL_SelectFields.asp?Table_ID=264&DB_Short_Name=Air%20Carrier%20Summary as of Aug. 14, 2015, and  Air Carrier Financial Reports, Schedule P-1.2, available at http://www.transtats.bts.gov/databases.asp?Mode_ID=1&Mode_Desc=Aviation&Subject_ID2=0 as of March 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Class I bus, intercity:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-93: Interstate Commerce Commission, Transport Statistics in the United States, Motor Carriers (Washington, DC:  Annual Issues), part 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1994-2002: U.S. Department of Transportation, Bureau of Transportation Statistics, Selected Earnings Data, Class I Motor Carriers of Passengers (Washington, DC:  Annual Issues) (operating revenue / revenue passengers).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit and commuter rail:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-2001: American Public Transportation Association, Public Transportation Fact Book Appendix A: Historical Tables (Washington, DC: Annual Issues), table 43, and similar tables in earlier editions (passenger fares / passenger trips).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-14: U.S. Department of Transportation, Federal Transit Administration, National Transit Database, Data Tables (Washington, D.C.: Annual Reports), table 26, available at http://www.ntdprogram.gov/ntdprogram/data.htm as of July 22, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercity rail / Amtrak:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70: Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: National Passenger Rail Corporation (Amtrak), State and Local Affairs Department and Public Affairs Department, personal communication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-96: National Passenger Rail Corporation (Amtrak), Amtrak Annual Report, Statistical Appendix (Washington, DC: Annual Issues) (transportation revenues / Amtrak system passenger trips).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1997-1999: National Passenger Rail Corporation (Amtrak), Amtrak Annual Report (Washington, DC: Annual Issues) (ticket revenue per passenger mile multiplied by average trip length of passengers), p. 67, available at http://www.amtrak.com/servlet/ContentServer?c=Page&pagename=am%2FLayout&cid=1241245669222 as of Mar. 4, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-14: National Passenger Rail Corporation (Amtrak), News Release (ticket revenue divided by ridership), available at http://www.amtrak.com as of Dec. 2, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
