Table 2-42:  Railroad Passenger Safety Data,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,(R) 2012,2013,2014,2015
"1990-96: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety, Railroad Safety Statistics Annual Report  (Washington, DC: Annual Issues), table 1-2, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Publications.aspx as of Sept. 8, 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,
"1997-98: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety, Railroad Safety Statistics 2008 Annual Report  (Washington, DC), table 1-2, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Publications.aspx  as of June 10, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,
"1999: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety, Railroad Safety Statistics 2010 Preliminary Annual Report (Washington, DC: March 2012), table 1-2, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Prelim.aspx as of Apr. 20, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-12: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety, Railroad Safety Statistics 2011 Preliminary Annual Report (Washington, DC: April), table 1-2, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Prelim.aspx as of Apr. 24, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-15: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety Analysis, 1.13 - Passenger Operations Ten Year Overview, available at http://safetydata.fra.dot.gov/OfficeofSafety/default.aspx as of Sept. 30, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Train-miles, passenger trains:",,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-96: U.S. Department of Transportation, Bureau of Transportation Statistics calculations (sum of all commuter rail train-miles reported to USDOT, Federal Transit Administration, plus Amtrak train-miles).",,,,,,,,,,,,,,,,,,,,,,,,,,
"1997: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety, Railroad Safety Statistics 2007 Annual Report (Washington, DC), table 2-4, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Publications.aspx as of September 8, 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,
"1998-2008: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety, Railroad Safety Statistics Annual Report (Washington, DC: Annual Issues), table 2-4, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Publications.aspx as of June 10, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,
"2009-12: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety, Railroad Safety Statistics: Preliminary Annual Report (Washington, DC: March 2011), table 2-4, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Prelim.aspx as of April 24, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-15: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety Analysis, 1.13 - Passenger Operations Ten Year Overview, available at http://safetydata.fra.dot.gov/OfficeofSafety/default.aspx as of Sept. 30, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,
