Table 2-20:  Occupant and Nonmotorist Fatalities in Crashes by Number of Vehicles and Alcohol Involvement (AI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Motorist fatalities, TOTAL","37,304","14,376","37,646","14,861","36,956","14,959","35,701","14,487","32,103","12,962","28,995","11,884","27,889","11,033","27,140","10,715","28,003","11,191","27,175","10,915","26,901","10,713","28,671","10,960",,,,,,
Single-vehicle crashes,"18,353","8,875","18,820","9,206","18,890","9,376","18,472","9,246","17,121","8,554","15,412","7,780","14,609","7,060","14,311","7,055","14,633","7,130","14,009","6,903","13,567","6,561","13,854","6,445",,,,,,
Two-vehicle crashes,"15,816","4,568","15,681","4,657","15,070","4,622","14,349","4,313","12,648","3,684","11,483","3,456","11,222","3,332","10,862","3,066","11,170","3,363","10,995","3,278","11,131","3,419","12,352","3,726",,,,,,
More than two-vehicle crashes,"3,135",933,"3,145",999,"2,996",961,"2,880",929,"2,334",723,"2,100",648,"2,058",641,"1,967",595,"2,200",698,"2,171",734,"2,203",734,"2,465",790,,,,,,
"Nonmotorist fatalities, TOTAL","5,532","2,543","5,864","2,729","5,752","2,779","5,558","2,670","5,320","2,487","4,888","2,295","5,110","2,290","5,339","2,469","5,779","2,688","5,718","2,654","5,843","2,675","6,421","3,006",,,,,,
"Pedestrians fatalities, total","4,675","2,246","4,892","2,360","4,795","2,401","4,699","2,334","4,414","2,168","4,109","1,997","4,302","2,033","4,457","2,157","4,818","2,337","4,779","2,341","4,910","2,357","5,376","2,626",,,,,,
"Pedestrians, single-vehicle crashes","4,237","2,003","4,445","2,100","4,332","2,138","4,305","2,110","4,006","1,930","3,749","1,804","3,853","1,811","4,011","1,911","4,342","2,082","4,307","2,077","4,431","2,095","4,851","2,344",,,,,,
"Pedestrians, multiple-vehicle crashes",438,243,447,260,463,264,394,224,408,237,360,193,449,222,446,247,476,254,472,265,479,262,525,282,,,,,,
"Pedalcyclists fatalities, total",727,255,786,308,772,311,701,281,718,265,628,249,623,211,682,255,734,277,749,257,729,255,818,310,,,,,,
"Pedalcyclists, single-vehicle crashes",698,242,757,292,732,292,673,270,690,249,598,234,603,201,655,240,697,261,723,245,701,242,783,296,,,,,,
"Pedalcyclists, multiple-vehicle crashes",29,13,29,15,40,19,28,11,28,15,30,15,20,10,27,15,37,16,26,12,28,13,35,14,,,,,,
Others/unknown,130,41,186,62,185,67,158,56,188,55,151,49,185,46,200,57,227,75,190,56,204,63,227,70,,,,,,
KEY: AI = Alcohol involvement; Fatal = fatalities; P = preliminary; R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alcohol involvement pertains to any driver, pedestrian, or pedalcyclist involved in the accident. Alcohol results are determined from positive blood alcohol concentration tests and police-reported alcohol involvement and are adjusted by the U.S. Department of Transportation, National Highway Traffic Safety Administration.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 2001, the National Highway Traffic Safety Administration (NHTSA) adopted a new method, i.e., multiple imputation, to estimate missing blood alcohol concentration (BAC) test result data. This new method is being used by NHTSA's National Center for Statistics and Analysis (NCSA) to improve the scope of alcohol involvement statistics by the Fatality Analysis Reporting System (FARS). As a result, alcohol involvement fatalities have undergone a complete revision.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The sum of individual categories may not add to totals because NCSA generates a separate estimate for each category of fatalities, including total fatalities. The estimates are rounded to the nearest whole number.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The total motorist and nonmotorist fatalities data in this table are not comparable to total motorist and nonmotorist fatality data in other NTS tables that cite the U.S. Department of Transportation, National Highway Traffic Safety Administration's Traffic Safety Facts publication as a source.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, National Highway Traffic Safety Administration, National Center for Statistics and Analysis, Fatality Analysis Reporting System (FARS) Database, personal communications, Sept. 6, 2006, Dec. 9, 2008, Oct. 20, 2009, Nov. 22, 2010, Jun. 7, 2012, and May 22, 2013, June 16, 2014, March 15, 2016, and November 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
