Table 3-10:  National Transportation and Economic Trends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger miles is the summation of all modes from table 1-40 less transit motor bus and demand responsive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ton-miles is the summation of all modes from table 1-50.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chained (2009) dollar series are calculated as the product of the chain-type quantity index and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To make all the data comparable, all index data are using year 1997 as the base year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This table is not comparable with the previous'  version. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chained 2005 dollars estimates for earlier years can be found in the 2013 edition of NTS, table 3-10.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Index 2007 = 100 version can be found in the 2014 edition of NTS, table 3-10.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger-miles:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics, National Transportation Statistics, table 1-40, available at http://www.bts.gov/publications/national_transportation_statistics/ as of Feb. 24, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ton-miles:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics (BTS), National Transportation Statistics, table 1-50, available at http://www.bts.gov/publications/national_transportation_statistics/ as of Sept. 29, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-99: U.S. Department of Commerce, U.S. Census Bureau, Statistical Abstract of the United States (Washington, DC: Annual Issues), table 2, available at http://www.census.gov/ as of Aug. 4, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-14: U.S. Census Bureau, Population Division, Population Estimates, available at http://www.census.gov/popest/data/index.html as of Feb. 24, 2016.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial Production Index:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-75: Council of Economic Advisors, Economic Report of the President, Industrial Production Indexes, table B-52, available at http://www.gpoaccess.gov/eop/download.html as of Feb. 09, 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-2014: The Federal Reserve System, Industrial Production and Capacity Utilization, Annual Revision Release (Washington DC: March Annual Issues), table 1A, available at http://www.federalreserve.gov/releases/g17/ as of Feb. 24, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Domestic Product:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Commerce, Bureau of Economic Analysis, Industry Economic Accounts, available at http://www.bea.gov/iTable/iTable.cfm?ReqID=9&step=1#reqid=9&step=1&isuri=1 as ofFeb. 24, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
