Table 1-35M:  U.S. Vehicle-Kilometers (Millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor busf,"2,537","2,460","2,268","2,456","2,699","2,998","3,428","3,487","3,505","3,556","3,479","3,514","2,917","2,976","3,064","3,195","3,284","3,386","3,470","3,504","3,491","3,528","3,563","3,607","3,656","3,678","3,586","3,394","3,334","3,212","3,238",U
Light railh,120,67,54,38,28,27,39,44,46,45,55,56,60,66,70,77,84,87,98,104,108,111,120,134,141,145,150,155,162,176,183,U
Heavy rail,629,636,655,681,619,725,864,848,846,840,856,865,874,897,910,930,958,979,999,"1,014","1,034","1,040","1,049","1,058","1,085","1,102","1,072","1,054","1,057","1,084","1,088",U
Trolley bus,162,69,53,25,21,25,22,22,22,21,22,22,22,22,22,23,23,21,22,22,22,21,20,18,19,21,19,19,19,19,18,U
Commuter rail,N,N,N,278,288,294,342,346,352,360,371,383,389,403,417,428,436,446,456,460,474,488,506,523,543,543,551,546,554,571,590,U
Demand responsef,N,N,N,N,N,398,492,539,585,653,746,815,584,659,755,795,856,930,986,"1,030","1,047","1,100","1,139","1,211","1,292","1,363","1,299","1,295","1,301","1,315","1,327",U
Ferry boati,N,N,N,N,U,U,4,4,4,4,3,4,3,3,4,4,4,4,4,5,5,5,4,6,5,5,5,5,5,5,5,U
"Otheri,j",N,N,N,24,25,24,26,31,39,48,47,55,109,124,145,181,156,160,167,162,210,232,240,263,300,344,399,505,564,720,678,U
Rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Class I freight, train-miles",651,677,687,648,690,559,611,603,628,653,710,738,754,764,764,789,811,804,804,830,861,881,905,875,844,702,766,794,805,811,834,U
"Class I freight, car-miles","45,335","47,212","48,103","44,508","47,117","40,105","42,099","41,244","42,049","43,264","45,842","48,897","51,040","50,952","52,556","54,478","55,667","55,109","55,812","57,220","59,660","60,692","62,692","61,454","59,909","51,684","57,198","58,981","58,781","56,734","59,856",U
"Intercity/Amtrakk, train-miles",336,277,150,48,48,48,53,55,55,56,55,51,48,51,53,55,56,58,61,60,60,58,58,60,61,62,60,60,61,62,61,U
"Intercity/Amtrakk, car-miles","3,554","2,857","1,110",407,378,404,484,504,494,488,489,470,444,463,502,550,592,608,609,534,496,426,425,429,437,455,474,477,514,523,523,U
Total train-milesl,987,954,837,696,738,607,664,658,683,709,764,789,803,816,817,844,867,862,865,891,920,939,963,935,904,764,826,854,865,873,895,U
KEY: N = data do not exist; R = revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a All operations other than those operating under 14 CFR 121 and 14 CFR 135. Data for 1996 are estimated using new information on nonrespondents and are not comparable to earlier years. Mileage in source is multiplied by 1.151 to convert to nautical-miles for 1985-1997.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b 1960-2006 data are for Passenger Cars and Other 2-axle, 4-tire vehicles, respectively. Data for 1960-2006 are not comparable to data for 2007-14. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c U.S. Department of Transportation, Federal Highway Administration (FHWA), provides data separately for Light duty vehicle, short wheel base (formerly Passenger car) and Motorcycle in its annual Highway Statistics series. However, the 1995 summary report provides updated data for Light duty vehicle, short wheel base (formerly Passenger car) and Motorcycle combined. Light duty vehicle, short wheel base (formerly Passenger car) figures in this table were computed by U.S. Department of Transportation, Bureau of Transportation Statistics, by subtracting the most current motorcycle figures from the aggregate Light duty vehicle, short wheel base (formerly Passenger car) and Motorcycle figures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d 1960–65, Motorcycle data are included in Light duty vehicle, short wheel base (formerly Passenger car), and Light duty vehicle, long wheel base (formerly Other 2-axle 4-tire vehicle) data are included in Truck, single-unit 2-axle 6-tire or more.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e In July 1997, the FHWA published revised vehicle-miles data for the highway modes for many years. The major change reflected the reassignment of some vehicles from the Passenger cars category to the Other 2-axle 4-tire vehicles category.  This category was calculated prior to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f Motor bus and Demand response figures are also included in the Bus figure for Highway.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"g Prior to 1985, excludes Demand response and most rural and smaller systems funded via Sections 18 and 16(b)2, Federal Transit Act. The series is not continuous between 1980 and 1985. Transit rail modes are measured in car-miles. Car-miles measure individual vehicle-miles in a train. A 10-car train traveling 1 mile would equal 1 train-mile and 10 car-miles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h Beginning in 2011, Light rail includes Light Rail, Street Car Rail, and Hybrid Rail.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i Ferry boat included with Other under Transit for 1980 and 1985.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"j Other includes Aerial Tramway, Alaska Railroad, Bus Rapid Transit, Cable Car, Commuter Bus, Demand Response - Taxi, Inclined Plane, Monorail/Automated Guideway, Publico and Vanpool.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k National Passenger Railroad Corporation (Amtrak) began operations in 1971.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"l Although both Train-miles and Car-miles are shown for rail, only Train-miles are included in the total. A Train-mile is the movement of a train, which can consist of multiple vehicles (cars), the distance of 1 mile. This differs from a vehicle-mile, which is the movement of 1 vehicle the distance of 1 mile. A 10-vehicle train traveling 1 mile would be measured as 1 train-mile and 10 vehicle-miles. Caution should be used when comparing train-miles with vehicle miles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 2007-14 were calculated using a new methodology developed by FHWA. Data for these years are based on new categories and are not comparable to previous years. The new category Light duty vehicle, short wheel base includes passenger cars, light trucks, vans and sport utility vehicles with a wheelbase (WB) equal to or less than 121 inches. The new category Light duty vehicle, long wheel base includes large passenger cars, vans, pickup trucks, and sport/utility vehicles with wheelbases (WB) larger than 121 inches. This edition of 1-35 is not comparable to previous editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In July 1997, the FHWA published revised vehicle-miles data for the highway modes for many years. The major change reflected the reassignment of some vehicles from the passenger car category to the Other 2-axle 4-tire vehicle category. This category was calculated prior to rounding. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit data from 1996 and after are not comparable to the data for earlier years or to the data published in previous editions of the report due to different data sources used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 mile = 1.609344 kilometers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air carrier:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960: Civil Aeronautics Board, Handbook of Airline Statistics 1969 (Washington, DC: 1970), part III, table 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965-70: Ibid., Handbook of Airline Statistics 1973 (Washington, DC: 1974), part III, table 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-2015: U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics, T1: U.S. Air Carrier Traffic and Capacity Summary by Service Class, Revenue Aircraft Miles Flown by Carrier Group (1-6) and Carrier Region (D for domestic) for all services (Z for all services), available at http://www.transtats.bts.gov/Tables.asp?DB_ID=130&DB_Name=Air%20Carrier%20Summary%20Data%20%28Form%2041%20and%20298C%20Summary%20Data%29&DB_Short_Name=Air%20Carrier%20Summary, as of October 2016.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General aviation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-65: U.S. Department of Transportation, Federal Aviation Administration, FAA Statistical Handbook of Aviation 1972 (Washington, DC: 1973), table 9.10.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-75: U.S. Department of Transportation, Federal Aviation Administration, FAA Statistical Handbook of Aviation 1976 (Washington, DC: 1976), table 8-5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980: U.S. National Transportation Safety Board estimate, personal communication, Dec. 7, 1998.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-92: Ibid., General Aviation Activity and Avionics Survey (Washington, DC: Annual Issues), table 3.3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1993-97: Ibid., General Aviation and Air Taxi Activity and Avionics Survey (Washington, DC: Annual Issues), table 3.3.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger car and motorcycle:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-94: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, table VM-201A, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2012. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2006: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicle, short wheel base:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007-14: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Feb. 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-80: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1985 (Washington, DC: 1986), table VM-201A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2014:  Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Feb. 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicle, long wheel base:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-94: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, table VM-201A, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2012. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2014: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Feb. 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truck, single-unit 2-axle 6-tires or more; Truck, combination; and bus:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-94: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, table VM-201A, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2012. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2014: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Feb. 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-95: American Public Transportation Association, Public Transportation Fact Book (Washington, DC: Annual Issues), tables 6, 51, and similar tables in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1996-2014: U.S. Department of Transportation, Federal Transit Administration, National Transit Database, Transit Operating Stats, available at http://www.ntdprogram.gov/ntdprogram/data.htm as of Feb. 24, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class I rail freight train- and car-miles:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), pp. 36 and 37.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercity/Amtrak train-miles:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70: Association of American Railroads, Yearbook of Railroad Facts (Washington, DC: 1975), p. 39.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-2001: National Passenger Railroad Corporation (Amtrak), Amtrak Annual Report, Statistical Appendix (Washington, DC: Annual Issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-14: Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), p. 77.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercity/Amtrak car-miles:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-75: Association of American Railroads, Yearbook of Railroad Facts (Washington, DC: 1975), p. 40.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-2000: National Passenger Railroad Corporation (Amtrak), Amtrak Corporate Reporting, Route Profitability System, personal communication, 2001.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2001-14: Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), p. 77.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
