"Table 2-38:  Reports of Violent Crime, Property Crime, and Arrests by Transit Mode",,,,,,,,,,,,,,,,,,
,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Otherb,140,186,398,113,80,47,29,9,20,7,7,26,31,27,25,32,0,0
Sex offensesl,664,803,"1,047",962,"1,009",844,798,N,N,N,N,N,N,N,N,N,N,N
Motor bus,242,260,363,258,321,220,178,N,N,N,N,N,N,N,N,N,N,N
Commuter rail,100,41,82,91,85,84,80,N,N,N,N,N,N,N,N,N,N,N
Demand responsive,5,0,6,2,5,1,3,N,N,N,N,N,N,N,N,N,N,N
Heavy rail,249,430,517,541,515,477,474,N,N,N,N,N,N,N,N,N,N,N
Light rail,59,71,79,68,80,58,60,N,N,N,N,N,N,N,N,N,N,N
Otherb,9,1,0,2,3,4,3,N,N,N,N,N,N,N,N,N,N,N
Drug abuse violationsm,"2,578","3,944","4,355","3,792","4,131","4,083","4,339",N,N,N,N,N,N,N,N,N,N,N
Motor bus,"1,037","2,122","1,970","1,414","1,705","1,443","1,179",N,N,N,N,N,N,N,N,N,N,N
Commuter rail,303,393,477,495,303,196,389,N,N,N,N,N,N,N,N,N,N,N
Demand responsive,1,0,15,21,8,1,2,N,N,N,N,N,N,N,N,N,N,N
Heavy rail,"1,078","1,130","1,530","1,550","1,606","1,915","2,015",N,N,N,N,N,N,N,N,N,N,N
Light rail,151,298,336,271,501,520,739,N,N,N,N,N,N,N,N,N,N,N
Otherb,8,1,27,41,8,8,15,N,N,N,N,N,N,N,N,N,N,N
Driving under the influencen,466,129,205,176,204,194,284,N,N,N,N,N,N,N,N,N,N,N
Motor bus,91,82,101,101,132,67,156,N,N,N,N,N,N,N,N,N,N,N
Commuter rail,26,21,22,21,12,44,26,N,N,N,N,N,N,N,N,N,N,N
Demand responsive,0,0,1,4,0,0,1,N,N,N,N,N,N,N,N,N,N,N
Heavy rail,52,8,22,21,42,39,57,N,N,N,N,N,N,N,N,N,N,N
Light rail,292,16,31,21,15,33,22,N,N,N,N,N,N,N,N,N,N,N
Otherb,5,2,28,8,3,11,22,N,N,N,N,N,N,N,N,N,N,N
Drunkennesso,"10,479","6,921","8,632","12,643","11,487","6,087","8,033",N,N,N,N,N,N,N,N,N,N,N
Motor bus,"6,457","3,936","5,346","3,046","3,609","3,337","4,693",N,N,N,N,N,N,N,N,N,N,N
Commuter rail,71,23,226,156,112,170,108,N,N,N,N,N,N,N,N,N,N,N
Demand responsive,2,2,46,34,2,1,4,N,N,N,N,N,N,N,N,N,N,N
Heavy rail,"1,511","1,617","1,601","7,340","5,831","1,240","1,308",N,N,N,N,N,N,N,N,N,N,N
Light rail,"2,255","1,305","1,258","1,844","1,913","1,316","1,598",N,N,N,N,N,N,N,N,N,N,N
Otherb,183,38,155,223,20,23,322,N,N,N,N,N,N,N,N,N,N,N
Disorderly conductp,"22,206","26,178","25,325","15,897","15,971","27,314","32,569",N,N,N,N,N,N,N,N,N,N,N
Motor bus,"4,681","5,025","6,978","4,521","5,471","3,745","3,253",N,N,N,N,N,N,N,N,N,N,N
Commuter rail,810,"1,085","1,399","1,525",797,706,607,N,N,N,N,N,N,N,N,N,N,N
Demand responsive,5,8,47,5,5,6,2,N,N,N,N,N,N,N,N,N,N,N
Heavy rail,"15,258","19,183","15,309","8,227","7,856","21,087","27,626",N,N,N,N,N,N,N,N,N,N,N
Light rail,"1,164",800,"1,177","1,408","1,767","1,737","1,046",N,N,N,N,N,N,N,N,N,N,N
Otherb,288,77,415,211,75,33,35,N,N,N,N,N,N,N,N,N,N,N
Trespassingq,"3,362","3,497","7,444","6,049","3,670","4,303","4,597","2,278","4,126","3,162","3,220","4,503","4,919","6,402","6,296","4,863",N,N
Motor bus,928,604,"1,225","1,283","1,065","1,329","1,040",937,"1,262","1,115","1,138","1,392","1,290","1,951","2,312","1,941",N,N
Commuter rail,845,674,"4,150","2,850","1,080",709,"1,034",475,270,664,730,"1,033","1,150","1,271",601,606,N,N
Demand responsive,0,0,2,2,0,0,0,13,2,1,12,36,6,30,46,55,N,N
Heavy rail,"1,155","1,208","1,398","1,254","1,044","1,267","1,228",483,616,663,634,853,"1,058","1,305","1,184",663,N,N
Light rail,400,653,463,443,436,985,"1,278",349,"1,951",699,677,"1,151","1,376","1,823","2,106","1,562",N,N
Otherb,34,358,206,217,45,13,17,21,25,20,29,38,39,22,47,36,N,N
Fare evasionr,"33,903","47,873","53,406","58,856","55,194","53,863","47,258","74,385","69,950","103,156","129,590","126,092","135,602","197,819","249,004","167,746",N,N
Motor bus,"3,172","2,372","1,819","1,694","2,388",591,847,"3,089","7,427","10,270","21,787","4,372","5,181","8,869","8,832","10,950",N,N
Commuter rail,140,334,310,204,167,179,566,"3,849","3,873",73,194,"11,768",346,"2,759","1,323",309,N,N
Demand responsive,1,1,2,5,1,3,5,201,1,43,2,448,5,1,1,5,N,N
Heavy rail,"8,247","39,957","46,106","40,350","35,033","28,933","24,852","20,469","16,459","25,775","15,901","12,611","21,666","20,754","32,082","24,684",N,N
Light rail,"22,212","1,185",912,"12,798","17,320","24,124","20,945","46,766","42,187","66,991","91,701","96,868","108,388","165,428","206,750","131,791",N,N
Otherb,131,"4,024","4,257","3,805",285,33,43,11,3,4,5,25,16,8,16,7,N,N
Curfew and loitering lawss,"1,878",872,"1,960","1,161","3,022","3,630","3,391",N,N,N,N,N,N,N,N,N,N,N
Motor bus,"1,201",241,"1,112",291,495,469,403,N,N,N,N,N,N,N,N,N,N,N
Commuter rail,19,27,223,72,172,329,330,N,N,N,N,N,N,N,N,N,N,N
Demand responsive,0,1,5,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N
Heavy rail,462,493,530,680,"1,789","2,324","2,396",N,N,N,N,N,N,N,N,N,N,N
Light rail,161,95,80,106,509,498,251,N,N,N,N,N,N,N,N,N,N,N
Otherb,35,15,10,12,57,10,11,N,N,N,N,N,N,N,N,N,N,N
KEY: N = data do not exist.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"a The killing of one or more human beings by another. This includes murder, non-negligent manslaughter, and manslaughter by negligence. ",,,,,,,,,,,,,,,,,,
"b Other transit mode includes automated guideway, cable car, ferryboat, trolleybus, vanpool, monorail, inclined plane, and starting in 2001, the Alaska Railroad.",,,,,,,,,,,,,,,,,,
"c The carnal knowledge of a female forcibly and against her will. This includes assault to rape or attempt to rape. Beginning in 2006 a higher threshold was required for an incident to be recorded, this led to a significant decrease compared to previous years.",,,,,,,,,,,,,,,,,,
"d The taking or attempting to take anything of value from the care, custody, or control of a person or persons by force or threat of force or violence and/or by putting the victim in fear. The use or threat of force includes firearms, knives or cutting instruments, other dangerous weapons (clubs, acid, explosives), and strong-arm techniques (hands, fists, feet). ",,,,,,,,,,,,,,,,,,
e An unlawful attack by one person upon another for the purpose of inflicting severe or aggravated bodily injury. This type of assault usually is accompanied by the use of a weapon or by means likely to produce death or great bodily harm. ,,,,,,,,,,,,,,,,,,
"f The unlawful taking, carrying, leading, or riding away of property from the possession or constructive possession of another. This includes pocket-picking, purse-snatching, shoplifting, thefts from motor vehicles, thefts of motor vehicle parts and accessories, theft of bicycles, theft from buildings, theft from coin-operated devices or machines, and all other theft not specifically classified. ",,,,,,,,,,,,,,,,,,
"g The theft or attempted theft of a motor vehicle. A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails. Examples of motor vehicles are automobiles, trucks, buses, motor cycles, and motor scooters. ",,,,,,,,,,,,,,,,,,
"h The unlawful entry of a structure to commit a felony or a theft. This includes offenses known locally as burglary (any degree), unlawful entry with intent to commit a larceny or felony, breaking and entering with intent to commit a larceny, housebreaking, safe-cracking, and all attempts at these offenses. ",,,,,,,,,,,,,,,,,,
"i To unlawfully and intentionally damage, or attempt to damage, any real or personal property by fire or incendiary device.",,,,,,,,,,,,,,,,,,
"j An unlawful attack or attempt by one person upon another where no weapon was used or which did not result in serious or aggravated injury to the victim. This includes simple assault, minor assault, assault and battery, injury by culpable negligence, intimidation, coercion, hazing, and all attempts to commit these offenses. ",,,,,,,,,,,,,,,,,,
"k The willful or malicious destruction, injury, disfigurement, or defacement of any public or private property, real or personal, without consent of the owner or person having custody or control by cutting, tearing, breaking, marking, painting, drawing, covering with filth, or any other such means as may be specified by local law. ",,,,,,,,,,,,,,,,,,
"l Any sexual acts except forcible rape, prostitution, and commercialized vice. This includes offenses against chastity, common decency, morals, and the like, such as: adultery and fornication, buggery, incest, indecent exposure, indecent liberties, seduction, sodomy or crime against nature, statutory rape (no force), and all attempts to commit any of the above. ",,,,,,,,,,,,,,,,,,
"m Arrests requested based on the narcotics used. This includes all arrests for violations of state and local laws, specifically those relating to the unlawful possession, sale, use, growing, manufacturing, and making of narcotic drugs. ",,,,,,,,,,,,,,,,,,
n The driving or operating of any vehicle or common carrier while drunk or under the influence of liquor or narcotics.,,,,,,,,,,,,,,,,,,
"o Arrests for all offenses of drunkenness, which is the consumption of alcoholic beverages to the extent that one’s mental faculties and physical coordination are substantially impaired. This includes drunkenness, drunk and disorderly, common or habitual drunkard, and intoxication. ",,,,,,,,,,,,,,,,,,
"p All charges of committing a breach of the peace. This includes, affray; unlawful assembly; disturbing the peace; disturbing meetings; disorderly conduct in state institutions, at court, at fairs, on trains or public conveyances, etc.; blasphemy, profanity, and obscene language; desecrating the flag; refusing to assist an officer; and all attempts to commit any of the above. ",,,,,,,,,,,,,,,,,,
"q To unlawfully enter land, a dwelling, or other real property.",,,,,,,,,,,,,,,,,,
r The unlawful use of transit facilities by riding without paying the applicable fare.,,,,,,,,,,,,,,,,,,
s All arrests for violations of local curfew or loitering ordinances where such laws exist.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,
"Data are from transit agencies in urbanized areas over 200,000 population and include patrons, employees, and others. ",,,,,,,,,,,,,,,,,,
"The figures for violent and property crime follow the FBI Uniform Crime Reporting Handbook (Washington, DC:  1984) and are based on records of calls for service, complaints, and/or investigations.  These figures are for reported offenses and do not reflect the findings of a court, coroner, jury, or decision of a prosecutor.  ",,,,,,,,,,,,,,,,,,
Security data was first reported to the Federal Transit Administration in 1995 and was not compiled for earlier years. ,,,,,,,,,,,,,,,,,,
"Beginning in 2002, data are no longer collected for the following offenses: Sex offenses, Drug abuse violations, Driving under the influence, Drunkenness, Disorderly conduct, and Curfew and loitering laws. ",,,,,,,,,,,,,,,,,,
Analysts for the FTA believe the change in reporting requirements in 2002 may have resulted in unreliable data in that year. The reliability of reporting is believed to be much better in 2003 and is expected to improve in the future.,,,,,,,,,,,,,,,,,,
"An Aggravated Assault, Robbery or Theft  has the potential to be either a reportable incident or a Safety and Security Monthly Summary incident, only the incidents meeting the thresholds are reported on the Reportable Incident form (S&S-40) e.g., injuries requiring immediate medical attention away from the scene for one or more persons. Prior to 2008, these Part I offenses were reported on occurrence, thus there were higher report totals for previous years.",,,,,,,,,,,,,,,,,,
"Prior to 2010, an unconfirmed injury had the potential of resulting into reports of Aggravated assault. In the 2010 manual clarification was made in the definition, arrests/citations with no reportable injuries now results in Other assaults category. The distinction was clarified in the 2010 Safety and Security reporting manual. ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,
"1995-2001: U.S. Department of Transportation, Federal Transit Administration, National Transit Database, available at http://www.ntdprogram.gov/ntdprogram as of May 6, 2003, tables 25-27 and similar tables in earlier editions.  ",,,,,,,,,,,,,,,,,,
"2002-05: Ibid., personal communications June 14, 2007.",,,,,,,,,,,,,,,,,,
"2006-12: Federal Transit Administration, Office of Safety and Security, personal communication, Oct. 1, 2009, May 11, 2011, and January 8, 2015.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
