Table 2-32:  Transit Safety and Property Damage Data,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(P) 2013,(P) 2014
"e Total does not include Property damage for cable car, inclined plane, jitney, and ferry boat, which were: 1990–$335,000; 1991–$410,000; 1992–$288,000; 1993–$221,000; 1994–$322,000; 1995–$3,263,000; 1996–$157,000; 1997–$67,000; 1998–$24,000; 1999–$104,000; 2000–$77,000; 2001–$1,605,000; 2002–$254,000; 2003–$15,348,000; 2004–$604,000; 2005–$44,000; 2006– $555,000; 2007–$1,234,000; 2008–$1,065,000; 2009– $274,607; 2010–$250,000 ; 2011–$75,500. The large increase in excluded Property damage reported in 2003 is a result of the Staten Island Ferry Incident on Oct. 16, 2003 which resulted in $15,000,000 of Property damage.",,,,,,,,,,,,,,,,,,,,,,,,,
*includes hurricane Sandy,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are provided only for transit systems that furnished safety data for inclusion in the U.S. Department of Transportation, Federal Transit Administration, Transit Safety and Security Statistics and Analysis, annual reports. ",,,,,,,,,,,,,,,,,,,,,,,,,
"Transit vehicle-miles in this table differ from those reported in Chapter 1. The American Public Transit Association, which is the source for the vehicle-miles table in Chapter 1, includes all transit systems, while Transit Safety and Security Statistics and Analysis Annual Report covers only directly operated urban transit systems. ",,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to the 2000 edition, Transit Safety and Security Statistics and Analysis Report was entitled Safety Management Information Statistics (SAMIS) annual report.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2007: U.S. Department of Transportation, Federal Transit Administration, Transit Safety and Security Statistics and Analysis Report (Cambridge, MA: Annual Issues), available at http://transit-safety.volpe.dot.gov/Data/Samis.asp as of Mar. 23, 2009.",,,,,,,,,,,,,,,,,,,,,,,,,
" 2008-14: U.S. Department of Transportation, Federal Transit Administration, personal communications, May 11, 2011, July 8, 2013, Jan. 8, 2015, and June 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
