Table 2-40:  Railroad and Grade-Crossing Injured Persons by Victim Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,(R) 2011,(R) 2012,(R) 2013,(P) 2014,(P) 2015
Grade crossingb,"3,890","2,687","2,407","2,094","1,975","1,837","1,961","1,894","1,610","1,540","1,302","1,396","1,219","1,157",999,"1,035","1,094","1,050","1,121",955,916,673,811,980,899,897,817,931
    Motor vehiclesb,"3,739","2,561","2,332","2,029","1,891","1,760","1,885","1,825","1,545","1,494","1,257","1,338","1,169","1,110",939,"1,000","1,058","1,008","1,037","1,022",926,698,820,984,916,900,789,929
    Non-motor vehiclesb,151,126,75,65,84,77,76,69,65,46,46,58,50,47,60,35,36,47,35,41,67,46,68,61,59,73,77,74
KEY:  N = data do not exist; P = preliminary; R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Beginning in 1997, Nontrespassers off railroad property are also included.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
b The components of Grade crossing injuries were revised at a different point in time from the total Grade crossing injuries and may not sum to the total of Grade crossing injuries.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Railroad only includes fatalities from train accidents, train incidents, and nontrain incidents (excludes Highway-rail grade crossings). This table includes information for both freight and passenger railroad operations.  Details may not add to totals due to different data sources are used.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Railroad only and grade crossing:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-94: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety Analysis, Highway-Rail Crossing Accident/Incident and Inventory Bulletin (Washington, DC: Annual Issues), and Accident/Incident Bulletin (Washington, DC: Annual Issues). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2003: Ibid., personal communication as of Apr. 10, 2008 and table 4.08 available at http://safetydata.fra.dot.gov/OfficeofSafety/ as of Sept. 16, 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2004: Ibid., Railroad Safety Statistics 2008 Annual Report (Washington, DC), table 1-3, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Publications.aspx as of June 9, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2005: Ibid., Railroad Safety Statistics Preliminary Annual Report (Washington, DC: March 2011 Issue), table 1-3, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Prelim.aspx as of Dec. 22, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2006: Ibid., Railroad Safety Statistics Preliminary Annual Report (Washington, DC: March 2012 Issue), table 1-3, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Prelim.aspx as of Dec. 22, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007: Ibid., Railroad Safety Statistics Preliminary Annual Report (Washington, DC: March 2013 Issue), table 1-3, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Prelim.aspx as of Aug. 1, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2008-09: Ibid., Railroad Safety Statistics Preliminary Annual Report (Washington, DC: July 2013 Issue), table 1-3, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Prelim.aspx as of Aug. 1, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010-13: Ibid., Railroad Safety Statistics Preliminary Annual Report, table 3.01, available at http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Prelim.aspx as of Jan. 12, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-15: Ibid., Accident Trends - Summary Statistics, table 3.01, Hwy/Rail Incidents Summary Tables, available at http://safetydata.fra.dot.gov/OfficeofSafety/Default.aspx as of July 30, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor vehicle and non-motor vehicle:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2005-09: Ibid., Highway-Rail Incidents by Type Major User from Form FRA F 6180.57, table 5.11, Hwy/Rail Incidents Summary Tables, available at http://safetydata.fra.dot.gov/OfficeofSafety/Default.aspx as of Aug. 1, 2013. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010-15: Ibid., Highway-Rail Incidents by Type Major User from Form FRA F 6180.57, table 5.14, Hwy/Rail Incidents Summary Tables, available at http://safetydata.fra.dot.gov/OfficeofSafety/Default.aspx as of May 31, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
