Table 3-13:  Producer Price Indices for Selected Transportation and Warehousing Services (North American Industry Classification System [NAICS] basis) (Base date = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base date,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,,,,,,,,,,,,,,
Inland water transportation (NAICS 48321),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,103.2,119.3,144.1,146.7,172.0,166.7,171.4,186.0,193.6,187.2,185.0,178.4,,,,,,,,,,,,,,,,,
Inland water freight transportation (NAICS 483211),12/90,100.0,99.2,97.7,95.8,98.5,114.6,109.9,105.9,106.8,111.2,117.9,123.4,120.6,124.7,131.0,151.4,182.9,186.1,218.3,211.4,217.4,235.9,245.7,237.5,234.7,226.3,,,,,,,,,,,,,,,,,
Truck transportation (NAICS 484),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,103.1,109.0,113.2,115.4,123.0,117.3,119.4,126.4,130.8,132.7,134.9,132.3,,,,,,,,,,,,,,,,,
General freight trucking (NAICS 4841),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,103.5,110.0,114.1,116.5,123.6,117.5,119.3,126.8,132.4,134.7,137.5,134.9,,,,,,,,,,,,,,,,,
"General freight trucking, local (NAICS 48411)",12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,105.2,111.5,115.3,119.6,130.2,126.0,127.2,130.5,132.8,135.0,135.2,135.1,,,,,,,,,,,,,,,,,
"General freight trucking, local (NAICS 484110)",12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,105.2,111.5,115.3,119.6,130.2,126.0,127.2,130.5,132.8,135.0,135.2,135.1,,,,,,,,,,,,,,,,,
"General freight trucking, long distance (NAICS 48412)",12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,103.2,109.7,113.8,115.9,122.2,115.5,117.5,126.1,132.4,134.7,138.1,134.9,,,,,,,,,,,,,,,,,
"General freight trucking, long distance, truckload (NAICS 484121)",12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,102.7,108.6,112.0,113.5,119.5,111.0,113.3,120.9,126.3,127.4,129.6,126.1,,,,,,,,,,,,,,,,,
"General freight trucking, long distance, less than truckload (NAICS 484122)",12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,104.2,111.8,117.7,121.0,127.9,125.5,126.8,137.6,146.1,151.0,157.5,155.0,,,,,,,,,,,,,,,,,
Specialized freight trucking (NAICS 4842),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,102.3,107.0,111.4,113.1,122.1,117.4,119.9,125.7,127.5,128.5,129.2,126.9,,,,,,,,,,,,,,,,,
Used household and office goods moving (NAICS 48421),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,102.6,106.0,107.8,108.8,112.2,112.8,114.7,122.9,124.4,124.9,126.7,126.1,,,,,,,,,,,,,,,,,
Used household and office goods moving (NAICS 484210),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,102.6,106.0,107.8,108.8,112.2,112.8,114.7,122.9,124.4,124.9,126.7,126.0,,,,,,,,,,,,,,,,,
"Specialized freight (except used goods) trucking, local (NAICS 48422)",12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,102.7,107.1,112.3,114.2,126.7,123.9,126.5,131.3,133.4,135.1,135.6,132.3,,,,,,,,,,,,,,,,,
"Specialized freight (except used goods) trucking, local (NAICS 484220)",12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,102.7,107.1,112.3,114.2,126.7,123.9,126.5,131.3,133.4,135.1,135.6,132.3,,,,,,,,,,,,,,,,,
"Specialized freight (except used goods) trucking, long distance (NAICS 48423)",12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,101.7,107.5,112.8,114.8,123.6,113.2,115.8,121.4,122.9,123.4,123.9,121.6,,,,,,,,,,,,,,,,,
"Specialized freight (except used goods) trucking, long distance (NAICS 484230)",12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,101.7,107.5,112.8,114.8,123.6,113.2,115.8,121.4,122.9,123.4,123.9,121.6,,,,,,,,,,,,,,,,,
Pipeline transportation (NAICS 486),NA,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,,,,,,,,,,,,,,,,,
Pipeline transportation of crude oil (NAICS 4861),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,103.9,113.3,122.0,125.4,137.1,141.0,183.4,184.7,195.5,211.1,222.6,233.0,,,,,,,,,,,,,,,,,
Pipeline transportation of crude oil (NAICS 48611),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,103.9,113.3,122.0,125.4,137.1,141.0,183.4,184.7,195.5,211.1,222.6,233.0,,,,,,,,,,,,,,,,,
Pipeline transportation of crude oil (NAICS 486110),06/86,94.2,94.4,94.8,95.0,102.5,113.4,104.7,96.0,96.8,95.5,101.0,111.1,112.3,111.1,115.2,125.5,135.3,138.9,152.0,156.3,203.3,204.7,216.7,234.0,246.7,258.2,,,,,,,,,,,,,,,,,
Other pipeline transportation (NAICS 4869),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,101.4,105.2,108.2,115.0,121.6,128.7,133.8,137.3,144.7,150.7,160.4,168.0,,,,,,,,,,,,,,,,,
Pipeline transportation of refined petroleum products (NAICS 48691),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,101.4,105.2,108.2,115.0,121.6,128.7,133.8,137.3,144.7,150.7,160.4,168.0,,,,,,,,,,,,,,,,,
Pipeline transportation of refined petroleum products (NAICS 486910),06/86,100.8,101.1,101.2,101.3,103.4,104.6,104.3,105.3,104.8,104.9,105.3,108.5,111.0,112.7,116.0,120.3,123.8,131.7,139.2,147.3,153.1,157.1,165.6,172.5,183.6,192.2,,,,,,,,,,,,,,,,,
Support activities for transportation (NAICS 488),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,101.1,104.1,106.5,108.5,111.7,108.6,110.7,114.0,115.7,117.5,118.7,118.7,,,,,,,,,,,,,,,,,
Support activities for air transportation (NAICS 4881),12/96,U,U,U,U,U,U,100.0,102.5,105.2,108.6,114.2,117.5,121.4,125.1,128.1,134.2,138.6,141.0,145.4,149.2,154.5,157.5,159.0,160.7,162.2,165.9,,,,,,,,,,,,,,,,,
Airport operations (NAICS 48811),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,101.1,104.8,108.6,109.6,112.3,117.9,122.1,123.4,125.3,126.2,127.5,129.8,,,,,,,,,,,,,,,,,
Air traffic control (NAICS 488111),NA,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,,,,,,,,,,,,,,,,,
Other airport operations (NAICS 488119),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,101.1,104.8,108.6,109.7,112.4,117.9,122.1,123.4,125.3,126.2,127.5,129.8,,,,,,,,,,,,,,,,,
Other support activities for air transportation (NAICS 48819),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,102.0,107.5,110.8,112.9,117.0,117.5,121.8,125.1,125.9,128.0,128.9,133.0,,,,,,,,,,,,,,,,,
Other support activities for air transportation (NAICS 488190),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,101.9,107.4,110.8,112.9,117.0,117.5,121.8,125.1,125.9,128.0,128.9,133.0,,,,,,,,,,,,,,,,,
Support activities for water transportation (NAICS 4883),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,101.0,103.5,107.7,112.7,117.3,116.8,120.2,123.9,128.0,130.4,131.7,132.0,,,,,,,,,,,,,,,,,
Port and harbor operations (NAICS 48831),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,102.4,105.9,108.8,114.8,117.7,120.5,127.7,134.7,139.9,144.4,148.4,152.0,,,,,,,,,,,,,,,,,
Port and harbor operations (NAICS 488310),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,102.4,105.9,108.8,114.9,117.7,120.5,127.7,134.7,139.9,144.4,148.4,152.0,,,,,,,,,,,,,,,,,
Marine cargo handling (NAICS 48832),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,100.5,102.2,105.1,109.0,110.7,113.3,116.8,118.2,122.0,125.4,127.1,130.9,,,,,,,,,,,,,,,,,
Marine cargo handling (NAICS 488320),12/91,U,100.0,101.2,102.6,102.9,102.1,101.6,103.7,104.9,106.7,109.1,111.4,110.9,111.5,113.2,115.1,118.4,122.8,124.7,127.6,131.6,133.2,137.4,141.3,143.2,147.4,,,,,,,,,,,,,,,,,
Navigational services to shipping (NAICS 48833),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,101.5,105.7,113.9,120.6,133.8,122.9,122.9,129.3,133.4,132.2,130.8,121.5,,,,,,,,,,,,,,,,,
Navigational services to shipping (NAICS 488330),12/92,U,U,100.0,99.8,101.5,107.2,110.9,113.3,115.6,119.7,124.2,125.4,127.4,129.3,133.1,138.6,149.5,158.2,175.6,161.3,161.2,169.6,175.0,173.4,171.6,159.4,,,,,,,,,,,,,,,,,
Freight transportation arrangement (NAICS 4885),12/96,U,U,U,U,U,U,100.0,99.4,97.7,97.3,98.3,98.2,97.5,97.9,98.9,99.1,98.8,100.2,102.5,94.8,95.2,98.7,99.9,101.6,102.8,101.0,,,,,,,,,,,,,,,,,
Freight transportation arrangement (NAICS 48851),12/96,U,U,U,U,U,U,100.0,99.4,97.7,97.3,98.3,98.2,97.5,97.9,98.9,99.1,98.8,100.2,102.5,94.8,95.2,98.7,99.9,101.6,102.8,101.0,,,,,,,,,,,,,,,,,
Freight transportation arrangement (NAICS 488510),12/94,U,U,U,U,100.0,99.8,101.5,101.4,99.7,99.2,100.3,100.3,99.5,99.9,100.9,101.1,100.9,102.2,104.6,96.8,97.1,100.8,102.0,103.7,104.9,103.1,,,,,,,,,,,,,,,,,
Postal service (NAICS 491),06/89,100.0,117.9,119.8,119.8,119.8,132.2,132.3,132.3,132.3,135.3,135.2,143.4,150.2,155.0,155.0,155.0,164.7,171.9,178.9,185.0,187.7,190.6,195.7,202.4,213.2,216.5,,,,,,,,,,,,,,,,,
Postal service (NAICS 4911),06/89,100.0,117.9,119.8,119.8,119.8,132.2,132.3,132.3,132.3,135.3,135.2,143.4,150.2,155.0,155.0,155.0,164.7,171.9,178.9,185.0,187.7,190.6,195.7,202.4,213.2,216.5,,,,,,,,,,,,,,,,,
Couriers and messengers (NAICS 492),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,106.1,113.8,121.5,131.5,142.0,141.5,153.4,168.8,179.7,189.4,198.3,203.2,,,,,,,,,,,,,,,,,
Couriers (NAICS 4921),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,106.6,115.0,123.2,133.5,144.4,143.8,156.6,173,184.4,194.3,203.7,208.8,,,,,,,,,,,,,,,,,
Local messengers and local delivery (NAICS 4922),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,101.1,102.7,104.4,108.1,112.2,114.3,112.7,112.9,116.6,121.9,123.5,125.8,,,,,,,,,,,,,,,,,
Warehousing and storage (NAICS 493),12/06,U,U,U,U,82.7,84.1,84.6,85.4,86.5,89.0,90.8,93.2,94.5,95.8,U,U,U,102.5,106.5,107.2,105.5,103.5,101.2,99.9,100.1,101.5,,,,,,,,,,,,,,,,,
Warehousing and storage (NAICS 4931),12/06,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,102.5,106.5,107.2,105.5,103.5,101.2,99.9,100.0,101.5,,,,,,,,,,,,,,,,,
General warehousing and storage (NAICS 49311),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,100.3,101.5,103.8,107.3,111.9,112.2,109.7,106.6,103.3,100.9,100.5,102.2,,,,,,,,,,,,,,,,,
General warehousing and storage (NAICS 493110),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,100.4,101.6,103.8,107.4,111.9,112.2,109.7,106.6,103.3,101.0,100.5,102.3,,,,,,,,,,,,,,,,,
Refrigerated warehousing and storage (NAICS 49312),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,100.5,101.0,102.4,104.0,106.7,109.5,110.5,111.0,111.9,114.2,116.8,117.6,,,,,,,,,,,,,,,,,
Refrigerated warehousing and storage (NAICS 493120),12/91,U,100.0,101.0,101.8,102.7,104.2,104.6,105.1,105.4,106.4,108.1,109.8,109.8,109.8,110.5,111.0,112.5,114.3,117.3,120.4,121.4,122.0,123.0,125.5,128.3,129.2,,,,,,,,,,,,,,,,,
Farm product warehousing and storage (NAICS 49313),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,100.2,101.5,103.8,104.0,108.7,108.1,107.4,108.9,110.1,110.4,111.3,111.5,,,,,,,,,,,,,,,,,
Farm product warehousing and storage (NAICS 493130),12/92,U,U,100.0,100.1,100.9,104.0,102.4,102.9,104.1,107.1,110.6,114.2,115.6,116.1,116.5,118.1,120.6,120.9,126.4,125.6,124.9,126.7,128.0,128.4,129.4,129.7,,,,,,,,,,,,,,,,,
KEY: NA = not applicable; NAICS = North American Industry Classification System; U = data are not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Labor, Bureau of Labor Statistics, Producer Price Index Industry Data, available at www.bls.gov/data/sa.htm as of May 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
