Table 4-52: Areas in Nonattainment of National Ambient Air Quality Standards for Criteria Pollutants,,,,,,,,,,,,,,,,,,,
(Condensed nonattainment area list as of September 2003),,,,,,,,,,,,,,,,,,,
Ref. no.,States,Consolidated nonattainment area name a,Number of areas in nonattainment d,,,,,,"Area population, in 1,000s h",,,,,,,,,,
,,,O3 e,CO,SO2,PM-10,Pb,NO2 ,O3,CO,SO2,PM-10,Pb,Total exposed,,,,,
88,OR,Lakeview,.,.,.,1,.,., , , ,3, ,3,,,,,
89,OR,Medford,.,.,.,1,.,., ,, ,78, ,78,,,,,
90,OR,Oakridge,.,.,.,1,.,., , , ,3, ,3,,,,,
91,OR,Springfield-Eugene,.,.,.,1,.,., , , ,179, ,179,,,,,
92,OR,Salem,.,1,.,.,.,.,,135,,,,135,,,,,
93,PA,Altoona,1,.,.,.,.,.,129,,,,,129,,,,,
94,PA,Erie,1,.,.,.,.,.,280,,,,,280,,,,,
95,PA,Harrisburg-Lebanon,1,.,.,.,.,.,629,,,,,629,,,,,
96,PA,Johnstown,1,.,.,.,.,.,232,,,,,232,,,,,
97,PA,Lancaster,1,.,.,.,.,.,470, , , , ,470,,,,,
98,PA,Pittsburgh-Beaver Valley,.,1,2,1,.,.,,335,410,21,,410,,,,,
99,PA,Scranton-Wilkes-Barre,1,.,.,.,.,.,763,,,,,763,,,,,
100,PA,Warren Co,.,.,2,.,.,.,, ,20, , ,20,,,,,
101,PA,York,1,.,.,.,.,.,473,,,,,473,,,,,
102,PA-DE-NJ-MD,Philadelphia-Wilmington-Trenton,1,.,.,.,.,.,"6,311", ,, , ,"6,311",,,,,
103,PA-NJ,Allentown-Bethlehem,1,.,1, , , ,740, ,102, , ,740,,,,,
104,PR,Guaynabo Co.,.,.,.,1,.,.,, , ,92, ,92,,,,,
105,RI,Providence (all of RI),1,.,.,.,.,.,"1,048", , , ,,"1,048",,,,,
106,TX,Beaumont-Port Arthur,1,.,.,.,.,.,385, , , , ,385,,,,,
107,TX,Dallas-Fort Worth,1,.,.,.,.,.,"4,589", , , ,,"4,589",,,,,
108,TX,El Paso,1,1,.,1,.,.,679,62, ,563, ,679,,,,,
109,TX,Houston-Galveston-Brazoria,1,.,.,.,.,.,"4,669", , , , ,"4,669",,,,,
110,UT,Ogden,.,.,.,1,.,.,,, ,77, ,77,,,,,
111,UT,Salt Lake City,.,.,1,1,.,., , ,898,898, ,898,,,,,
112,UT,Tooele Co.,.,.,1,.,.,., , ,40, , ,40,,,,,
113,UT,Utah Co. (Provo),.,1,.,1,.,., ,118, ,368, ,368,,,,,
114,VA,"Smyth Co., White Top",1,.,.,.,.,.,,0,,,,0,,,,,
115,WA,Spokane,.,1,.,1,.,., ,322, ,204, ,322,,,,,
116,WA,Wallula,.,.,.,1,.,., , , ,0, ,0,,,,,
117,WA,Yakima,.,1,.,1,.,., , , ,63, ,63,,,,,
118,WI,Door Co.,1,.,.,.,.,.,27, , ,, ,27,,,,,
119,WI,Manitowoc Co.,1,.,.,.,.,.,82, , , , ,82,,,,,
120,WI,Milwaukee-Racine,1,.,.,.,.,.,"1,839", , , , ,"1,839",,,,,
121,WV,Follansbee,.,.,.,1,.,., , , ,2, ,2,,,,,
122,WV,New Manchester Gr. (in Hancock Co),.,.,1,.,.,., , ,9, , ,9,,,,,
123,WV,Wier.-Butler-Clay (in Hancock Co),.,.,1,1,.,., , ,16,15, ,16,,,,,
124,WY,Sheridan,.,.,.,1,.,., , ,,15, ,15,,,,,
National Totals (130 areas) o,,,38,20,33,78,10,0,"99,824","34,047","4,664","29,919","1,375","113,090",,,,,
 ,State(s),"Consolidated Nonattainment Area Name a, b",O3 m,CO,SO2,PM10,Pb,NO2,O3 m,CO,SO2,PM10,Pb,All Pollutants,,,,,
,,,Number of Areas in Nonattainment c,,,,,,"Area Population, in 1000's d",,,,,,,,,,
National totals (124 areas)c,,,56,16,24,67,3,0,"116,228","19,921","3,660","31,850",10,"125,730",,,,,
KEY: CO = carbon monoxide; NO2 = nitrogen dioxide; O3 = ozone; Pb = lead; PM-10 = particulate matter smaller than 10 microns; SO2 = sulfur dioxide; . = all areas in attainment for a particle or pollutant.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"a  This is a simplified listing of classified nonattainment areas. Unclassified and Section 185a (transitional) nonattainment areas are not included. Names of nonattainment areas are listed alphabetically within each state. Note that several smaller nonattainment areas may be inside one larger nonattainment area. In these cases, the smaller nonattainment areas are listed on the same line as the larger one, and the number of nonattainment areas are indicated under each pollutant. ",,,,,,,,,,,,,,,,,,,
b  Guam (U.S. territory),,,,,,,,,,,,,,,,,,,
c  National total includes Guam (U.S. territory).,,,,,,,,,,,,,,,,,,,
d  The number of nonattainment areas for each of the criteria pollutants is listed. A dot (.) indicates that all areas are in attainment for that pollutant.,,,,,,,,,,,,,,,,,,,
e  1-hour ozone standard.,,,,,,,,,,,,,,,,,,,
"f  Ozone nonattainment area is a portion of Dona Ana County, New Mexico.",,,,,,,,,,,,,,,,,,,
"g  Lead nonattainment area is Herculaneum, Missouri in Jefferson County.",,,,,,,,,,,,,,,,,,,
"h  Population figures were obtained from the 2000 census data. For nonattainment areas defined as only partial counties, population figures for just the nonattainment area were used when these were available.  Otherwise, whole county population figures were used. When a larger nonattainment area encompasses a smaller one, double counting the population in the ""Total exposed"" column is avoided by only counting the population of the larger nonattainment area. ",,,,,,,,,,,,,,,,,,,
"The ""Total exposed"" values represent estimated population living in areas that are in nonattainment for at least one pollutant.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,
Reference numbers 1-124 do not indicate ranking.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,
"U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards, National Air Quality and Emissions Trends Report, 2003 (Research Triangle Park, NC: 2003), table A-19.   Internet website http://www.epa.gov/airtrends/ as of Nov. 17, 2006.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
