"Operating assistancec, total",U ,U,"3,705","9,267","10,570","10,172","8,174","8,092","8,467","9,271","10,190","11,643","12,281","12,702","13,621","14,901","15,759","18,371","20,378","21,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State and local,U ,U,"2,611","8,297","9,655","9,355","7,621","7,488","7,725","8,411","9,205","10,525","10,979","11,106","11,597","12,658","13,235","15,831","17,811","17,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal,U ,U,"1,094",970,916,817,554,604,741,860,984,"1,117","1,302","1,596","2,024","2,243","2,523","2,540","2,568","3,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Operating expenses2, total ($ millions)","1,377","1,996","(R) 6,247","15,742","17,920","17,849","16,302","16,963","17,580","18,781","20,009","21,529","22,933","24,185","25,427","27,238","29,025","31,304","33,479","34,638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor bus,U ,U ,U ,"8,903","10,144","10,321","8,996","9,422","9,713","10,342","11,026","11,814","12,613","13,316","13,790","14,666","15,796","16,812","17,963","18,313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy rail,U ,U ,U ,"3,825","3,786","3,523","3,402","3,474","3,530","3,693","3,931","4,180","4,267","4,446","4,734","5,145","5,287","5,888","6,129","6,311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light rail,U ,U ,U ,237,413,376,440,471,493,536,597,676,778,815,887,978,"1,070","1,163","1,259","1,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trolley bus,U ,U ,U ,109,133,139,135,140,146,167,177,172,187,183,185,196,197,199,214,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand responsive,U ,U ,U ,518,943,"1,000",750,873,995,"1,104","1,225","1,410","1,636","1,779","1,902","2,071","2,286","2,539","2,861","3,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferryboata,U ,U ,U ,171,200,210,188,201,210,226,242,290,314,318,304,332,367,429,507,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commuter rail,U ,U ,U ,"1,939","2,228","2,211","2,294","2,275","2,355","2,569","2,679","2,852","2,995","3,173","3,436","3,657","3,765","4,001","4,294","4,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otherb,U ,U ,U ,41,73,69,98,108,137,144,131,133,143,156,188,193,256,274,253,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average passenger revenue per passenger-mile3, all modes ($)",U ,U ,0.06,0.14,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.20,0.24,0.20,0.21,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor bus,U ,U ,0.08,0.14,0.17,0.17,U,U,U,U,U,U,0.18,0.19,0.20,0.21,0.29,0.22,0.22,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy rail,U ,U ,0.07,0.15,0.19,0.19,U,U,U,U,U,U,0.18,0.20,0.20,0.21,0.22,0.21,0.22,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light rail,U ,U ,0.08,0.14,0.16,0.15,U,U,U,U,U,U,0.16,0.16,0.15,0.15,0.16,0.16,0.18,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trolley bus,U ,U ,0.12,0.24,0.29,0.29,U,U,U,U,U,U,0.32,0.30,0.32,0.33,0.37,0.38,0.39,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand responsive,U ,U ,U ,0.09,0.30,0.24,U,U,U,U,U,U,0.28,0.25,0.26,0.26,0.28,0.27,0.26,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferryboata,U ,U ,U ,0.20,0.16,0.23,U,U,U,U,U,U,0.21,0.24,0.25,0.26,0.20,0.31,0.31,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commuter rail,U ,U ,U ,0.13,0.14,0.13,U,U,U,U,U,U,0.15,0.16,0.17,0.18,0.18,0.18,0.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otherb,U ,U ,0.01,0.05,0.20,0.11,U,U,U,U,U,U,0.10,0.11,0.13,0.12,0.17,0.15,0.12,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average passenger fare, per unlinked trip4, all modes ($)",0.14,0.22,0.30,0.67,0.85,0.88,0.92,0.90,0.91,0.90,0.92,0.93,0.90,0.96,1.01,1.03,1.26,1.07,1.11,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor bus,U ,U ,0.31,0.52,0.67,0.68,U,U,U,U,U,U,0.68,0.72,0.75,0.77,1.13,0.85,0.87,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy rail,U ,U ,0.34,0.74,0.91,0.99,U,U,U,U,U,U,0.93,0.99,1.06,1.07,1.10,0.97,1.03,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light rail,U ,U ,0.23,0.47,0.48,0.50,U,U,U,U,U,U,0.67,0.68,0.67,0.65,0.72,0.74,0.82,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trolley bus,U ,U ,0.18,0.36,0.46,0.45,U,U,U,U,U,U,0.51,0.49,0.52,0.54,0.60,0.61,0.63,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand responsive,U ,U ,U,0.60,1.94,1.66,U,U,U,U,U,U,2.33,2.15,2.17,2.22,2.36,2.28,2.26,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferryboata,U ,U ,U,1.12,0.87,1.28,U,U,U,U,U,U,1.25,1.43,1.58,1.59,1.26,1.90,1.94,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commuter rail,U ,U ,U,2.90,3.19,3.13,U,U,U,U,U,U,3.49,3.79,3.90,4.08,4.22,4.32,4.58,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otherb,U ,U ,0.75,0.20,1.41,0.95,U,U,U,U,U,U,1.06,1.06,1.15,1.18,1.73,1.67,1.63,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTORY,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,(P) 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of systemsd, 5, total","1,286","1,096","1,055","5,078","5,973","5,973","5,973","5,973","5,975","6,000","6,000","6,000","6,000","5,804","6,429","6,429","6,435","7,700","7,700","7,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor bus,"1,236","1,075","1,022","2,688","2,250","2,250","2,250","2,250","2,250","2,262","2,262","2,264","2,264","1,982","1,500","1,500","1,500","1,200","1,086","1,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy rail,31,15,11,12,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light rail,~,~,9,17,22,22,22,22,22,24,25,26,27,27,29,29,33,33,33,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trolley bus,19,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand responsive,U ,U ,U ,"3,893","5,214","5,214","5,214","5,214","5,214","5,252","5,252","5,251","5,251","5,346","5,960","5,960","5,960","7,300","7,200","6,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferryboata,U ,U ,16,27,25,25,25,25,25,30,33,42,42,46,47,47,47,39,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commuter rail,U ,U ,18,14,16,16,16,16,18,20,19,21,20,21,21,22,22,22,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otherb,U ,U ,5,35,68,69,73,69,70,81,81,82,82,86,85,87,87,97,100,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of vehicles 6, total","65,292","61,350","75,388","93,430","116,416","116,341","93,675","98,381","100,346","103,308","106,136","111,266","112,104","114,932","117,402","121,912","125,647","125,607","129,286","136,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor bus,"49,600","49,700","59,411","58,714","68,123","67,107","53,339","54,946","55,661","57,352","58,578","60,256","60,719","61,659","61,318","62,284","64,025","63,359","63,151","63,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy rail,"9,010","9,338","9,641","10,567","10,282","10,166","10,243","10,228","10,296","10,362","10,311","10,718","10,849","10,754","10,858","11,110","11,052","11,222","11,377","11,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light rail,"2,856","1,262","1,013",910,"1,051","1,048","1,097","1,062","1,061","1,160","1,306","1,359","1,448","1,482","1,622","1,645","1,801","1,802","1,948","2,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trolley bus,"3,826","1,050",823,610,643,695,675,655,646,657,652,600,616,672,597,615,609,559,590,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand responsive,U ,U ,U ,"16,471","28,729","29,352","17,738","19,820","20,042","20,761","22,087","24,668","24,808","25,873","26,333","28,346","29,406","29,433","30,773","34,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferryboata,U ,U ,U ,108,110,112,84,87,97,101,98,109,106,108,115,126,116,130,131,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commuter raile,U ,U ,"4,500","4,982","5,126","5,164","5,239","5,425","5,535","5,549","5,497","5,528","5,631","5,866","6,130","6,290","6,300","6,279","6,494","6,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otherb,U ,U ,U ,"1,068","2,352","2,697","5,260","6,158","7,008","7,366","7,607","8,028","7,927","8,518","10,429","11,496","12,338","12,823","14,822","17,623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of employeesf, 7, total","156,400","138,040","(R) 187,000","262,176","294,087","300,491","314,944","320,759","327,752","337,885","347,841","357,266","360,722","337,982","345,871","354,458","357,484","(R) 370,784","387,155","390,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor bus,"121,300","101,598",U ,"162,189","174,373","181,973","190,152","196,861","198,644","204,179","211,095","214,674","214,825","205,478","212,122","217,332","221,302","(R) 186,329","192,213","192,510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy rail,"35,100","36,442",U ,"46,102","51,062","45,644","45,793","45,935","45,163","46,311","47,087","47,865","48,464","48,327","47,211","47,806","48,323","(R) 49,369","49,982","49,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light rail,+,+,U ,"4,066","5,140","4,935","5,728","5,940","6,024","6,058","6,572","7,021","7,598","7,619","8,184","8,181","8,448","(R) 9,250","9,939","10,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trolley bus,+,+,U ,"1,925","1,848","1,871","2,084","2,037","2,053","2,140","2,223","2,008","2,027","1,964","1,928","1,942","1,845","(R) 1,769","1,832","1,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand responsive,U ,U ,U ,"22,740","35,450","39,882","44,667","44,029","48,406","51,186","52,021","55,846","56,746","42,935","43,642","46,624","46,178","(R) 91,183","99,323","100,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferryboata,U ,U ,U ,"2,813","2,764","2,829","2,932","3,586","3,632","4,125","2,682","4,820","5,441","5,536","5,970","5,871","4,539","4,079","4,165","4,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commuter rail,U ,U ,U ,"21,443","22,596","22,320","22,604","21,651","22,488","22,896","23,518","23,851","24,391","24,813","25,296","25,321","25,314","(R) 26,272","27,144","28,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otherb,U ,U ,U ,898,854,"1,037",984,720,"1,342",990,"2,643","1,181","1,230","1,312","1,518","1,382","1,535","(R) 2,533","2,557","2,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERFORMANCE,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
