Natural Gas Pipeline Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taxes (federal, state, local)",N,N,"1,136","1,625","1,931","1,888","2,668","2,415","2,524","2,355","2,916","2,908","2,437","2,914","2,901","3,231","3,188","3,052","3,273","3,210",,,,,,,,,,,,
Federal taxesb,N,N,351,580,703,720,"1,041",849,"1,250",883,"1,033","1,216",891,"1,108","1,096","1,071","1,053","1,172","1,215","1,231",,,,,,,,,,,,
State and local taxes,N,N,785,"1,045","1,228","1,168","1,627","1,566","1,274","1,472","1,883","1,692","1,546","1,806","1,805","2,160","2,135","1,880","2,058","1,979",,,,,,,,,,,,
"Investor-owned, total industry c, 3", , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total operating revenues,N,N,"85,918","66,027","63,446","58,435","63,600","62,660","57,548","59,142","72,075","79,276","68,594","75,567","80,331","102,061","97,197","(R) 97,236","109,600","87,457",,,,,,,,,,,,
Total operating expensesa,N,N,"81,789","60,137","56,789","50,594","56,695","55,422","51,075","51,331","64,961","71,011","59,839","66,623","71,699","89,315","86,992","85,143","97,666","76,163",,,,,,,,,,,,
Operation and maintenance,N,N,"74,508","51,628","45,953","40,041","45,785","44,851","41,360","41,415","54,630","58,908","48,675","55,067","59,952","77,624","73,494","71,043","82,428","61,894",,,,,,,,,,,,
Operation expenses,N,N,"73,288","49,718","43,879","37,998","43,742","43,258","39,971","38,752","53,138","57,184","47,037","53,477","58,277","75,633","71,465","69,012","80,042","59,567",,,,,,,,,,,,
Maintenance expenses,N,N,"1,220","1,910","2,074","2,043","2,043","1,593","1,390","2,664","1,492","1,722","1,637","1,590","1,675","1,991","2,027","2,031","2,387","2,328",,,,,,,,,,,,
"Taxes (federal, state, local)",N,N,"4,847","4,957","6,603","5,981","6,362","6,384","5,293","5,605","6,106","7,201","5,870","6,493","6,420","7,454","7,292","7,861","8,432","7,780",,,,,,,,,,,,
Federal taxesb,N,N,"2,327","2,038","3,112","2,511","2,932","3,066","2,631","2,626","2,690","3,133","2,624","3,315","3,188","3,676","3,431","3,840","4,405","4,045",,,,,,,,,,,,
State and local taxes,N,N,"2,520","2,919","3,491","3,470","3,430","3,318","2,662","2,979","3,416","4,068","3,246","3,178","3,232","3,778","3,861","4,021","4,027","3,735",,,,,,,,,,,,
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pipeline mileage, total 4","630,950","913,267","1,051,774","1,270,374","1,335,530","1,331,676","1,314,663","1,331,775","1,372,644","1,364,336","1,377,320","1,413,555","(R) 1,462,585","(R) 1,432,209","(R) 1,484,945","(R) 1,484,552","(R) 1,504,318","(R) 1,523,943","1,533,239","1,544,759",,,,,,,,,,,,
Transmission,"183,700","252,200","266,500","291,990","301,545","296,947","292,186","294,370","302,714","296,114","298,957","290,456","(R) 303,330","(R) 301,616","(R) 303,005","(R) 300,452","(R) 300,338","(R) 301,066","303,282","304,406",,,,,,,,,,,,
Distribution,"391,400","594,800","701,800","945,964","1,002,669","1,003,798","992,860","1,002,942","1,040,765","1,035,946","1,050,802","1,101,485","1,136,479","1,107,559","(R) 1,156,989","(R) 1,160,484","(R) 1,183,277","(R) 1,202,893","1,209,358","1,219,801",,,,,,,,,,,,
Field and gathering,"55,800","66,300","83,500","32,420","31,316","30,931","29,617","34,463","29,165","32,276","27,561","21,614","(R) 22,776","(R) 23,034","(R) 24,951","(R) 23,616","(R) 20,703","(R) 19,984","20,599","20,552",,,,,,,,,,,,
Number of employees 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas utility industry totals,"206,400","211,700","215,400","204,200","187,200","179,000","179,000","154,600","154,200","143,600","135,600","135,000","140,000","129,000","130,000","131,000","124,000","118,000","122,000","121,000",,,,,,,,,,,,
"Investor-owned companiesd, total",N,N,"202,700","192,100","175,700","168,900","163,400","145,400","142,400","133,100","125,100","123,000","123,000","114,000","111,000","119,000","111,000","106,000","111,000","110,000",,,,,,,,,,,,
Transmission pipeline companies,"31,400","32,400","45,200","37,400","31,000","28,000","32,300","27,500","28,400","29,400","26,400","26,000","26,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000",,,,,,,,,,,,
Distribution pipeline companies,N,N,"52,100","64,700","62,400","61,600","79,700","75,000","71,300","71,400","69,500","53,000","55,000","51,000","51,000","51,000","51,000","47,000","53,000","52,000",,,,,,,,,,,,
Integrated pipeline companies,N,N,"53,200","39,900","39,400","36,400","12,700","12,300","12,000","6,200","6,000","5,000","6,000","5,000","4,000","4,000","4,000","4,000","3,000","3,000",,,,,,,,,,,,
Combination pipeline companies,N,N,"52,200","50,100","42,900","42,900","38,700","30,600","30,700","26,100","23,200","39,000","36,000","33,000","31,000","39,000","31,000","30,000","30,000","30,000",,,,,,,,,,,,
"Number of interstate natural gas pipeline companies e, 6",87,89,91,132,79,92,84,101,97,108,107,106,109,107,114,114,117,125,130,139,,,,,,,,,,,,
PERFORMANCE (million cubic ft.) 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marketed production, total","12,771,038","21,920,642","20,179,724","18,593,792","19,709,525","19,506,474","19,812,241","19,866,093","19,961,348","19,804,848","20,197,511","20,570,295","19,884,780","19,974,360","19,517,491","18,927,095","19,409,674","20,196,346","21,112,053","21,604,158",,,,,,,,,,,,
"Delivered to consumers, total","10,382,681","19,018,462","18,216,233","16,818,882","18,898,635","19,660,161","20,005,508","20,782,693","20,437,798","20,680,843","21,539,964","20,495,108","21,227,015","20,562,727","20,724,883","20,315,054","19,958,451","21,249,389","21,400,397","20,965,704",,,,,,,,,,,,
"Consumed, total","11,966,537","21,139,386","19,877,293","19,173,556","21,247,098","22,206,889","22,609,080","22,737,342","22,245,956","22,405,151","23,333,121","22,238,624","23,007,017","22,276,502","22,388,975","22,010,596","21,684,641","23,097,140","23,268,056","22,839,158",,,,,,,,,,,,
"Gas used as a pipeline fuel, total","347,075","722,166","634,622","659,816","685,362","700,335","711,446","751,470","635,477","645,319","642,210","624,964","666,920","591,492","566,187","584,026","584,213","621,364","647,956","598,216",,,,,,,,,,,,
SAFETY 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatalities ,N,26,15,6,21,18,48,10,19,18,37,7,(R) 11,12,18,12,21,11,7,9,,,,,,,,,,,,
Injured persons,N,233,177,69,113,53,114,72,75,88,77,51,49,66,44,46,34,43,58,63,,,,,,,,,,,,
Incidents,N,"1,077","1,524",199,222,161,187,175,236,172,234,211,(R) 184,238,(R) 297,352,287,285,289,287,,,,,,,,,,,,
KEY: N = data do not exist; R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Total does not sum from components due to the omission of a line from source table for depreciation and other noncash expenses. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Figures obtained by addition / subtraction and may not appear directly in data source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Industry total includes integrated and combination company totals in addition to distribution and transmission company totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d Number of employees in investor-owned companies is the sum of employees in distribution, transmission, integrated and combination companies. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e Beginning in 1991 the number of interstate natural gas pipeline companies is calculated using the Federal Energy Regulatory Commission's FASTR database, which contains a listing by year of pipeline companies that are regulated and, therefore, required to pay tariff duties to the federal government.   Data for the years prior to 1991 were collected from the Energy Information Administration's discontinued publication Statistics of Interstate Natural Gas Pipeline Companies.  Data from the two sources may not be comparable. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to total due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas utility industry totals include employees of privately owned companies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline mileage data for 1990 and later years are obtained from the Pipeline and Hazardous Material Safety Administration and data for these years are not comparable with prior years or with numbers published in the previous NTS reports. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 1960-70:  American Gas Association, Gas Facts, 1979 (Arlington, VA: 1980), table 134. 1980-2009: Ibid., Gas Facts,  (Washington, DC: Annual Issues), table 11-2 and similar tables in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 1980: American Gas Association, Gas Facts, 1979 (Arlington, VA: 1980), table 134. 1990-2009: Ibid., Gas Facts,(Washington, DC: Annual Issues), table 11-1 and similar tables in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 1980-2009: American Gas Association, Gas Facts,(Washington, DC: Annual Issues), tables 11-1, 11-2, 11-3, and 11-4 and similar tables in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 1960-70: American Gas Association, Gas Facts, 1979 (Arlington, VA: 1980), table 44. 1980:  Ibid., Gas Facts (Washington, DC: Annual Issue), tables 5-1 and 5-3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 1990-2009: U.S. Department of Transportation, Pipeline and Hazardous Materials Safety Administration, Office of Pipeline Safety, available at http://ops.dot.gov/stats.htm as of July 14, 2011. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 1960-80: American Gas Association, Gas Facts, 1979 (Arlington, VA: 1980), table 153. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 1990-2009:  Ibid., Gas Facts,  (Washington, DC: Annual Issues), table 13-2 and similar tables in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6 1960-90: U.S. Department of Energy, Energy Information Administration, Statistics of Interstate Natural Gas Pipeline Companies (Washington, DC:  Annual Issues), preface. 1991-98: Federal Energy Regulatory Commission, FERC Automated System for Tariff Retrieval (FASTR database), available at http://www.ferc.gov/industries/gas/gen-info/fastr/index.asp as of Feb. 18, 2004.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6 1990-2009: Federal Energy Regulatory Commission, Office of External Affairs, personal communication, Aug. 8, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7 1960-95: U.S. Department of Energy, Energy Information Administration, Natural Gas Annual, 1998 (Washington, DC: October 1999), table 98. 1996-2009: Ibid., Natural Gas Annual, (Washington, DC: Annual Issues), table 1, available at http://www.eia.doe.gov/oil_gas/natural_gas/data_publications/natural_gas_annual/nga.html as of July 14, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8 U.S. Department of Transportation, Pipeline and Hazardous Materials Safety Administration, Office of Pipeline Safety, available at http://ops.dot.gov/stats.htm as of July 14, 2011. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
