Table 4-2:  U.S. Consumption of Energy from Primary Sources by Sector (Quadrillion Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,(R) 2012,(R) 2013,2014,2015,,,,
Transportation,95.9,95.7,95.3,96.7,96.7,97.2,96.7,96.9,96.9,97.2,97.0,97.0,97.0,96.9,97.4,97.4,97.5,97.5,97.4,97.7,97.8,97.8,97.7,97.6,97.4,97.2,97.3,96.9,96.8,96.3,96.3,96.3,,,,
Industrial,33.9,33.7,33.9,37.9,42.1,39.7,39.0,38.2,39.3,38.6,39.2,37.8,38.5,39.1,39.2,40.8,39.8,42.1,42.1,42.9,43.9,45.0,45.4,44.2,41.8,41.7,40.4,39.8,39.4,39.2,38.2,38.6,,,,
Residential and commercial,37.2,36.9,34.3,31.7,26.4,24.3,22.8,21.7,21.1,20.3,20.3,19.4,19.4,19.1,19.2,20.1,20.6,21.2,19.8,20.7,20.7,20.2,19.0,18.0,18.0,17.0,16.7,15.8,15.4,14.0,13.9,14.6,,,,
Electric utilities,6.8,6.6,13.0,15.6,10.9,4.2,4.2,3.9,3.2,3.5,3.3,2.3,2.4,2.7,3.6,3.3,3.0,3.4,2.5,3.2,3.1,3.1,1.6,1.6,1.1,1.0,0.9,0.8,0.6,0.7,0.8,0.7,,,,
a  Discontinuity in data between earlier years and 1990 is due to attempts to include sector consumption of renewable energy beginning in that year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY:  Btu = British thermal unit; R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The data for Residential, Commercial, and Industrial sectors include only fossil fuels consumed directly. Most renewable fuels are not included. The data for the Transportation sector includes only fossil and renewable fuels consumed directly. The data for Electric utilities includes all fuels (fossil, nuclear, geothermal, hydro, and other renewables) used by electric utilities. Due to a lack of consistent historical data, some renewable energy resources are not included in this table. The totals in table 4-4 are the best numbers for total U.S. energy consumption from all sources.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70: U.S. Department of Energy, Energy Information Administration, Annual Energy Review, (Washington, DC: Annual Issues), tables 2.1a - 2.1f, available at http://www.eia.doe.gov/emeu/aer/contents.html as of Sept. 15, 2011 .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-2015: Ibid., Monthly Energy Review, tables 2.1, 3-8a - c, available at http://www.eia.doe.gov/emeu/mer/contents.html as of May 25, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
