Table 3-20:  Average Passenger Revenue per Passenger-Mile (Current cents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960: Civil Aeronautics Board, Handbook of Airline Statistics, 1969 (Washington, DC:  February 1970), part III, table 2 (passenger-miles); part IV, table 2 (passenger revenues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965-70: Ibid., Handbook of Airline Statistics, 1973 (Washington, DC: March 1974), part III, table 2 (passenger-miles); part IV, table 2 (passenger revenues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: Ibid., Air Carrier Financial Statistics (Washington, DC:  Annual December Issues), p. 2, line 3. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ibid., Air Carrier Traffic Statistics (Washington, DC:  Annual December Issues), p. 4, line 9.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985: U.S. Department of Transportation, Bureau of Transportation Statistics, Office of Airline Information, Air Carrier Financial Statistics (Washington, DC: Annual December issues), p. 4, line 3 and similar pages in previous editions; and Air Carrier Traffic Statistics (Washington, DC: Annual December issues), p. 3, line 9, and similar pages in previous editions (total passenger operating revenues / total revenue passenger-miles).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2013: U.S. Department of Transportation, Bureau of Transportation Statistics, Office of Airline Information, TranStats Database, T1: U.S. Air Carrier Traffic and Capacity Summary by Service Class, available at  http://www.transtats.bts.gov/DL_SelectFields.asp?Table_ID=264&DB_Short_Name=Air%20Carrier%20Summary as of Aug. 31, 2015 and  Air Carrier Financial Reports, Schedule P-1.2, available at http://www.transtats.bts.gov/databases.asp?Mode_ID=1&Mode_Desc=Aviation&Subject_ID2=0 as of Aug. 31, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commuter rail:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2001: American Public Transportation Association, 2011 Public Transportation Fact Book (Washington, DC: 2011), tables 2 and 42 (passenger fares / passenger miles).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-13: U.S. Department of Transportation, Federal Transit Administration, National Transit Database, Data Tables 19 and 26 (Washington, D.C.: Annual reports), available at http://www.ntdprogram.gov/ntdprogram/data.htm as of Aug. 31, 2015. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercity / Amtrak:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70: Association of American Railroads, Railroad Facts (Washington, DC:  Annual Issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: National Passenger Rail Corporation (Amtrak), personal communication, June 22, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2002: National Passenger Rail Corporation (Amtrak), Amtrak Annual Report, Statistical Appendix (Washington, DC: Annual Issues) (transportation revenues / passenger-miles).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003-13: Association of American Railroads, Railroad Facts (Washington, DC:  Annual Issues), p. 77 and similar pages in previous editions (passenger revenue/revenue passenger miles).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Index:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-2013: U.S. Department of Labor, Bureau of Labor Statistics, Consumer Price Index-Urban, U.S. All Items Indexes, available at http://www.bls.gov/cpi/ as of Aug. 31, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
