Table A:  Social and Economic Characteristics of the United States,,,,,,,,,,,,,,,,,,,,,,,,,
, 1980, 1985, 1990, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009,(R) 2010,(R) 2011,(R) 2012,2013,2014,,
Total areaf (square miles) ,"3,618,770",U,"3,717,796",U,U,U,U,U,"3,794,083",U,U,U,U,U,U,U,U,U,"3,796,742",U,U,U,U,,
Gross domestic product (billions of chained 2009 dollars)g  ,"5,839.0","6,849.3","8,027.1","9,086.0","9,425.8","(R) 11,034.9","(R) 11,525.9","(R) 12,065.9","(R) 12,559.7","(R) 12,682.2","(R) 12,908.8","(R) 13,271.1","(R) 13,773.5","(R) 14,234.2","(R) 14,613.8","(R) 14,873.7","(R) 14,830.4","(R) 14,418.7","14,783.8","15,020.6","15,369.2","15,710.3",16085.6,,
"Government, total",U,U,"1,403.7","1,422.9","1,429.2","(R) 1,797.0","(R) 1,818.5","(R) 1,840.5","(R) 1,876.2","(R) 1,893.1","(R) 1,927.7","(R) 1,950.7","(R) 1,968.4","(R) 1,985.2","(R) 1,996.7","(R) 2,017.7","(R) 2,054.6","(R) 2,065.8","2,079.8","2,071.7","2,062.3","2,049.4",2042.8,,
"Private industry, total",U,U,"6,761.7","7,738.3","8,073.2","(R) 9,423.9","(R) 9,873.6","(R) 10,385.9","(R) 10,826.2","(R) 10,927.0","(R) 11,120.2","(R) 11,432.2","(R) 11,886.2","(R) 12,311.1","(R) 12,678.6","(R) 12,873.1","(R) 12,760.2","(R) 12,353.0","12,650.2","12,871.7","13,185.8","13,482.8",13829.7,,
"Agriculture, forestry, fishing, and hunting",U,U,76.4,75.7,84.3,91.0,(R) 87.6,(R) 92.1,(R) 105.8,(R) 100.4,(R) 104.2,(R) 114.2,(R) 121.4,(R) 127.2,(R) 132.4,(R) 114.3,(R) 122.0,(R) 137.7,140.3,134.0,129.5,145.1,134.6,,
Mining,U,U,251.5,275.9,257.0,(R) 236.7,(R) 248.6,(R) 237.3,(R) 210.7,(R) 246.5,(R) 242.2,(R) 216.1,(R) 214.1,(R) 212.9,(R) 235.7,(R) 251.3,(R) 254.2,(R) 290.3,272.7,290.1,319.5,332.7,356.7,,
Utilities,U,U,196.8,211.3,209.4,(R) 266.9,(R) 254.6,(R) 297.9,(R) 304.0,(R) 257.6,(R) 262.7,(R) 255.0,(R) 267.2,(R) 250.6,(R) 264.2,(R) 267.4,(R) 269.7,(R) 250.8,274.4,277.9,279.2,281.9,281.6,,
Construction,U,U,519.3,540.4,569.5,(R) 686.8,(R) 715.5,(R) 741.3,(R) 768.9,(R) 755.4,(R) 731.5,(R) 744.4,(R) 770.5,(R) 772.8,(R) 753.5,(R) 725.1,(R) 662.2,(R) 577.3,551.6,548.6,570.9,581.6,577.8,,
Manufacturing,U,U,919.2,"1,079.7","1,114.2","(R) 1,365.1","(R) 1,431.1","(R) 1,509.4","(R) 1,603.3","(R) 1,538.5","(R) 1,553.7","(R) 1,632.1","(R) 1,737.5","(R) 1,776.7","(R) 1,864.9","(R) 1,924.8","(R) 1,869.1","(R) 1,726.7","1,818.2","1,823.2","1,836.8","1,862.6",1924.3,,
Wholesale trade,U,U,309.7,383.8,419.2,(R) 620.1,(R) 672.3,(R) 697.8,(R) 740.7,(R) 754.2,(R) 757.0,(R) 802.0,(R) 845.7,(R) 889.6,(R) 923.3,(R) 954.4,(R) 943.4,(R) 822.8,848.3,866.0,893.6,907.6,930.4,,
Retail trade,U,U,450.8,558.8,610.4,(R) 672.0,(R) 735.2,(R) 759.7,(R) 782.7,(R) 804.7,(R) 835.0,(R) 882.7,(R) 895.4,(R) 925.0,(R) 929.8,(R) 904.1,(R) 866.4,(R) 842.1,862.1,867.5,881.8,902.8,930.5,,
Transportation and warehousing,U,U,203.8,263.2,277.6,(R) 357.4,(R) 370.4,(R) 373.8,(R) 379.9,(R) 354.5,(R) 343.2,(R) 357.1,(R) 392.2,(R) 414.4,(R) 439.9,(R) 434.4,(R) 433.9,(R) 398.8,421.4,436.5,437.5,440.5,446.8,,
Information,U,U,250.1,305.2,324.4,(R) 373.8,(R) 409.2,(R) 455.2,(R) 444.7,(R) 470.0,(R) 515.4,(R) 529.4,(R) 588.0,(R) 620.4,(R) 635.6,(R) 697.3,(R) 732.0,(R) 705.3,735.1,736.1,748.5,781.5,808.1,,
"Finance, insurance, real estate, rental, and leasing",U,U,"1,598.2","1,809.1","1,851.7","(R) 1,975.7","(R) 2,069.1","(R) 2,211.3","(R) 2,325.7","(R) 2,475.1","(R) 2,505.8","(R) 2,535.6","(R) 2,573.8","(R) 2,743.3","(R) 2,815.6","(R) 2,866.6","(R) 2,762.9","(R) 2,874.0","2,925.4","2,986.1","3,066.6","3,147.7",3198.1,,
Professional and business services,U,U,878.2,958.7,"1,024.7","(R) 1,224.1","(R) 1,279.5","(R) 1,337.9","(R) 1,410.8","(R) 1,447.1","(R) 1,468.9","(R) 1,508.7","(R) 1,547.4","(R) 1,612.5","(R) 1,658.2","(R) 1,701.2","(R) 1,777.8","(R) 1,661.1","1,718.0","1,782.9","1,861.3","1,895.0",1988.0,,
"Educational services, health care, and social assistance",U,U,700.5,756.1,764.8,(R) 869.0,(R) 875.8,(R) 898.8,(R) 922.4,(R) 946.1,(R) 984.5,"(R) 1,017.5","(R) 1,057.7","(R) 1,075.8","(R) 1,117.3","(R) 1,128.0","(R) 1,187.8","(R) 1,214.0","1,220.5","1,239.8","1,257.3","1,281.3",1312.2,,
"Arts, entertainment, recreation, accommodation, and food services",U,U,323.6,357.4,372.5,(R) 457.1,(R) 467.7,(R) 493.0,(R) 520.9,(R) 504.4,(R) 517.4,(R) 533.3,(R) 557.5,(R) 559.3,(R) 572.1,(R) 572.8,(R) 558.7,(R) 522.3,541.3,562.5,574.7,586.1,602.2,,
"Other services, except government",U,U,294.2,322.5,325.4,(R) 376.8,(R) 391.9,(R) 394.7,(R) 403.5,(R) 363.4,(R) 373.3,(R) 361.7,(R) 367.3,(R) 368.6,(R) 370.1,(R) 360.9,(R) 347.4,(R) 329.5,323.9,322.7,329.0,331.3,337.2,,
Total civilian labor force (thousands),"106,940","115,461","125,840","132,304","133,943","136,297","137,673","139,368","142,583","143,734","144,863","146,510","147,401","149,320","151,428","153,124","154,287","154,142","153,889","153,617","154,975","155,389","155,922",,
Participation rate of men (percent),77.4,76.3,76.4,75.0,74.9,75.0,74.9,74.7,74.8,74.4,74.1,73.5,73.3,73.3,73.5,73.2,73.0,72.0,71.2,70.5,70.2,69.7,69.2,,
Participation rate of women (percent),51.5,54.5,57.5,58.9,59.3,59.8,59.8,60.0,59.9,59.8,59.6,59.5,59.2,59.3,59.4,59.3,59.5,59.2,58.6,58.1,57.7,57.2,57.0,,
Number of households (thousands),"80,776","86,789","93,347","98,990","99,627","101,018","102,528","103,874","104,705","108,209","109,297","111,278","112,000","113,343","114,384","116,011","116,783","117,181","117,538","119,927 ","121,084","122,459","123,229",,
Average size of households,2.76,2.69,2.63,2.65,2.65,2.64,2.62,2.61,2.62,2.58,2.58,2.57,2.57,2.57,2.57,2.56,2.56,2.57,2.59,2.56 ,2.55,2.54,2.54,,
Median household incomeh (constant 2009 dollars) ,"(R) 43,920","(R) 44,928","(R) 47,691","(R) 47,674","(R) 48,345","(R) 49,340","(R) 51,155","(R) 52,422","(R) 52,314","(R) 51,174","(R) 50,576","(R) 50,533","(R) 50,357","(R) 50,896","(R) 51,293","(R) 51,981","(R) 50,129","(R) 49,777","48,492","47,751","47,674","49,357","48,628",,
Mean household incomeh (constant 2009 dollars) ,"(R) 52,234","(R) 55,290","(R) 59,572","(R) 62,869","(R) 64,188","(R) 66,256","(R) 68,216","(R) 70,506","(R) 71,181","(R) 70,538","(R) 68,993","(R) 68,904","(R) 68,680","(R) 69,592","(R) 70,840","(R) 69,962","(R) 68,185","(R) 67,976","66,318","66,471","66,604","69,262","68,638",,
Average household expendituresh (constant 2009 dollars) ,U,"(R) 44,684","(R) 45,203","(R) 45,138","(R) 46,036","(R) 46,425","(R) 46,747","(R) 47,654","(R) 47,399","(R) 47,889","(R) 48,511","(R) 47,615","(R) 49,290","(R) 50,987","(R) 51,503","(R) 51,365","(R) 50,311","(R) 49,067","47,343","47,419","48,072","47,068","48,481",,
KEY:  NA = not applicable; R = revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
a Estimates are as of July 1 for each year. The numbers for each sub-category in each year may not add up to the total population due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
"b New metropolitan area definitions were published by the Office of Management and Budget (OMB) in 2003. These definitions were applied to population data by the Census Bureau beginning with the data from the 2000 Census. A new term, core based statistical areas (CBSAs), collectively refers to metropolitan and micropolitan statistical areas. A metropolitan statistical area is defined as having at least one urbanized area of 50,000 or more inhabitants. A micropolitan statistical area is defined as having at least one urban cluster of more than 10,000 but less than 50,000 inhabitants. All geographic boundaries for the July 1, 2009 population estimates series are defined as of January 1, 2009.  The Office of Management and Budget's statistical area definitions for metropolitan and micropolitan statistical areas, as well as metropolitan divisions, are those issued by that agency in November 2008. The estimates for 2010-12 are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions.  The Office of Management and Budget's statistical area delineations for metropolitan and micropolitan statistical areas, as well as metropolitan divisions, are those issued by that agency in February 2013. ",,,,,,,,,,,,,,,,,,,,,,,,,
c Numbers prior to 1999 are estimated to the nearest million.,,,,,,,,,,,,,,,,,,,,,,,,,
d As of April 1 of year indicated. The Census Bureau only tabulates urban / rural numbers for the decennial census years.,,,,,,,,,,,,,,,,,,,,,,,,,
e  Fiscal year ending September 30.,,,,,,,,,,,,,,,,,,,,,,,,,
"f The Census Bureau calculates square mileage comprising land and water area for the decennial census years.  Data for 1980 comprises land and inland water.  Data for 1990 comprises land, Great Lakes, inland water, and coastal water.  Data for 2000 comprises land, Great Lakes, inland water, territorial water, and coastal water.  ",,,,,,,,,,,,,,,,,,,,,,,,,
g Sums of chained-dollar estimates for individual industries do not add to national totals because the chain-type indices used to derive them are based on weights of more than one period.  ,,,,,,,,,,,,,,,,,,,,,,,,,
h Converted to constant 2005 dollars by the Bureau of Transportation Statistics using the CPI-U-RS price index.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. resident population, age, sex, region, metropolitan areas, micropolitan areas:",,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Census Bureau, Population Division, Population Estimates, available at http://www.census.gov/popest/data/index.html as of Nov. 2, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,
Rural / urban:,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-90: Ibid., Statistical Abstract of the United States 2000 (Washington, DC: 2001), table 37.",,,,,,,,,,,,,,,,,,,,,,,,,
"2000-11: Ibid., Statistical Abstract of the United States 2012, table 29, available at  http://www.census.gov/compendia/statab/ as of Nov. 29, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,
Immigrants:,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Homeland Security, U.S. Citizenship and Immigration Services, Yearbook of Immigration Statistics (Washington, DC: Annual Issues), table 1, available at http://www.dhs.gov/yearbook-immigration-statistics/ as of Nov. 2, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,
Total area:,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Commerce, Bureau of the Census, Statistical Abstract of the United States 2012, table 1, available at  http://www.census.gov/compendia/statab/ as of Nov. 29, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,
"Gross domestic product, Government, and Private industry:",,,,,,,,,,,,,,,,,,,,,,,,,
"1980-85: U.S. Department of Commerce, Bureau of Economic Analysis, National Economic Accounts, National Income and Product Accounts Table, table 1.1.6, available at http://www.bea.gov/national/index.htm as of Aug. 30, 2010.",,,,,,,,,,,,,,,,,,,,,,,,,
"1990-96: U.S. Department of Commerce, Bureau of Economic Analysis, Industry Economic Accounts, Gross-Domestic-Product-by-Industry Accounts, Real Value Added by Industry, available at http://www.bea.gov/industry/index.htm as of Jul. 29, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,
"1997-2014: U.S. Department of Commerce, Bureau of Economic Analysis, Industry Economic Accounts, Gross-Domestic-Product-by-Industry Accounts, Real Value Added by Industry, available at http://www.bea.gov/industry/index.htm as of Nov. 2, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,
Civilian labor force:,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Labor, Bureau of Labor Statistics, Current Population Survey, Employment status of the civilian noninstitutional population, Household Date, 1 and A-2, available at http://www.bls.gov/cps/tables.htm#empstat as of Nov. 2, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,
Number of households and average size of households:,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Commerce, Bureau of the Census, Current Population Survey, Table HH-6, Average Population Per Household and Family: 1944 to Present, available at http://www.census.gov/hhes/families/data/households.html as of Nov. 2, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,
Mean and Median household income:,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Commerce, Bureau of the Census, Current Population Survey, Historical Income Tables, table H-6. Regions--All Races by Median and Mean Income: 1975 to 2014, available at http://www.census.gov/hhes/www/income/data/historical/household/ as of Nov. 2, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,
Average household expenditures:,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S Department of Labor, Bureau of Labor Statistics, Consumer Expenditure Survey, Average Annual Expenditures, All Consumer Units, available at http://www.bls.gov/cex/ as of Nov. 2, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
