Truck Profile,,,,,,,,,,,,,,,,,,
FINANCIAL,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"Average miles traveled per vehicle, all trucks","10,693","13,565","18,736","23,603","25,838","26,514","26,092","27,032","25,397","26,014","25,617","26,602","27,071","28,093","27,023","26,235","25,231","25,141"
Single-unit truck,U,"7,356","9,103","11,567","12,491","12,482","12,167","12,637","11,861","12,199","11,897","12,702","13,426","13,295","12,732","12,274","12,083","12,040"
Combination truck,U,"38,819","48,472","55,206","64,783","68,083","68,075","69,601","64,265","65,260","64,399","63,404","60,939","73,445","70,819","69,020","65,526","65,290"
SAFETY,,,,,,,,,,,,,,,,,,
"Occupant fatalities, large truck",U,U,"1,262",705,670,648,621,723,742,759,754,708,689,726,766,804,805,802
Occupant fatality rate,,,,,,,,,,,,,,,,,,
"Per 100 million vehicle-miles, large truck",U,U,1.2,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4
"Per 10,000 registered vehicles, large truck",U,U,2.2,1.1,1.0,1.0,0.9,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Vehicle involvement rate (fatal crashes),,,,,,,,,,,,,,,,,,
"Per 100 million vehicle-miles, large truck",U,U,5.0,3.3,2.7,2.5,2.6,2.6,2.5,2.4,2.4,2.3,2.1,2.2,2.2,2.2,2.1,2.0
"Per 10,000 registered vehicles, large truck",U,U,9.3,7.7,7.0,6.7,6.8,6.9,6.4,6.3,6.2,6.1,5.8,6.1,6.0,5.8,5.4,5.1
KEY: R = revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
a Local trucking  (SIC 4212) - Establishments primarily engaged in furnishing trucking or transfer services without storage for freight generally weighing more than 100 pounds.,,,,,,,,,,,,,,,,,,
"Trucking, except local (SIC 4213) - Establishments primarily engaged in furnishing ""over-the-road"" trucking services or trucking services and storage services, including household goods either as common carriers or under special or individual contracts or agreements, for freight generally weighing more than 100 pounds.",,,,,,,,,,,,,,,,,,
"Local trucking, with storage (SIC 4214) - Establishments primarily engaged in furnishing both trucking and storage services, including household goods.",,,,,,,,,,,,,,,,,,
"Courier services, except by air (SIC 4215) - Establishments primarily engaged in the delivery of individually addressed letters, parcels, and packages (generally under 100 pounds).",,,,,,,,,,,,,,,,,,
"b Truck transportation (NAICS 484) - Industries primarily engaged in over-the-road transportation of cargo using motor vehicles, truck-tractors, and trailers.",,,,,,,,,,,,,,,,,,
"Couriers and messengers (NAICS 492) - Establishments primarily engaged in providing air, surface, or combined courier delivery services of parcels or primarily engaged in furnishing local messenger and delivery services of small items within a single metropolitan area or urban center.",,,,,,,,,,,,,,,,,,
"c In 1999, the Occupational Employment Statistics survey began using the Standard Occupational Classification (SOC) system to organize occupational data.  Therefore, estimates from 1999 and subsequent years are not directly comparable to previous occupational data.",,,,,,,,,,,,,,,,,,
"d Urban consists of travel on all roads and streets in urban places of 5,000 or greater population.",,,,,,,,,,,,,,,,,,
"e As cited on the Federal Highway Administration (FHWA), highway passenger-miles are calculated by multiplying vehicle-miles of travel and the average number of occupants for each vehicle type.",,,,,,,,,,,,,,,,,,
f Includes other 2-axle 4-tire vehicle in 1960.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,
"In 1995, FHWA revised its vehicle type categories. These new categories include passenger car, other 2-axle 4-tire vehicle, single-unit 2-axle 6-tire or more truck, and combination truck.  Other 2-axle 4-tire vehicles include vans, pickup trucks, and sport/utility vehicles.  In previous years, some minivans and sport/utility vehicles were included in the passenger car category.  Single-unit 2-axle 6-tire or more trucks are on a single frame with at least 2 axles and 6 tires. Occupant fatality rates (OFR) for Light Trucks have been removed, but can be found in the Automobile Profile. The remaining fatality rates are calculated by NHTSA and may be different from what would be calculated from the data presented.",,,,,,,,,,,,,,,,,,
Component values may not add to totals due to independent rounding.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,
"Unless otherwise noted, refer to chapter tables for sources.",,,,,,,,,,,,,,,,,,
"Operating revenues, total and Operating expenses, total  (based on SIC): ",,,,,,,,,,,,,,,,,,
"U.S. Census Bureau, Transportation Annual Survey (Washington, DC: December 1998), table 1.",,,,,,,,,,,,,,,,,,
"Operating revenues, total (based on NAICS): ",,,,,,,,,,,,,,,,,,
"U.S. Census Bureau, Service Annual Survey (Washington, DC: Annual Issues), table 2.1 and similar tables in earlier editions, available at  http://www.census.gov/services/index.html as of July 08, 2009.",,,,,,,,,,,,,,,,,,
Truck highway-user taxes: ,,,,,,,,,,,,,,,,,,
"1960-1999: American Trucking Association, American Trucking Trends, (Washington, DC: Annual issues).",,,,,,,,,,,,,,,,,,
"2000-2006: American Trucking Association, American Trucking Trends, unpublished data, personal communication, June 30, 2008. ",,,,,,,,,,,,,,,,,,
Number of truck registrations: ,,,,,,,,,,,,,,,,,,
"1960-94:  U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, FHWA-PL-97-009 (Washington, DC:  July 1997), table VM-201A.",,,,,,,,,,,,,,,,,,
"1995-2007:  Ibid., Federal Highway Administration, Highway Statistics (Washington, DC: Annual issues), table VM-1, available at http://www.fhwa.dot.gov/policy/ohpi/hss/hsspubs.cfm as of July 08, 2009 .",,,,,,,,,,,,,,,,,,
"Number of employees: Trucking and courier services, except air (based on SIC): ",,,,,,,,,,,,,,,,,,
"1960-90:  U.S. Department of Labor, Bureau of Labor Statistics, Employment, Hours and Earnings, United States, 1909-1994 (Washington, DC: September 1994), SIC 421.",,,,,,,,,,,,,,,,,,
" 1994-2007:  Ibid., Employment, Hours and Earnings, available at www.bls.gov as of July 13, 2009, SIC 421.",,,,,,,,,,,,,,,,,,
Number of employees: Truck transportation (based on NAICS) and  Couriers and messengers (based on NAICS): ,,,,,,,,,,,,,,,,,,
"1990-2007: U.S. Department of Labor,  Bureau of Labor Statistics, Database and Tables, available at http://www.bls.gov/data/ as of July 10, 2009; NAICS codes ""484 Truck transportation"" and ""492 Couriers and messengers.""",,,,,,,,,,,,,,,,,,
Number of employees: Truck drivers and sales workers (based on NAICS):  ,,,,,,,,,,,,,,,,,,
"2002-07:  U.S. Department of Labor, Bureau of Labor Statistics, Occupational Employment Statistics, Occupational Employment and Wage estimates, (Washington, DC: Annual Issues), available at http://www.bls.gov/oes/2008/may/oes_dl.htm#Time as of July 10, 2009.",,,,,,,,,,,,,,,,,,
Number of trucking and courier establishments: ,,,,,,,,,,,,,,,,,,
"U.S. Bureau of the Census, County Business Patterns (Washington, DC: Annual Issues), NAICS 484 and 492/SIC 421, available at http://censtats.census.gov/cbpnaic/cbpnaic.shtml as of September 28, 2009.",,,,,,,,,,,,,,,,,,
"Vehicle-miles, total rural and urban: ",,,,,,,,,,,,,,,,,,
"1960-94:  U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, FHWA-PL-97-009 (Washington, DC:  July 1997), table VM-201.",,,,,,,,,,,,,,,,,,
"1995-2007: lbid. Federal Highway Administration, Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policy/ohpi/hss/hsspubs.cfm as of July 10, 2009.",,,,,,,,,,,,,,,,,,
Ton-miles: ,,,,,,,,,,,,,,,,,,
"1980-2007: U.S. Department of Transportation, Bureau of Transportation Statistics, special tabulation, as of July 13, 2009. ",,,,,,,,,,,,,,,,,,
"Fuel consumed, Average fuel consumption per vehicle, Average miles traveled per gallon of fuel consumed, and Average miles traveled per vehicle: ",,,,,,,,,,,,,,,,,,
"1970-94:  U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, FHWA-PL-97-009 (Washington, DC: July 1997), table VM-201A.",,,,,,,,,,,,,,,,,,
"1995-2007:  Ibid., Federal Highway Administration, Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policy/ohpi/hss/hsspubs.cfm as of July 10, 2009.",,,,,,,,,,,,,,,,,,
Safety: ,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, National Highway Traffic Safety Administration, Traffic Safety Facts 2007, DOT HS 811 002 (Washington, DC:  Annual Issues), tables 3 and 9, July 13, 2009.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
