Table 3-15: Personal Expenditures by Category (Millions of current dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,(R) 2014,2015
Other,"(R) 22,434","(R) 30,158","44,263","(R) 67,806","110,675","173,267","(R) 262,298","268,009","(R) 290,056","304,538","(R) 316,870","332,720","(R) 350,832","(R) 368,397","(R) 393,720","(R) 429,351","(R) 458,495","(R) 477,903","496,803","(R) 526,522","(R) 559,062","(R) 589,541","(R) 624,535","(R) 657,602","(R) 672,974","(R) 672,712","(R) 700,647","(R) 733,077","754,903","774,322","801,673","834,329"
Disposable Personal Income (DPI),"376,500","513,200","761,500","1,219,300","2,018,000","3,098,500","4,311,800","4,484,500","4,800,200","5,000,200","5,244,200","5,532,600","5,829,900","6,148,800","6,561,300","6,876,300","7,400,500","7,752,300","8,099,200","8,485,800","9,002,300","9,400,800","10,036,900","10,507,000","10,994,400","10,942,500","11,237,900","11,801,400","12,403,700","12,395,800","13,022,700","13,519,800"
Transportation as a percent of DPI,10.8,11.0,10.0,10.2,11.2,11.5,10.3,9.3,9.4,9.7,10.1,10.0,10.3,10.4,10.2,10.6,10.7,10.5,10.0,10.0,10.0,10.2,9.9,9.8,9.2,7.9,8.4,8.9,8.9,9.2,9.0,8.3
KEY:  R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Includes furnishings, household equipment, and routine household maintenance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The categories have been revised due to the Comprehensive Benchmark revision by the source in 2010, thus this table is not comparable to the 2009 and earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPI: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Commerce, Bureau of Economic Analysis, National Income and Product Accounts Tables, table 2.1, available at http://www.bea.gov/national/nipaweb/SelectTable.asp?Selected=N#S2 as of October 28, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All except DPI: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ibid., National Income and Product Accounts Tables, table 2.3.5u, available at http://www.bea.gov/national/nipaweb/nipa_underlying/SelectTable.asp as of October 31, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
