Table 1-48: U.S.-Mexican Border Land-Passenger Gateways: Entering the United States,,,,,,,,,,,,,
2002,,2003,,2004,,2005,,2006,,2007,,2008,
"Hidalgo, TX","632,923","Hidalgo, TX","655,430","Hidalgo, TX","650,100","Hidalgo, TX","369,443","Otay Mesa, CA","312,862","El Paso, TX","442,191","San Ysidro, CA","700,787"
"Otay Mesa, CA","546,493","El Paso, TX","392,718","El Paso, TX","265,096","El Paso, TX","276,381","El Paso, TX","239,749","Hidalgo, TX","310,225","Hidalgo, TX","333,840"
"El Paso, TX","351,335","Otay Mesa, CA","303,756","Otay Mesa, CA","251,461","Otay Mesa, CA","251,614","Nogales, AZ","217,093","Otay Mesa, CA","296,637","Otay Mesa, CA","240,026"
Buses ? top 5 gateways,,,,,,,,,,,,,
"San Ysidro, CA","97,042","San Ysidro, CA","110,820","San Ysidro, CA","109,946","San Ysidro, CA","105,930","San Ysidro, CA","100,632","San Ysidro, CA","97,726","San Ysidro, CA","87,787"
"Otay Mesa, CA","65,474","Otay Mesa, CA","72,749","Otay Mesa, CA","41,032","Otay Mesa, CA","39,203","Otay Mesa, CA","44,793","Otay Mesa, CA","47,258","Otay Mesa, CA","47,758"
"Laredo, TX","38,852","Laredo, TX","35,406","Laredo, TX","37,902","Laredo, TX","35,841","Laredo, TX","37,105","Laredo, TX","37,106","Laredo, TX","39,122"
"El Paso, TX","32,270","Hidalgo, TX","32,805","Hidalgo, TX","32,701","Hidalgo, TX","27,964","Hidalgo, TX","27,344","Hidalgo, TX","28,942","Hidalgo, TX","33,127"
"Hidalgo, TX","31,952","El Paso, TX","30,031","El Paso, TX","17,551","El Paso, TX","15,993","El Paso, TX","14,843","El Paso, TX","18,530","El Paso, TX","24,716"
Train passengers ? top 5 gateways,,,,,,,,,,,,,
"Eagle Pass, TX","6,872","Eagle Pass, TX","6,496","Eagle Pass, TX","6,612","El Paso, TX","7,637","El Paso, TX","11,165","El Paso, TX","10,519","El Paso, TX","9,656"
"Nogales, AZ","2,216","El Paso, TX","1,869","El Paso, TX","2,234","Eagle Pass, TX","7,248","Eagle Pass, TX","5,348","Eagle Pass, TX","5,940","Eagle Pass, TX","6,616"
"Calexico East, CA","1,934","Nogales, AZ","1,664","Nogales, AZ","1,656","Calexico East, CA","1,239","Nogales, AZ","2,612","Nogales, AZ","2,352","Nogales, AZ","2,560"
"El Paso, TX","1,866","Calexico East, CA","1,456","Calexico East, CA","1,618","Nogales, AZ",952,"Calexico East, CA","1,556","Calexico East, CA",694,"Tecate, CA","2,179"
"Tecate, CA","1,760","Otay Mesa, CA",460,"Otay Mesa, CA",510,"Otay Mesa, CA",478,"Otay Mesa, CA",422,"Otay Mesa, CA",490,"Calexico East, CA",531
,,,,,,,,,,,,,
2009,,2010,,2011,,2012,,2013,,2014,,2015,
All U.S.-Mexican land gateways,,,,,,,,,,,,,
All personal vehicle passengers,"141,016,993",All personal vehicle passengers,"125,749,521",All personal vehicle passengers,"110,961,908",All personal vehicle passengers,"115,049,585",All personal vehicle passengers,"122,124,951",All personal vehicle passengers,"129,243,838",All personal vehicle passengers,"137,537,486"
All personal vehicles,"70,304,756",All personal vehicles,"64,044,852",All personal vehicles,"61,180,268",All personal vehicles,"62,702,503",All personal vehicles,"66,547,669",All personal vehicles,"69,623,693",All personal vehicles,"74,158,801"
All pedestrians,"41,314,685",All pedestrians,"39,914,981",All pedestrians,"40,021,216",All pedestrians,"41,141,640",All pedestrians,"41,198,935",All pedestrians,"41,223,292",All pedestrians,"41,179,967"
All bus passengers,"2,429,190",All bus passengers,"2,679,707",All bus passengers,"2,720,103",All bus passengers,"2,866,637",All bus passengers,"2,822,956",All bus passengers,"2,782,895",All bus passengers,"2,554,064"
All buses,"228,454",All buses,"218,754",All buses,"208,324",All buses,"212,211",All buses,"210,200",All buses,"213,780",All buses,"202,682"
All train passengers,"4,187",All train passengers,"3,283",All train passengers,"3,623",All train passengers,"3,319",All train passengers,"4,199",All train passengers,"(R) 10,578",All train passengers,"9,669"
Personal vehicle passengers ? top 5 gateways,,,,,,,,,,,,,
"San Ysidro, CA","23,934,882","San Ysidro, CA","23,600,605","San Ysidro, CA","21,522,906","San Ysidro, CA","19,944,913","San Ysidro, CA","19,887,054","San Ysidro, CA","21,116,089","San Ysidro, CA","25,646,073"
"El Paso, TX","18,377,270","El Paso, TX","17,919,814","El Paso, TX","14,940,566","El Paso, TX","15,908,404","El Paso, TX","17,545,433","El Paso, TX","19,134,740","El Paso, TX","19,982,407"
"Laredo, TX","12,729,210","Laredo, TX","10,857,512","Hidalgo, TX","9,040,470","Hidalgo, TX","9,484,335","Otay Mesa, CA","10,884,910","Otay Mesa, CA","12,040,318","Otay Mesa, CA","12,225,410"
"Hidalgo, TX","12,073,543","Hidalgo, TX","10,691,969","Laredo, TX","8,458,293","Otay Mesa, CA","9,297,601","Hidalgo, TX","9,608,966","Laredo, TX","10,335,481","Laredo, TX","10,985,281"
"Brownsville, TX","11,156,688","Brownsville, TX","9,291,617","Brownsville, TX","7,972,023","Laredo, TX                                              ","8,767,939","Laredo, TX                                              ","9,588,200","Hidalgo, TX","9,252,030","Hidalgo, TX","9,271,544"
Personal vehicles ? top 5 gateways,,,,,,,,,,,,,
"San Ysidro, CA","13,354,887","San Ysidro, CA","13,348,364","San Ysidro, CA","12,373,011","San Ysidro, CA","11,481,951","San Ysidro, CA","11,346,966","San Ysidro, CA","11,946,060","San Ysidro, CA","14,435,252"
"El Paso, TX","10,529,485","El Paso, TX","9,967,959","El Paso, TX","9,148,377","El Paso, TX","9,461,721","El Paso, TX","10,877,163","El Paso, TX","11,595,319","El Paso, TX","12,258,192"
"Hidalgo, TX","6,177,838","Hidalgo, TX","5,604,124","Hidalgo, TX","4,878,003","Otay Mesa, CA","5,346,210","Otay Mesa, CA","6,235,300","Otay Mesa, CA","6,910,219","Otay Mesa, CA","6,933,472"
"Brownsville, TX","5,512,863","Laredo, TX","4,863,814","Laredo, TX","4,746,355","Hidalgo, TX","4,894,486","Laredo, TX                                              ","5,023,185","Laredo, TX","5,250,601","Laredo, TX","5,224,056"
"Laredo, TX","5,452,111","Brownsville, TX","4,640,465","Otay Mesa, CA","4,213,804","Laredo, TX                                              ","4,440,407","Hidalgo, TX","4,768,256","Hidalgo, TX","4,565,037","Hidalgo, TX","4,594,298"
Pedestrians ? top 5 gateways,,,,,,,,,,,,,
"El Paso, TX","7,637,649","El Paso, TX","6,930,357","San Ysidro, CA","8,454,391","San Ysidro, CA","8,134,479","San Ysidro, CA","7,741,210","San Ysidro, CA","7,925,371","San Ysidro, CA","7,056,022"
"San Ysidro, CA","6,188,126","San Ysidro, CA","6,439,952","El Paso, TX","6,172,346","El Paso, TX","6,090,841","El Paso, TX","6,015,421","El Paso, TX","6,572,313","El Paso, TX","6,847,689"
"Laredo, TX","4,090,191","Calexico, CA","4,586,846","Calexico, CA","4,451,119","Calexico, CA","4,885,868","Calexico, CA","4,398,916","Calexico, CA","4,567,333","Calexico, CA","4,498,322"
"Nogales, AZ","4,038,356","Nogales, AZ","3,971,040","Nogales, AZ","3,525,540","Nogales, AZ","3,238,929","Laredo, TX","3,558,660","Laredo, TX","3,447,437","Laredo, TX","3,542,190"
"Calexico, CA","3,904,913","Laredo, TX","3,587,763","Laredo, TX","3,089,561","Laredo, TX","3,206,372","Otay Mesa, CA","3,289,778","Otay Mesa, CA","3,415,957","Otay Mesa, CA","3,411,485"
Bus passengers ? top 5 gateways,,,,,,,,,,,,,
"Laredo, TX","845,629","Laredo, TX","902,023","Laredo, TX","934,241","Laredo, TX","989,205","Laredo, TX","1,023,411","Laredo, TX","1,020,567","Laredo, TX","977,305"
"San Ysidro, CA","453,130","San Ysidro, CA","550,301","El Paso, TX","477,659","San Ysidro, CA","583,589","San Ysidro, CA","507,750","San Ysidro, CA","491,058","San Ysidro, CA","440,033"
"El Paso, TX","311,749","El Paso, TX","400,311","San Ysidro, CA","467,381","El Paso, TX","435,560","El Paso, TX","370,797","Hidalgo, TX","349,417","Hidalgo, TX","301,160"
"Hidalgo, TX","300,778","Hidalgo, TX","310,943","Hidalgo, TX","303,758","Hidalgo, TX","302,789","Hidalgo, TX","334,477","El Paso, TX","313,684","El Paso, TX","266,168"
"Nogales, AZ","166,567","Nogales, AZ","167,047","Otay Mesa, CA","167,219","Otay Mesa, CA","163,672","Otay Mesa, CA","182,509","Otay Mesa, CA","186,898","Nogales, AZ","173,425"
Buses ? top 5 gateways,,,,,,,,,,,,,
"San Ysidro, CA","72,450","San Ysidro, CA","70,548","San Ysidro, CA","60,945","San Ysidro, CA","68,194","San Ysidro, CA","60,173","San Ysidro, CA","57,171","San Ysidro, CA","51,693"
"Laredo, TX","43,342","Laredo, TX","44,121","Laredo, TX","42,980","Laredo, TX","38,368","Otay Mesa, CA","42,145","Laredo, TX","41,230","Laredo, TX","40,065"
"Otay Mesa, CA","34,595","Otay Mesa, CA","34,630","Otay Mesa, CA","34,503","Otay Mesa, CA","37,799","Laredo, TX","38,017","Otay Mesa, CA","41,222","Otay Mesa, CA","38,303"
"Hidalgo, TX","28,407","El Paso, TX","22,852","El Paso, TX","23,421","El Paso, TX","22,798","Hidalgo, TX","22,521","Hidalgo, TX","26,087","Hidalgo, TX","25,776"
"El Paso, TX","19,474","Hidalgo, TX","20,031","Hidalgo, TX","20,992","Hidalgo, TX","20,476","El Paso, TX","21,595","El Paso, TX","21,554","El Paso, TX","19,739"
Train passengers ? top 5 gateways,,,,,,,,,,,,,
"Nogales, AZ","2,252","Nogales, AZ","2,408","Nogales, AZ","2,836","Nogales, AZ","2,628","Nogales, AZ","3,466","El Paso, TX","6,903","Laredo, TX","3,634"
"Tecate, CA",881,"Otay Mesa, CA",452,"Otay Mesa, CA",458,"Otay Mesa, CA",430,"Otay Mesa, CA",474,"Nogales, AZ","3,180","Eagle Pass, TX","2,814"
"Calexico East, CA",562,"Calexico East, CA",423,"Calexico East, CA",329,"Calexico East, CA",261,"Calexico East, CA",259,"Calexico East, CA","1,162","El Paso, TX","1,528"
"Otay Mesa, CA",492,U,U,U,U,U,U,U,U,"Otay Mesa, CA",410,"Nogales, AZ",801
U,U,U,U,U,U,U,U,U,U,U,U,"Brownsville, TX",749
KEY:  U = data are not available;  R = revised.,,,,,,,,,,,,,
,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,
"Data reflect all Personal vehicles, Buses, Passengers and Pedestrians entering the United States across the U.S.-Mexican border, regardless of nationality. ",,,,,,,,,,,,,
2009 to 2013 data for train passengers in Texas are not available since train crew are being exchanged at the Texas-Mexico border and thus do not enter the United Sytates.,,,,,,,,,,,,,
,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics, Border Crossing/Entry Data, available at http://www.bts.gov/programs/international/ as of July 15, 2016.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
