Table 2-19:  Occupant Fatalities by Vehicle Type and Nonoccupant Fatalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus,53,46,57,32,31,28,18,18,33,21,18,38,59,22,34,45,41,42,58,27,36,67,26,44,55,39,54,44,49
Other / unknown vehicle type,937,540,544,460,466,387,425,409,392,455,420,409,447,450,458,528,589,602,659,601,614,580,554,524,499,502,511,557,538
"Nonoccupant fatalities, total","8,600","9,164","7,782","7,465","6,768","6,370","6,576","6,398","6,526","6,368","6,288","6,119","5,842","5,597","5,756","5,630","5,543","5,532","5,864","5,752","5,558","5,320","4,888","5,110","5,339","5,779","5,718","5,843","6,421"
Pedestrian,"7,516","8,070","6,808","6,482","5,801","5,549","5,649","5,489","5,584","5,449","5,321","5,228","4,939","4,763","4,901","4,851","4,774","4,675","4,892","4,795","4,699","4,414","4,109","4,302","4,457","4,818","4,779","4,910","5,376"
Pedalcyclist,"1,003",965,890,859,843,723,816,802,833,765,814,760,754,693,732,665,629,727,786,772,701,718,628,623,682,734,749,729,818
Other,81,129,84,124,124,98,111,107,109,154,153,131,149,141,123,114,140,130,186,185,158,188,151,185,200,227,190,204,227
KEY:  R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a 1996 includes two fatalities that could not be assigned to a category below.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Includes minicompact cars (wheelbase under 95 inches) and subcompact cars (wheelbase between 95 and 99 inches).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Includes cars with a wheelbase of between 100 and 104 inches.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Includes cars with a wheelbase of between 105 and 109 inches.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e Includes cars with a wheelbase of 110 inches or greater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f Large trucks - trucks over 10,000 pounds gross vehicle weight rating, including single-unit trucks and truck tractors. Light trucks - trucks of 10,000 pounds gross vehicle weight rating or less, including pickups, vans, truck-based station wagons, and utility vehicles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Passenger car fatalities for 2004 and later years do not equal the sum of its components due to unrevised components.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All categories except passenger car fatalities by vehicle type:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-08: U.S. Department of Transportation, National Highway Traffic Safety Administration, National Center for Statistics and Analysis, Traffic Safety Facts Early Edition 2009 (Washington, DC: 2010), table 4, available at http://www-nrd.nhtsa.dot.gov/Cats/index.aspx as of January 28, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2009-15: U.S. Department of Transportation, National Highway Traffic Safety Administration, personal communications, Jun. 7, 2012, and May 22, 2013, June 14, 2014, March 17, 2016, and November 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger car fatalities by vehicle type:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-96: U.S. Department of Transportation, National Highway Traffic Safety Administration, personal communications, Dec. 18, 2003, November 17, 2004, and March 15, 2005.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1997-04: Ibid., Traffic Safety Facts, Research Note: Passenger Vehicle Occupant Fatality Rates by Type and Size of Vehicle (Washington, DC: 2009), table 4, available at http://www-nrd.nhtsa.dot.gov/Cats/index.aspx as of February 19, 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2005-08: Ibid., Traffic Safety Facts Annual Report (Washington, DC: Annual Issues), table 76 and similar tables in previous editions, available at http://www-nrd.nhtsa.dot.gov/Cats/index.aspx as of January 28, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2009-15: U.S. Department of Transportation, National Highway Traffic Safety Administration, personal communications, June 7, 2012, and May 22, 2013, June 14, 2014, March 17, 2016, and November 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
