Table 3-5: U.S. Gross Domestic Demand (GDD) Attributed to Transportation Functions (Billions of current dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,
State and local purchasesa, 48.6 , 67.3 , 90.3 , 93.5 , 96.2 , 101.3 , 107.3 , 110.6 , 115.0 , 122.6 , 128.4 , 139.8 , 151.8 , 163.8 , 170.3 , 174.6 , 180.6 , 191.1 , 203.9 , 218.8 , 232.9 , 238.7 , 240.6 , 243.8 , 247.0 , 251.3 , 260.3 , 274.7 
Defense-related purchasesb, 4.2 , 6.2 , 8.8 , 15.7 , 11.4 , 9.3 , 8.4 , 8.4 , 8.6 , 8.2 , 8.5 , 9.0 , 9.0 , 10.0 , 10.2 , 16.6 , 16.7 , 15.9 , 14.9 , 19.7 , 20.7 , 22.5 , 24.7 , 24.6 , 18.8 , 15.0 , 14.4 , 13.2 
Others, (5.7), (28.7), (29.9), (20.8), (14.5), (22.7), (31.3), (37.9), (40.3), (36.0), (47.2), (67.8), (92.8), (113.5), (91.4), (109.7), (130.5), (136.1), (133.9), (109.3), (94.5), (68.2), (63.6), (77.6), (76.8), (85.1), (105.1), (136.3)
Exports & Imports, (1.1), (34.8), (28.5), (17.2), (15.8), (26.4), (38.7), (43.6), (42.9), (40.4), (49.0), (80.2), (104.7), (104.2), (108.6), (122.5), (137.8), (133.2), (133.2), (112.2), (82.2), (35.3), (75.9), (78.9), (99.2), (102.7), (113.4), (143.8)
Private Inventories, (4.6), 6.1 , (1.4), (3.6), 1.3 , 3.7 , 7.4 , 5.7 , 2.6 , 4.4 , 1.8 , 12.4 , 11.9 , (9.3), 17.2 , 12.8 , 7.3 , (2.9), (0.7), 2.9 , (12.3), (32.9), 12.3 , 1.3 , 22.4 , 17.6 , 8.3 , 7.5 
KEY: R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Federal purchases and State and local purchases are the sum of consumption expenditures and gross investment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Defense-related purchases are the sum of the transportation of material and travel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"On February 28, 2014, the Bureau of Economic Analysis (BEA) released the results of the comprehensive, or benchmark, revision of the national income and product accounts (NIPAs) which resulted in many changes relative to previously published results.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Commerce, Bureau of Economic Analysis, National Income and Product Accounts Tables, tables 1.1.5, 2.4.5, 3.11.5, 3.15.5, 4.2.5, 5.4.5, 5.5.5, 5.7.5A and 5.7.5B,  available at http://www.bea.gov/iTable/iTable.cfm?ReqID=9&step=1#reqid=9&step=1&isuri=1 as of Oct. 28, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
