Air Carrier Profile,,,,,,,,,,,,,,,,,
Total large-certificated a,"2,884,877","9,289,658","32,882,441","76,026,198","89,036,580","94,857,748","102,443,738","109,917,304","113,467,954","119,310,062","130,248,220","115,280,030","107,173,597","117,768,015","134,621,789","149,804,516","164,667,827"
Operating expenses (thousand dollars) 1,,,,,,,,,,,,,,,,,
Domestic total a,"2,052,094","7,001,668","26,465,999","59,183,777","64,456,644","66,667,151","72,145,242","76,125,467","78,796,175","84,816,236","93,548,937","94,949,876","86,826,833","91,520,149","104,621,676","112,363,170","116,140,022"
"Majors, all services","1,907,785","6,256,039","23,150,527","57,138,322","57,824,115","58,694,406","64,143,384","68,307,270","70,114,852","74,834,600","84,206,809","86,611,140","79,196,985","80,810,165","89,877,864","98,352,872","106,259,194"
"Nationals, all services","144,309","745,629","3,058,289","1,258,274","4,666,546","6,178,809","6,058,307","5,921,639","6,672,705","8,638,079","8,726,001","7,814,067","6,958,543","9,677,656","13,501,703","12,849,910","8,985,641"
"Large regionals, all services",N,N,"257,183","676,688","1,077,578","1,055,905","1,328,760","1,502,305","1,600,958","858,956","616,126","524,670","671,305","1,032,329","1,242,109","1,160,389","895,187"
International total,"665,660","2,065,605","6,642,095","18,757,740","21,842,021","22,335,258","24,155,202","25,249,593","25,387,024","26,157,262","29,685,280","30,649,400","28,922,103","28,340,403","31,490,257","37,059,043","41,001,911"
"Majors, all services","665,660","2,065,605","6,171,366","18,086,050","18,875,302","18,997,478","20,406,144","21,688,642","22,321,441","22,993,261","26,647,046","27,664,641","25,687,398","24,606,982","27,783,564","32,207,742","35,951,166"
"Nationals, all services",N,N,"470,729","325,273","2,372,138","2,582,833","3,414,618","3,209,074","2,514,464","2,714,754","2,556,866","2,663,591","2,914,105","3,253,707","3,157,046","4,349,805","4,818,660"
"Large regionals, all services",N,N,N,"344,097","594,581","754,947","334,440","351,877","551,119","449,247","481,367","321,169","320,601","479,714","549,646","501,496","232,085"
Total large-certificated a,"2,717,754","9,067,273","33,108,094","77,941,517","86,298,665","89,002,409","96,300,444","101,375,060","104,183,200","110,973,499","123,234,216","125,599,276","115,748,936","119,860,552","136,111,932","149,422,213","157,141,933"
Inventory for large-certificated carriersb,,,,,,,,,,,,,,,,,
"Number of carriers c,2",,,,,,,,,,,,,,,,,
Total domestic and international ,55,39,(R) 52,(R) 58,(R) 66,(R) 84,(R) 88,(R) 72,(R) 74,(R) 75,(R) 66,(R) 61,(R) 62,65,69,67,66
Majors,N,N,14,12,11,11,12,13,13,13,14,(R) 14,13,14,14,17,20
Nationals,N,N,(R) 16,15,(R) 22,27,31,(R) 28,27,(R) 28,(R) 29,(R) 26,(R) 25,26,28,28,25
Regionals,N,N,(R) 22,(R) 31,(R) 33,(R) 46,(R) 45,(R) 31,(R) 34,(R) 34,(R) 23,(R) 21,(R) 24,25,27,22,21
Number of aircraft available for service 3,,,,,,,,,,,,,,,,,
Total domestic and international,"2,135","2,690","2,818","4,727","5,221","5,567","5,961","5,770","6,144","6,254","6,522","6,081","5,819","6,675","7,051","6,750","6,758"
Majors,N,N,"2,071","3,854","4,085","4,039","4,422","4,352","4,605","4,711","5,118","4,996","4,530","4,948","4,904","5,018","5,626"
Nationals,N,N,432,650,819,"1,143","1,167",967,"1,113","1,319","1,182",952,"1,079","1,299","1,858","1,478",940
Regionals,N,N,315,223,317,385,372,451,426,224,222,133,210,428,289,254,192
"Number of full-time equivalent employees c,2",,,,,,,,,,,,,,,,,
Total domestic and international ,"169,872","304,690","347,335","555,262","535,394","555,537","575,937","593,542","631,147","659,689","667,778","599,531","590,779","558,246","563,588","547,795","539,833"
Majors,"118,189","214,021","312,842","517,754","481,041","484,870","511,270","540,039","564,388","590,197","612,814","557,422","537,776","489,036","478,114","478,142","490,631"
Nationals,"12,470","24,913","29,269","30,225","42,785","54,447","51,921","43,630","54,205","60,756","51,384","38,446","48,685","64,348","78,090","63,246","41,908"
Regionals,N,N,"5,225","7,283","11,569","16,221","12,747","9,873","12,555","8,737","3,580","3,664","4,318","4,863","7,385","6,407","7,295"
,,,,,,,,,,,,,,continued,,,
Air Carrier Profile continued,,,,,,,,,,,,,,,,,
Performance ,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Aircraft revenue-miles (thousands) 4,,,,,,,,,,,,,,,,,
Domestic,,,,,,,,,,,,,,,,,
"Certificated, all services a,d","858,451","2,067,598","2,523,375","3,963,268","4,379,929","4,629,393","4,811,447","4,939,436","5,033,144","5,332,176","5,662,443","5,549,662","5,602,737","6,086,649","6,591,637","6,714,903","6,624,022"
"Majors, all services","716,961","1,778,065","2,113,669","3,767,330","3,760,067","3,854,368","4,062,122","4,218,049","4,260,051","4,445,133","4,784,664","4,680,578","4,432,285","4,267,107","4,632,828","4,923,387","5,388,726"
"Nationals, all services","94,794","247,055","330,528","120,599","447,024","592,345","591,638","572,654","613,823","801,719","805,439","810,665","915,170","1,259,491","1,498,161","1,434,676","901,647"
"Large regionals, all services",N,N,"56,995","70,881","100,478","100,004","110,976","133,571","134,852","58,329","52,390","37,399","37,516","76,478","101,418","121,016","148,692"
International,,,,,,,,,,,,,,,,,
"Certificated, all services a,d","181,605","474,666","400,971","760,334","979,769","997,656","1,043,312","1,114,063","1,186,222","1,225,217","1,281,702","1,263,543","1,221,086","1,261,917","1,403,378","1,535,929","1,594,357"
"Majors, all services",N,N,"330,391","694,479","809,243","815,701","853,424","917,108","1,003,727","1,043,730","1,117,709","1,119,126","1,050,808","1,028,158","1,148,209","1,250,037","1,325,504"
"Nationals, all services",N,N,"66,499","24,301","108,392","125,951","145,847","142,658","127,037","134,370","127,550","124,765","141,670","185,397","197,334","231,735","216,064"
"Large regionals, all services",N,N,"2,948","33,893","46,040","48,867","32,005","39,516","51,100","41,440","30,848","15,409","25,896","41,241","49,211","40,654","36,701"
"Other certificated, all services,",,,,,,,,,,,,,,,,,
    domestic and international d,N,N,"23,204","12,120","88,454","89,811","58,747","29,942","28,775","32,674","25,545","25,264","220,478","490,693","367,854","249,326","201,045"
Total certificated d,"1,040,056","2,542,264","2,924,346","4,723,602","5,359,697","5,627,048","5,854,760","6,053,499","6,219,366","6,557,393","6,944,145","6,813,205","6,823,823","7,348,566","7,995,015","8,250,831","8,218,378"
Aircraft revenue-hours  4,,,,,,,,,,,,,,,,,
Domestic,,,,,,,,,,,,,,,,,
"Certificated, all services a,d","3,672,900","5,133,161","6,247,795","9,717,375","10,721,577","11,378,503","11,871,886","12,133,348","12,443,855","13,090,460","13,901,641","13,510,998","13,676,524","15,294,961","16,405,347","16,694,269","16,415,836"
"Majors, all services","2,802,317","4,066,480","4,941,327","9,053,789","8,864,840","9,023,772","9,512,983","9,898,147","9,957,390","10,349,992","11,308,820","11,028,054","10,328,412","9,862,773","10,758,395","11,519,750","12,709,883"
"Nationals, all services","606,146","908,935","919,187","458,621","1,362,863","1,832,909","1,934,433","1,828,382","2,002,173","2,515,044","2,403,184","2,305,781","2,407,006","3,383,803","3,917,027","3,761,623","2,373,121"
"Large regionals, all services",N,N,"267,522","192,944","273,642","269,811","298,415","366,439","422,770","156,201","137,993","104,522","99,411","187,758","252,384","318,276","381,713"
International,,,,,,,,,,,,,,,,,
"Certificated, all services a,d","608,736","977,325","819,518","1,556,760","1,978,378","2,021,060","2,113,467","2,235,792","2,381,246","2,456,580","2,595,893","2,565,169","2,487,258","2,593,915","2,881,257","3,155,013","3,281,909"
"Majors, all services",N,N,"668,199","1,410,263","1,607,155","1,619,755","1,699,958","1,819,583","1,992,776","2,071,507","2,229,167","2,240,214","2,105,500","2,067,148","2,317,972","2,541,139","2,692,590"
"Nationals, all services",N,N,"140,329","50,293","227,077","262,285","319,919","303,335","275,180","281,706","288,953","282,776","319,353","417,332","431,858","492,092","466,897"
"Large regionals, all services",N,N,"7,583","75,786","108,717","122,659","68,418","82,063","103,813","88,224","66,058","33,173","57,086","91,932","109,372","87,461","80,143"
"Other certificated, all services,",,,,,,,,,,,,,,,,,
    domestic and international d,N,N,"123,411","32,439","255,661","268,372","151,227","71,191","70,999","84,366","63,359","81,647","847,014","1,878,130","1,499,596","1,128,941","993,398"
Total certificated d,"4,281,636","6,110,486","7,190,724","11,274,135","12,699,955","13,399,563","13,985,353","14,369,140","14,825,101","15,547,040","16,497,534","16,076,167","16,163,782","17,888,876","19,286,604","19,849,282","19,697,745"
Revenue passenger-miles (thousands) 4,,,,,,,,,,,,,,,,,
Domestic,,,,,,,,,,,,,,,,,
"Certificated, all services a,d","31,098,944","108,441,978","204,367,599","345,872,950","388,410,210","403,911,656","434,651,687","452,827,860","462,753,505","488,356,869","515,621,596","486,506,043","481,195,481","505,221,674","557,890,670","583,757,943","590,634,648"
"Majors, all services","29,430,428","99,903,229","182,984,795","340,628,946","352,063,855","360,719,108","395,099,254","413,060,869","421,217,665","440,442,129","472,284,794","440,413,336","426,401,276","424,165,007","462,025,653","498,200,614","527,266,645"
"Nationals, all services","1,170,779","7,642,071","20,466,712","2,655,442","27,508,958","33,696,612","30,396,752","31,989,076","34,070,192","43,371,272","39,560,329","43,541,665","48,687,149","67,906,918","84,458,947","78,505,474","55,504,378"
"Large regionals, all services",N,N,"711,868","2,285,750","5,915,731","5,646,715","6,366,240","6,860,718","6,000,206","3,205,826","2,731,996","1,747,222","1,748,996","3,595,739","5,915,613","4,850,116","5,754,152"
,,,,,,,,,,,,,,,,,continued
Air Carrier Profile continued,,,,,,,,,,,,,,,,,
Performance (continued),1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
International,,,,,,,,,,,,,,,,,
"Certificated, all services a,d","8,950,672","39,695,392","63,354,387","126,362,697","149,107,689","154,882,007","161,512,010","169,356,100","172,179,498","180,269,038","192,797,653","178,343,116","171,998,786","168,601,124","194,173,889","211,359,416","219,471,625"
"Majors, all services",N,N,"54,318,160","121,910,801","133,299,897","137,389,923","145,330,811","153,564,956","157,398,986","166,320,739","181,585,899","169,335,392","163,576,484","156,267,732","179,788,447","195,635,675","206,669,607"
"Nationals, all services",N,N,"8,659,592","3,152,239","12,939,400","15,509,364","14,681,127","13,616,245","12,232,424","11,504,031","7,793,324","7,710,903","6,803,586","8,995,296","11,101,736","14,120,367","12,074,172"
"Large regionals, all services",N,N,"330,288","988,679","2,484,738","1,685,684","505,337","760,809","2,261,005","2,034,607","3,218,488","1,185,896","1,540,681","3,211,186","3,200,033","1,528,876","394,327"
"Other certificated, all services,",,,,,,,,,,,,,,,,,
    domestic and international d,N,N,"250,571","613,790","3,305,320","4,146,257","3,784,176","2,331,287","1,752,525","1,747,303","1,244,419","914,745","4,436,095","9,680,920","5,574,130","2,276,237","2,442,992"
Total certificated d,"40,049,616","148,137,370","267,972,557","472,235,647","537,517,899","558,793,663","596,163,697","622,183,960","634,933,003","668,625,907","708,419,249","664,849,159","653,194,267","673,822,798","752,064,559","795,117,359","810,106,273"
Average passenger revenue / passenger-mile 5,,,,,,,,,,,,,,,,,
"(Domestic, scheduled service)",6.09,6.00,11.49,13.44,13.25,12.90,13.81,13.19,13.55,13.82,13.92,14.11,13.97,(R) 14.57,13.26,12.10,12.51
Average passenger fare 5,,,,,,,,,,,,,,,,,
"(Domestic, scheduled service)",30.01,40.65,84.60,107.96,106.82,103.99,110.37,103.77,107.14,110.81,113.31,114.58,115.10,(R) 121.33,111.68,103.93,108.43
Revenue passenger enplanements (thousands) 4,,,,,,,,,,,,,,,,,
Domestic,,,,,,,,,,,,,,,,,
"Certificated, all services a,d","56,352","153,662","275,182","428,769","489,357","506,775","538,397","553,160","566,377","589,168","616,397","574,882","564,552","596,871","645,674","674,061","675,212"
"Majors, all services","48,678","122,866","223,237","411,797","428,329","432,076","466,743","482,656","486,902","502,305","537,377","496,455","468,938","453,112","487,525","523,288","567,108"
"Nationals, all services","5,949","26,726","47,145","13,374","46,461","57,670","58,383","59,690","67,237","80,995","75,156","75,600","81,722","112,715","132,037","131,142","87,167"
"Large regionals, all services",N,N,"3,748","3,190","8,854","10,127","9,122","9,665","10,276","4,234","2,444","1,383","1,338","3,542","6,623","7,930","9,383"
International,,,,,,,,,,,,,,,,,
"Certificated, all services a,d","5,904","16,620","26,514","46,121","51,330","52,863","54,519","56,759","57,758","57,694","60,830","56,641","56,904","58,837","67,479","73,090","75,449"
"Majors, all services",N,N,"23,949","43,871","42,701","43,590","46,304","48,615","49,608","49,769","53,157","50,097","50,637","50,202","57,929","63,203","67,009"
"Nationals, all services",N,N,"2,343",964,"6,183","7,235","7,402","6,887","6,228","6,274","5,273","5,664","5,471","6,868","6,931","8,309","7,676"
"Large regionals, all services",N,N,149,825,"2,168","1,790",405,631,"1,751","1,322","2,151",779,718,"1,600","2,379","1,290",364
"Other certificated, all services,",,,,,,,,,,,,,,,,,
    domestic and international d,N,N,"1,125",871,"5,992","7,150","4,558","1,776","2,133","1,964","1,668","1,546","12,631","27,669","19,729","11,989","11,953"
Total certificated d,"62,256","169,922","302,821","474,891","540,688","559,638","592,916","609,919","624,135","646,863","677,227","631,522","621,456","655,708","713,153","747,151","750,660"
Revenue passenger ,,,,,,,,,,,,,,,,,
Load factor (%) (scheduled service) 4,,,,,,,,,,,,,,,,,
Domestic,,,,,,,,,,,,,,,,,
"Certificated a,d",58.5,48.9,58.0,60.4,64.7,65.4,67.9,69.1,70.0,69.8,71.2,69.1,70.3,72.6,74.4,77.0,79.0
Majors ,59.5,49.3,58.1,60.5,65.0,65.8,68.5,69.6,70.4,70.2,71.6,69.3,70.6,72.9,74.8,77.7,79.4
Nationals,41.9,43.6,58.4,49.4,63.6,61.8,62.0,63.1,65.1,66.4,66.5,67.0,68.2,72.5,73.6,74.4,77.2
Large regionals,N,N,47.7,54.7,56.3,63.0,58.1,61.9,63.5,58.7,46.8,71.3,60.4,71.2,70.3,70.1,72.6
International,,,,,,,,,,,,,,,,,
"Certificated a,d",62.2,53.0,62.8,69.1,70.6,71.8,73.3,74.1,72.8,74.4,76.0,72.8,76.6,76.5,79.1,79.5,79.9
Majors,N,N,62.8,69.0,70.8,72.2,73.7,74.4,72.9,74.5,76.1,72.9,76.8,76.8,79.3,79.8,80.3
Nationals ,N,N,65.5,85.7,68.3,67.9,67.8,69.6,70.9,73.7,73.4,70.0,68.3,64.8,70.4,71.4,70.8
Large regionals,N,N,73.9,63.9,46.2,53.1,N,57.2,46.0,0.0,58.0,67.0,59.1,70.4,77.6,0.0,64.3
"Other certificated, all services,",,,,,,,,,,,,,,,,,
domestic and international d,N,N,46.7,56.8,57.6,52.5,62.8,59.3,49.6,47.6,48.8,52.2,61.4,60.1,58.9,51.4,52.9
,,,,,,,,,,,,,,,,,continued
Air Carrier Profile continued,,,,,,,,,,,,,,,,,
Performance (continued),1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"U.S. international passenger travel e,6",,,,,,,,,,,,,,,,,
Total passenger-arrivals (thousands),,,,,,,,,,,,,,,,,
Flag of carrier,,,,,,,,,,,,,,,,,
United States,"1,332","5,531","10,031","19,145","23,291","24,582","25,148","26,744","27,390","27,462","29,837","27,985","26,953","26,557","29,992","31,657","33,364"
Foreign,"1,234","4,343","10,231","17,269","20,527","22,328","24,704","27,571","28,791","30,324","32,380","28,715","26,912","27,395","29,591","29,042","29,587"
Total passenger-departures (thousands),,,,,,,,,,,,,,,,,
Flag of carrier,,,,,,,,,,,,,,,,,
United States,"1,200","4,949","9,369","17,628","21,355","22,231","22,901","24,302","24,513","25,457","27,431","25,483","23,610","24,070","27,249","29,668","31,492"
Foreign,"1,136","4,147","9,886","16,418","18,993","20,795","22,884","25,382","26,350","28,399","30,068","27,111","24,996","25,897","28,682","28,877","27,985"
"Total revenue ton-miles (thousands) f, 4",,,,,,,,,,,,,,,,,
Domestic,,,,,,,,,,,,,,,,,
"Certificated, all services a,d","3,732,949","13,876,802","24,964,907","43,654,400","50,632,739","52,916,214","56,326,750","58,920,010","60,165,036","63,032,298","66,544,502","61,834,963","62,051,071","65,753,373","72,240,509","74,117,030","74,923,193"
"Majors, all services","3,332,483","12,589,057","21,427,534","42,027,064","44,952,734","46,142,919","49,892,293","52,478,725","53,424,348","55,599,788","59,095,406","54,883,338","54,411,945","54,251,883","58,514,663","61,959,817","65,627,369"
"Nationals, all services","121,157","850,477","3,336,057","640,398","3,967,715","4,957,793","5,073,195","5,068,024","5,299,740","6,577,361","6,699,944","6,211,281","6,073,565","8,192,062","11,142,320","10,131,320","7,860,786"
"Large regionals, all services",N,N,"180,042","944,830","1,256,308","1,353,436","1,048,507","1,231,075","1,161,148","611,809","628,394","597,407","684,963","1,584,694","1,193,008","1,136,544","1,200,010"
International,,,,,,,,,,,,,,,,,
"Certificated, all services a,d","1,291,336","6,308,701","9,689,067","19,975,913","24,879,793","26,296,958","28,177,722","30,950,867","31,192,066","32,810,134","35,161,434","32,782,793","33,771,616","35,168,498","40,923,680","44,696,422","45,806,946"
"Majors, all services",N,N,"7,377,733","18,348,692","20,681,990","21,456,604","22,705,604","24,971,379","25,794,347","27,764,444","30,683,566","28,459,230","28,020,656","27,099,570","30,614,976","32,690,861","34,565,570"
"Nationals, all services",N,N,"2,261,534","803,083","2,935,386","3,509,127","4,504,772","4,557,048","4,109,500","3,989,939","3,749,703","3,868,703","5,090,922","7,101,794","8,820,202","9,980,412","9,229,784"
"Large regionals, all services",N,N,"44,438","704,369","918,447","1,186,218","668,766","1,038,610","1,211,260","993,874","621,161","303,700","636,385","812,738","1,256,237","1,421,590","1,618,112"
"Other certificated, all services,",,,,,,,,,,,,,,,,,
    domestic and international d,N,N,"28,178","161,878","799,950","607,077","611,336","526,016","356,761","305,217","227,762","294,098","904,251","1,879,129","1,622,782","1,492,908","628,507"
Total certificated d,"5,024,285","20,185,503","34,682,153","63,630,313","75,512,531","79,213,173","84,504,472","89,870,877","91,357,103","95,842,432","101,705,936","94,617,756","95,822,687","100,921,870","113,164,189","118,813,452","120,730,139"
"Revenue ton-miles of freight (thousands) g,4",,,,,,,,,,,,,,,,,
Domestic,,,,,,,,,,,,,,,,,
"Certificated, all services a,d","552,756","2,708,900","4,528,316","9,067,099","11,802,776","12,524,772","12,860,845","13,640,994","13,886,053","14,201,505","14,982,612","13,172,867","13,931,509","15,231,204","16,451,441","15,741,236","15,859,729"
"Majors, all services","321,176",U,"3,129,087","7,964,164","9,746,353","10,071,016","10,382,373","11,172,436","11,302,581","11,555,576","11,866,926","10,834,520","11,771,815","11,835,383","12,312,098","12,139,755","12,900,706"
"Nationals, all services","3,850",U,"1,289,510","374,853","1,227,775","1,588,798","2,033,376","1,869,146","1,889,221","2,240,026","2,743,705","1,856,834","1,205,023","1,401,369","2,696,425","2,280,772","2,310,348"
"Large regionals, all services",N,N,"108,864","716,256","664,768","787,828","411,285","549,046","561,109","296,660","356,013","422,682","510,401","1,225,120","601,447","651,532","624,594"
International,,,,,,,,,,,,,,,,,
"Certificated, all services a,d","268,156","1,566,105","3,353,371","7,340,033","9,970,191","10,855,442","12,031,635","14,015,255","13,980,493","14,782,230","15,880,424","14,948,684","16,572,205","18,308,387","21,506,293","23,560,482","23,859,784"
"Majors, all services",N,N,"1,945,660","6,157,984","7,352,000","7,717,612","8,172,522","9,614,884","10,054,447","11,132,370","12,524,975","11,525,689","11,663,007","11,472,799","12,636,132","13,127,294","13,898,610"
"Nationals, all services",N,N,"1,395,575","487,873","1,641,444","2,004,875","3,041,774","3,195,422","2,892,634","2,838,536","2,970,370","3,097,665","4,410,564","6,202,264","7,710,029","8,568,375","8,022,366"
"Large regionals, all services",N,N,"11,409","605,504","671,144","1,017,649","618,232","962,529","985,159","790,413","298,069","185,111","482,784","491,619","936,234","1,268,703","1,578,680"
"Other certificated, all services,",,,,,,,,,,,,,,,,,
      domestic and international d,N,N,"3,124","100,498","469,484","192,437","232,918","292,786","181,393","130,155","102,978","199,051","460,121","911,037","1,065,369","1,265,286","384,208"
Total certificated d,"820,907","3,755,436","7,884,811","16,407,132","21,772,967","23,380,215","24,892,480","27,656,249","27,866,545","28,983,735","30,863,036","28,121,551","30,503,714","33,539,592","37,957,734","39,301,718","39,719,513"
,,,,,,,,,,,,,,,,,continued
Air Carrier Profile continued,,,,,,,,,,,,,,,,,
Safety 7,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Air carrier fatalities,,,,,,,,,,,,,,,,,
Operating under 14 CFR 121 (airlines),,,,,,,,,,,,,,,,,
Scheduled services,N,N,0,39,239,160,342,3,1,12,89,531,0,22,13,22,50
Nonscheduled services,N,N,1,0,0,8,38,5,0,0,3,0,0,0,1,0,0
Operating under 14 CFR 135,,,,,,,,,,,,,,,,,
Scheduled services (commuters),N,N,37,6,25,9,14,46,0,12,5,13,0,2,0,0,2
Nonscheduled services (on–demand air taxis),N,N,105,51,63,52,63,39,45,38,71,60,35,42,64,18,16
Total ,499,146,143,96,327,229,457,93,46,62,168,604,35,66,78,40,68
Air carrier accidents,,,,,,,,,,,,,,,,,
Operating under 14 CFR 121 (airlines),,,,,,,,,,,,,,,,,
Scheduled services,N,N,15,21,18,30,31,43,41,40,49,41,35,51,(R) 24,(R) 34,25
Nonscheduled services,N,N,4,3,5,6,6,6,9,11,7,5,6,3,(R) 6,(R) 6,6
Operating under 14 CFR 135,,,,,,,,,,,,,,,,,
Scheduled services (commuters),N,N,38,15,10,12,11,16,8,13,12,7,7,2,4,6,3
Nonscheduled services (on–demand air taxis),N,N,171,107,85,75,90,82,77,74,80,72,60,(R) 73,66,66,54
Total ,90,55,228,146,118,123,138,147,135,138,148,125,108,(R) 129,100,(R) 112,88
Fatal air carrier accidents,,,,,,,,,,,,,,,,,
Operating under 14 CFR 121 (airlines),,,,,,,,,,,,,,,,,
Scheduled services,N,N,0,6,4,2,3,3,1,2,3,6,0,2,1,3,2
Nonscheduled services,N,N,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0
Operating under 14 CFR 135,,,,,,,,,,,,,,,,,
Scheduled services (commuters),N,N,8,3,3,2,1,5,0,5,1,2,0,1,0,0,1
Nonscheduled services (on–demand air taxis),N,N,46,29,26,24,29,15,17,12,22,18,18,18,(R) 23,11,10
Total ,17,8,55,38,33,29,35,24,18,19,26,26,18,(R) 21,25,14,13
KEY:  N = data do not exist; R = revised; U = data are not available. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
a  Some totals include data not in the table; thus totals may not equal sum of table data. ,,,,,,,,,,,,,,,,,
"b  Includes scheduled and nonscheduled (charter) operators. By Sec. 2 of the Airline Deregulation Act of 1978 ""charter air carrier"" and ""charter air transportation"" replaced supplemental air carriers and supplemental air transportation, which were formerly Sec. 101(36) and (37) of the Act.  The 24 pre-deregulation supplemental carriers now have scheduled service authority. ",,,,,,,,,,,,,,,,,
"c  Total includes only those carriers who have reported employment statistics to BTS' Office of Airline Information. Full-time equivalent employees count two part-time employees as one full-time equivalent employee. Prior to 1980, there was no breakout for part-time employees so earlier numbers will overstate full-time equivalent employees.",,,,,,,,,,,,,,,,,
d  Data does not include small-certificated and commuter carriers prior to 2002. Small-certificated and commuter carriers began reporting T1 data in January of 2002 for Alaskan carriers and in October of 2002 for the remainder of the U.S.,,,,,,,,,,,,,,,,,
e  Passenger travel totals do not include Canada because the source does not record departures and arrivals to and from Canada.,,,,,,,,,,,,,,,,,
"f  Total Revenue Ton-Miles includes passenger, freight, express, and mail.",,,,,,,,,,,,,,,
"g  Total revenue ton-miles of freight includes freight, express, and mail.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,
"Domestic encompasses operations within and between the 50 states of the United States, the District of Columbia, Puerto Rico, and the Virgin Islands.  It also encompasses Canadian and Mexican transborder operations (U.S. airlines only).  All other operations are considered international. ",,,,,,,,,,,,,,,
"Data in the Financial and Performance (excluding International Air Passengers) sectins was revised for 1990 to 2005 to be consistent with the online source as of Nov. 2, 2007.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,
"Unless otherwise noted, refer to chapter tables for sources.",,,,,,,,,,,,,,,
"1 1960-1970:  Civil Aeronautics Board, Handbook of Airline Statistics, 1969 and 1973 (Washington, DC), pp. 69 and 71.  1980:  Civil Aeronautics Board, Air Carrier Financial Statistics, December 1981 (Washington, DC), pp. 3/28, 42, and 44.  1990-2006:  U.S. Department of Transportation, Bureau of Transportation Statistics, Form 41 Air Carrier Financial Reports, Schedules P11 and P12, available at http://www.transtats.bts.gov/databases.asp?Mode_ID=1&Mode_Desc=Aviation&Subject_ID2=0, as of Nov. 2, 2007",,,,,,,,,,,,,,,
"2 1960:  U.S. Department of Transportation,  Bureau of Transportation Statistics, Office of Airline Information, http://www.bts.gov/oai/employees/employcov.html as of Oct. 14, 2003. 1970-2006:  U.S. Department of Transportation, Bureau of Transportation Statistics, Office of Airline Information, http://www.bts.gov/programs/airline_information/number_of_employees/certificated_carriers/ as of Nov. 2, 2007.",,,,,,,,,,,,,,,
"3  Ibid., personal communication, Oct. 17, 2003, Sept. 10, 2004, Feb. 1, 2007, and Nov. 2, 2007",,,,,,,,,,,,,,,
"4 1960-1970:  Civil Aeronautics Board, Handbook of Airline Statistics, 1969 and 1973 (Washington, DC), Part III, tables 2, 4, 7, and 13. 1980:  Civil Aeronautics Board, Air Carrier Financial Statistics, December 1981 (Washington, DC), pp. 2, 5, 46, and 86. 1990-2006:  U.S. Department of Transportation, Bureau of Transportation Statistics, T1: U.S. Air Carrier Traffic and Capacity Summary by Service Class, available at http://www.transtats.bts.gov/Tables.asp?DB_ID=130&DB_Name=Air%20Carrier%20Summary%20Data%20%28Form%2041%20and%20298C%20Summary%20Data%29&DB_Short_Name=Air%20Carrier%20Summary, as of Nov. 2, 2007",,,,,,,,,,,,,,,
5 See sources 1 and 4.,,,,,,,,,,,,,,,
