Table 4-43:  Estimated National Average Vehicle Emissions Rates per Vehicle by Vehicle Type using Gasoline and Diesel (Grams per mile),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,,,,,,,,,,
Exhaust HC,0.68,0.69,0.71,0.73,0.75,0.77,0.79,0.81,0.81,0.82,0.80,0.76,0.73,0.73,0.60,0.58,0.48,0.36,0.29,0.23,0.18,,,,,,,,,,
Exhaust CO,1.49,1.52,1.56,1.60,1.64,1.69,1.73,1.76,1.78,1.79,1.78,1.75,1.73,1.74,1.59,1.57,1.41,1.21,1.09,0.99,0.90,,,,,,,,,,
Exhaust NOx,1.83,1.85,1.86,1.87,1.89,1.89,1.89,1.88,1.86,1.85,1.81,1.72,1.62,1.54,1.43,1.32,1.11,0.85,0.69,0.53,0.42,,,,,,,,,,
Light-duty trucks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust HC,1.59,1.60,1.64,1.64,1.68,1.67,1.69,1.63,1.51,1.42,1.02,0.88,0.96,0.97,0.98,0.80,0.79,0.63,0.55,0.48,0.44,,,,,,,,,,
Exhaust CO,2.67,2.70,2.76,2.77,2.85,2.85,2.89,2.79,2.60,2.44,1.77,1.54,1.66,1.68,1.68,1.37,1.34,1.06,0.93,0.82,0.76,,,,,,,,,,
Exhaust NOx,2.71,2.66,2.62,2.56,2.53,2.46,2.42,2.31,2.17,2.07,1.76,1.64,1.67,1.66,1.59,1.37,1.30,1.09,0.94,0.82,0.72,,,,,,,,,,
Heavy-duty vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust HC,2.21,1.97,1.74,1.55,1.38,1.23,1.10,1.00,0.92,0.85,0.79,0.74,0.69,0.61,0.58,0.54,0.51,0.48,0.45,0.42,0.39,,,,,,,,,,
Exhaust CO,10.06,9.22,8.43,7.71,7.00,6.32,5.73,5.23,4.80,4.43,4.10,3.82,3.58,3.37,3.19,3.05,2.90,2.66,2.31,2.01,1.75,,,,,,,,,,
Exhaust NOx,23.34,22.14,21.47,21.10,20.75,20.49,20.24,20.04,19.84,19.14,18.05,16.68,15.52,13.92,12.50,11.45,10.55,9.60,8.61,7.77,6.87,,,,,,,,,,
"Average Emissions Per Vehicle, Gasoline and Diesel Fleet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust HC,2.98,2.70,2.42,2.18,1.96,1.76,1.56,1.43,1.32,1.23,1.16,1.08,0.99,0.91,0.77,0.65,0.58,0.54,0.48,0.45,0.42,,,,,,,,,,
Nonexhaust HC,1.21,1.16,1.10,1.06,1.04,1.01,0.99,0.97,0.94,0.91,0.89,0.86,0.82,0.77,0.74,0.69,0.65,0.60,0.56,0.51,0.47,,,,,,,,,,
Total HC,4.20,3.86,3.52,3.24,3.00,2.77,2.55,2.40,2.26,2.14,2.04,1.93,1.81,1.68,1.51,1.35,1.23,1.15,1.04,0.96,0.89,,,,,,,,,,
Exhaust CO,45.07,41.43,37.93,34.76,31.84,29.12,26.65,24.90,23.40,22.00,20.94,20.02,18.94,17.49,15.24,13.56,11.95,11.32,10.55,9.93,9.37,,,,,,,,,,
Exhaust NOx,4.15,3.92,3.75,3.61,3.49,3.36,3.24,3.18,3.12,3.02,2.91,2.78,2.65,2.48,2.25,2.07,1.87,1.73,1.57,1.44,1.30,,,,,,,,,,
KEY: CO = carbon monoxide; HC = hydrocarbon; NOx = nitrogen oxide; RFG = reformulated gasoline.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are as of July 1 of each year. Vehicles types are defined as follows: light-duty vehicles (passenger cars up to 6,000 lb GVWR); light-duty trucks (pickups and minivans up to 8,500 lb GVWR); heavy-duty vehicles (8,501 lbs or more GVWR); motorcycle (highway only). This table is based on MOBILE6, the U.S. Environmental Protection Agency's (EPA) latest highway vehicle emissions factor model. Interested readers can learn more about the MOBILE6 model at the following USEPA Internet site http://www.epa.gov/otaq/m6.htm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Emissions factors are national averages based on the following assumptions: ambient temperature 75 ºF, daily temperature range 60-84 ºF, average traffic speed 27.6 mph (representative of overall traffic in urban areas), standard operating mode (cold-start, hot-start, stabilized), vehicle-miles traveled fractions, no inspection/maintenance or antitampering programs, and gasoline volatility 9.0 per square inch RVP (Reid vapor pressure). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See table 4-44 for emissions from vehicles operating on reformulated gasoline.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for nonexhaust HC is negligible for diesel light-duty vehicles, light-duty trucks, and heavy-duty vehicles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average emissions per vehicle rates assume a fleet comprised exclusively of gasoline and diesel vehicles. For emissions estimates of a fleet using RFG and diesel, see table 4-44.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Environmental Protection Agency, National Vehicle and Fuel Emissions Laboratory, personal communication, June 28, 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
