Table 3-4: U.S. Gross Domestic Product (GDP) Attributed to Transportation Functions (Billions of chained 2009 dollars),,,,,,,,,,,,,,,,,
b Exports minus Imports.,,,,,,,,,,,,,,,,,
c Federal purchases and State and local purchases are the sum of consumption expenditures and gross investment.,,,,,,,,,,,,,,,,,
d Defense-related purchases are the sum of transportation of material and travel.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,
The Bureau Economic Analysis has changed the reference year for chained dollar estimates from 1999 onward as part of the comprehensive revision of the national income and product accounts in 2014. ,,,,,,,,,,,,,,,,,
"Chained (2009) dollar series are calculated as the product of the chain-type quantity index and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. ",,,,,,,,,,,,,,,,,
"This table is not comparable with the previous'  version since the categories for ""Export"" and ""Import"" were changed based on US Bureau of Economic Analysis' reports.",,,,,,,,,,,,,,,,,
"Chained 2005 dollars estimates for earlier years can be found in the 2013 edition of NTS, table 3-4.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,
"U.S. Department of Commerce, Bureau of Economic Analysis, National Income and Product Accounts Tables, tables 1.1.6, 2.4.6, 3.11.6, 3.15.6, 4.2.6, 5.4.6, 5.5.6 and 5.7.6B, available at http://www.bea.gov/National/nipaweb/SelectTable.asp?Selected=N as of Nov. 03, 2016.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
